Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3798109.0,332.723468441796,,1.53521536678879,,0.522267583008894,El Salvador
1973,3890639.0,370.71545316849,,6.39197420311829,,0.415996450163625,El Salvador
1974,3984049.0,418.137427526619,,16.8990368422354,,1.20656950080438,El Salvador
1975,4076751.0,462.162172769443,,19.0884996543863,,0.695284764490331,El Salvador
1976,4166890.0,558.757274610081,,7.03468963198829,,0.556634057903944,El Salvador
1977,4256699.0,691.061336495721,,11.8202775391489,,0.633660113621649,El Salvador
1978,4346522.0,719.646650816446,,13.2751232921383,,0.746812619087201,El Salvador
1979,4433041.0,781.323678260589,,14.0560247361062,,-0.287558761521369,El Salvador
1980,4508992.0,792.629461307538,,17.3669682564025,,0.16452339042752,El Salvador
1981,4549173.0,755.565945722442,,14.7971516299733,,-0.166414513766175,El Salvador
1982,4599904.0,738.969574147634,,11.7288868654679,,-0.0294187810851712,El Salvador
1983,4689680.0,747.673146142168,,13.3143177303524,,0.800833277292116,El Salvador
1984,4782219.0,765.687100486197,,11.5071695057308,,0.337549663632853,El Salvador
1985,4876757.0,779.281928543907,,22.3283750554416,,0.326284139912113,El Salvador
1986,4970788.0,758.765652447861,,31.9350161472763,,0.639867087892442,El Salvador
1987,5067200.0,781.111027786549,,24.8645003373126,,0.462854674395127,El Salvador
1988,5170440.0,810.35269725594,,19.7611617858857,,0.40478486257363,El Salvador
1989,5270825.0,829.512514644292,,17.6340799385345,,0.328437622913949,El Salvador
1990,5367179.0,897.59298208612,,23.9991651130861,,0.0394033306877826,El Salvador
1991,5461070.0,961.778992029035,,14.4026748806266,7.53000020980835,0.479414650509057,El Salvador
1992,5552206.0,1047.04315726038,,11.2144813801986,7.88000011444092,0.263348136437545,El Salvador
1993,5630987.0,1186.34072499191,,18.5066883302714,9.9399995803833,0.245978770106455,El Salvador
1994,5693038.0,1348.90791173359,,10.5858066526451,7.67999982833862,,El Salvador
1995,5748195.0,1552.13020783046,,10.0296564501018,7.65000009536743,0.426333155458645,El Salvador
1996,5797140.0,1653.63054885685,,9.78892040179968,7.67999982833862,,El Salvador
1997,5842638.0,1749.50183461649,,4.490136278552,7.98000001907349,0.577629026954658,El Salvador
1998,5885083.0,1858.37139425221,,2.54705977554154,7.09999990463257,10.0824491417474,El Salvador
1999,5923852.0,1904.87490234395,,0.514827130192974,7.30000019073486,1.91240900881117,El Salvador
2000,5958482.0,1977.84061443838,178.63192749,2.27128756828722,6.96000003814697,1.47137092746017,El Salvador
2001,5988095.0,2051.15877420114,182.88064575,3.7508205747202,6.96000003814697,2.2707041485317,El Salvador
2002,6011275.0,2106.73946874831,186.45817566,1.86552503610078,6.19999980926514,3.71125187529755,El Salvador
2003,6026849.0,2197.48200095937,185.73675537,2.1203909173333,6.90000009536743,1.06615183714648,El Salvador
2004,6035655.0,2273.95550275819,193.61167908,4.45194392395044,6.80000019073486,2.64681242347754,El Salvador
2005,6037817.0,2434.32353117029,204.89703369,4.69094870903771,7.21999979019165,3.47761600217717,El Salvador
2006,6034436.0,2651.43088765876,208.53170776,4.03712359429611,6.57000017166138,1.50707286112592,El Salvador
2007,6044131.0,2814.58988893523,212.81809998,4.57808572377153,6.40999984741211,9.11434743633077,El Salvador
2008,6068099.0,2964.172140237,224.84251404,6.70792293515938,5.88000011444092,5.0206011155903,El Salvador
2009,6091188.0,2889.68588721937,240.05223083,1.05595029731201,7.32999992370605,2.09486399547314,El Salvador
2010,6114034.0,3017.3073947577,245.70858765,1.17933576873676,4.8899998664856,-0.613406192808094,El Salvador
2011,6137349.0,3304.97418347889,265.99981689,5.12892376681616,4.30000019073486,0.603930846788838,El Salvador
2012,6161289.0,3471.05126865498,258.47689819,1.72973481581381,3.83999991416931,2.01123945886672,El Salvador
2013,6185642.0,3555.16209958481,270.87976074,0.7576691845229,3.69000005722046,1.11490857279595,El Salvador
2014,6209526.0,3638.51765819162,275.68740845,1.1413446753823,4.15000009536743,2.2408951362935,El Salvador
2015,6231066.0,3761.51368000275,282.74533081,-0.731384487387986,4.0,2.10997804482034,El Salvador
2016,6250510.0,3870.31298246063,293.25802612,0.604049086996682,4.42000007629395,1.98198031581358,El Salvador
2017,6266654.0,3986.04901435439,282.03674316,1.01235403315573,4.3899998664856,2.01688451540263,El Salvador
2018,6276342.0,4145.86235103186,288.51745605,1.09033000581896,4.01000022888184,1.58620478716365,El Salvador
2019,6280217.0,4280.28840404719,300.05328369,0.0753241350024327,4.17000007629395,2.59024369040438,El Salvador
2020,6292731.0,3903.39583878605,,-0.371590212323993,5.01999998092651,1.5185784878134,El Salvador
2021,6314167.0,4551.18466141298,,3.46692585313078,4.34999990463257,2.8900140887304,El Salvador
