Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,305362.0,214.267650325541,,,,,Equatorial Guinea
1973,298050.0,272.448337238163,,,,,Equatorial Guinea
1974,290558.0,324.065634769544,,,,,Equatorial Guinea
1975,283262.0,368.194969280867,,,,,Equatorial Guinea
1976,276000.0,375.55452876076,,,,,Equatorial Guinea
1977,271377.0,383.184721165859,,,,,Equatorial Guinea
1978,270866.0,,,,,,Equatorial Guinea
1979,273925.0,,,,,,Equatorial Guinea
1980,282509.0,179.261123623496,,,,,Equatorial Guinea
1981,296950.0,123.69564857953,,,,-0.490043635816068,Equatorial Guinea
1982,315741.0,140.287918684868,,,,1.01592409698718,Equatorial Guinea
1983,336744.0,131.976982359418,,,,1.1700523231932,Equatorial Guinea
1984,357995.0,140.563176599027,,,,4.31232207441114,Equatorial Guinea
1985,378379.0,164.170223108424,,,,3.92797210610053,Equatorial Guinea
1986,397276.0,192.328247252027,,-17.6404240920371,,7.36839643684071,Equatorial Guinea
1987,414769.0,225.055025151427,,-13.1744727471927,,1.79975857620658,Equatorial Guinea
1988,431587.0,232.941824695662,,2.52365930599391,,0.497340900753016,Equatorial Guinea
1989,448420.0,196.83772932599,,6.16615384615362,,1.0086094599928,Equatorial Guinea
1990,465549.0,240.832665408648,,0.85787155112476,,9.87677245681127,Equatorial Guinea
1991,483142.0,229.551626799316,,-3.42528735632203,7.41900014877319,37.2610561935247,Equatorial Guinea
1992,501334.0,268.697483824239,,-4.2787431563913,7.57200002670288,4.4677054058845,Equatorial Guinea
1993,520236.0,261.51188336789,,5.4522847373328,7.67799997329712,16.3925178302921,Equatorial Guinea
1994,539992.0,186.682398653916,,31.8410168416385,7.75400018692017,16.8594772052576,Equatorial Guinea
1995,560740.0,252.975297387051,,19.8724349483472,7.80399990081787,89.4756129038108,Equatorial Guinea
1996,582573.0,399.028167175202,,4.54072771540235,7.90199995040894,161.823750557721,Equatorial Guinea
1997,605570.0,730.448749895763,,3.01650540694366,7.98299980163574,12.0838694141855,Equatorial Guinea
1998,629734.0,588.641583140383,,7.93571069814148,7.99100017547607,74.1238991684881,Equatorial Guinea
1999,655029.0,948.229598488773,,0.372266170311917,8.00800037384033,24.8416890742138,Equatorial Guinea
2000,684977.0,1527.05637771592,41.02703094,4.80228886901399,7.99900007247925,14.7705365160486,Equatorial Guinea
2001,719270.0,2031.41938636331,58.39388657,8.82538925854965,8.10499954223633,64.3841004514478,Equatorial Guinea
2002,754115.0,2395.84511947529,73.83692169,7.59247849833242,8.17899990081787,17.8991452347517,Equatorial Guinea
2003,789681.0,3146.51857534028,108.55356598,7.32354399351807,8.20800018310547,27.760575286966,Equatorial Guinea
2004,826355.0,5337.61438929676,138.13894653,4.21968787094834,8.12899971008301,7.7291472030674,Equatorial Guinea
2005,864726.0,9502.85881614782,163.8336792,5.63163351357613,8.10499954223633,9.36000533137973,Equatorial Guinea
2006,905418.0,11140.1901650513,195.41931152,4.41589984169562,8.03699970245361,4.65478291557773,Equatorial Guinea
2007,948814.0,13776.9033327262,250.27494812,2.80373831775701,7.98600006103516,9.50702130455371,Equatorial Guinea
2008,994971.0,19849.7177669705,421.31564331,6.55176691184536,7.94199991226196,-4.01962841654542,Equatorial Guinea
2009,1043686.0,14398.770485777,308.5909729,4.6910656774738,8.05700016021729,10.8879553284905,Equatorial Guinea
2010,1094524.0,14905.5134317271,314.40917969,7.78916547991181,8.39799976348877,16.7581580128472,Equatorial Guinea
2011,1144588.0,18659.4170544306,336.20602417,4.80538922155687,8.29899978637695,9.24740417923016,Equatorial Guinea
2012,1193636.0,18756.4264233373,274.33688354,3.6566204827882,8.19099998474121,4.40075573185524,Equatorial Guinea
2013,1243941.0,17644.5951619429,382.46206665,2.94887694639657,8.08399963378906,2.6559436643708,Equatorial Guinea
2014,1295183.0,16804.9259482413,425.29580688,4.30999866149112,8.09700012207031,0.77129188050768,Equatorial Guinea
2015,1346973.0,9788.98377058219,328.95062256,1.67663085315985,8.20499992370605,1.76955844540011,Equatorial Guinea
2016,1398927.0,8035.30786982776,290.87692261,1.41193915479014,8.22700023651123,0.480381903718002,Equatorial Guinea
2017,1450694.0,8410.39725012272,286.14675903,0.745599218497516,8.26299953460693,2.49839707714915,Equatorial Guinea
2018,1502091.0,8719.18621660567,310.58486938,1.34988438751676,8.19999980926514,3.02418449277033,Equatorial Guinea
2019,1553031.0,7317.39018853546,254.89109802,1.23869860205109,8.27700042724609,3.97995236553025,Equatorial Guinea
2020,1596049.0,6327.59901151363,,4.76970498098298,9.29500007629395,5.24692001270816,Equatorial Guinea
2021,1634466.0,7506.66752306086,,,9.14700031280518,4.00256912069105,Equatorial Guinea
