Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1340838.0,,,,,,Eritrea
1973,1376516.0,,,,,,Eritrea
1974,1413220.0,,,,,,Eritrea
1975,1450867.0,,,,,,Eritrea
1976,1489656.0,,,,,,Eritrea
1977,1529802.0,,,,,,Eritrea
1978,1571193.0,,,,,,Eritrea
1979,1613829.0,,,,,,Eritrea
1980,1657982.0,,,,,,Eritrea
1981,1703789.0,,,,,,Eritrea
1982,1751045.0,,,,,,Eritrea
1983,1799814.0,,,,,,Eritrea
1984,1849594.0,,,,,,Eritrea
1985,1899243.0,,,,,,Eritrea
1986,1949611.0,,,,,,Eritrea
1987,2000355.0,,,,,,Eritrea
1988,2051546.0,,,,,,Eritrea
1989,2102131.0,,,,,,Eritrea
1990,2149960.0,,,,,,Eritrea
1991,2039220.0,,,,5.31300020217896,,Eritrea
1992,1921153.0,248.341309436768,,,5.42799997329712,2.09598939040563e-06,Eritrea
1993,1981419.0,236.130124297588,,,5.46500015258789,2.13733344232813e-06,Eritrea
1994,2042500.0,260.312514902478,,,5.48999977111816,1.88080117244748e-06,Eritrea
1995,2157220.0,267.944681117364,,,5.37799978256226,,Eritrea
1996,2264073.0,306.322258244353,,,5.35799980163574,5.2873318249158,Eritrea
1997,2291561.0,299.573125105612,,,5.49200010299683,5.94284422038848,Eritrea
1998,2322753.0,320.966609421161,,,5.55200004577637,0.0061021705659422,Eritrea
1999,2356477.0,292.352238410153,,,5.60599994659424,12.0800586066899,Eritrea
2000,2392880.0,295.19692403481,13.75257683,,5.61600017547607,3.94553485012566,Eritrea
2001,2461927.0,305.601464020916,14.51352882,,5.66599988937378,1.61245805378044,Eritrea
2002,2547424.0,286.29759578769,15.21526051,,5.69299983978271,3.12155475500656,Eritrea
2003,2653390.0,327.975798198817,18.9991188,,5.67700004577637,2.87272076772719,Eritrea
2004,2763140.0,401.374525156058,22.12163734,,5.59100008010864,2.17335356815591,Eritrea
2005,2831732.0,387.898961039094,20.64316559,,5.6230001449585,0.130327753472862,Eritrea
2006,2880093.0,420.528739757639,22.02857208,,5.63899993896484,1.26949253919125,Eritrea
2007,2926168.0,450.409713679088,17.96751785,,5.65199995040894,0.546786303445142,Eritrea
2008,3005779.0,459.178402670323,19.32589912,,5.59600019454956,2.82570036794966,Eritrea
2009,3083888.0,602.063223832873,22.39599228,,5.64499998092651,4.9011804838025,Eritrea
2010,3147727.0,504.972460176652,24.71432877,,5.89200019836426,5.72501513985957,Eritrea
2011,3207570.0,643.790042311239,33.53648758,,5.78200006484985,1.8886183675912,Eritrea
2012,3252596.0,,26.23007774,,5.69299983978271,,Eritrea
2013,3296367.0,,29.8780117,,5.63000011444092,,Eritrea
2014,3323425.0,,31.9061451,,5.67799997329712,,Eritrea
2015,3340006.0,,26.82021332,,5.79699993133545,,Eritrea
2016,3365287.0,,22.65307236,,5.80700016021729,,Eritrea
2017,3396933.0,,20.79556274,,5.80700016021729,,Eritrea
2018,3445374.0,,23.97976303,,5.69700002670288,,Eritrea
2019,3498818.0,,25.2679348,,5.7039999961853,,Eritrea
2020,3555868.0,,,,7.28000020980835,,Eritrea
2021,3620312.0,,,,6.80200004577637,,Eritrea
