Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1392518.0,,,,,,Estonia
1973,1405951.0,,,,,,Estonia
1974,1418169.0,,,,,,Estonia
1975,1429352.0,,,,,,Estonia
1976,1439576.0,,,,,,Estonia
1977,1450211.0,,,,,,Estonia
1978,1460188.0,,,,,,Estonia
1979,1468333.0,,,,,,Estonia
1980,1477219.0,,,,,,Estonia
1981,1487666.0,,,,,,Estonia
1982,1498414.0,,,,,,Estonia
1983,1508745.0,,,,,,Estonia
1984,1518617.0,,,,,,Estonia
1985,1528781.0,,,,,,Estonia
1986,1540190.0,,,,,,Estonia
1987,1552221.0,,,,,,Estonia
1988,1561900.0,,,,,,Estonia
1989,1568131.0,,,,,,Estonia
1990,1569174.0,,,,,,Estonia
1991,1561314.0,,,,1.47000002861023,,Estonia
1992,1533091.0,,,,3.6800000667572,,Estonia
1993,1494128.0,,,89.8119490277274,6.53999996185303,,Estonia
1994,1462514.0,,,47.6546906187628,7.55999994277954,,Estonia
1995,1436634.0,3134.38975345407,,28.7766137208514,9.65999984741211,4.592689682119,Estonia
1996,1415594.0,3380.92630243199,,23.050343349517,9.92000007629395,3.46531703682218,Estonia
1997,1399535.0,3682.95230146695,,10.5818789322146,10.3699998855591,5.3167878717308,Estonia
1998,1386156.0,4093.39247738765,,8.20833333333299,9.51000022888184,10.4966423724993,Estonia
1999,1390244.0,4140.93660232167,,3.29611089718906,11.5699996948242,5.6608955345096,Estonia
2000,1396985.0,4070.60902410208,209.71313477,4.0184895250876,13.3599996566772,7.31923766598522,Estonia
2001,1388115.0,4505.85833233188,214.70414734,5.74827981651377,13.1300001144409,9.47918147111243,Estonia
2002,1379350.0,5341.62894677002,250.48020935,3.57191270164023,10.0299997329712,4.59059944726891,Estonia
2003,1370720.0,7203.52303786646,349.05804443,1.33499116549964,11.289999961853,10.5149208720017,Estonia
2004,1362550.0,8914.10355674451,455.06811523,3.04811107523412,10.25,8.94863599334533,Estonia
2005,1354775.0,10412.6443137966,524.68011475,4.07971423199846,8.02999973297119,21.6743735548716,Estonia
2006,1346810.0,12639.4000677296,600.50787354,4.43762042389211,5.90999984741211,10.3282677580747,Estonia
2007,1340680.0,16744.5844516343,832.73309326,6.60132603055634,4.59000015258789,13.5111961567385,Estonia
2008,1337090.0,18204.9664786762,1038.56225586,10.3623580313683,5.44999980926514,8.12295909046486,Estonia
2009,1334515.0,14711.7352728223,963.01965332,-0.0784083112810205,13.5500001907349,9.50590313222057,Estonia
2010,1331475.0,14663.0446126465,926.4541626,2.97204512015696,16.7099990844727,13.2776301644786,Estonia
2011,1327439.0,17487.8047830922,1015.96826172,4.9819013145361,12.3299999237061,4.82100708113248,Estonia
2012,1322696.0,17403.2053254767,1013.31420898,3.93339987296979,10.0200004577637,7.76458523010248,Estonia
2013,1317997.0,19056.0019226989,1144.64685059,2.78056658954996,8.63000011444092,4.37152766625212,Estonia
2014,1314545.0,20261.0667303886,1238.92700195,-0.106175146521716,7.34999990463257,6.689355477049,Estonia
2015,1315407.0,17402.0376128079,1112.9140625,-0.492326006547338,6.40999984741211,-3.12556273605922,Estonia
2016,1315790.0,18295.3429322114,1186.1027832,0.148684907627356,6.88000011444092,3.8456728374778,Estonia
2017,1317384.0,20437.765376736,1350.38061523,3.41723549488057,5.80999994277954,6.44685216619255,Estonia
2018,1321977.0,23165.8494786437,1552.63244629,3.43632688420445,5.40999984741211,4.02406402395405,Estonia
2019,1326898.0,23424.4847073518,1598.81884766,2.27725931243518,4.51000022888184,9.82202103786608,Estonia
2020,1329522.0,23595.2436836441,,-0.444531097679859,6.96000003814697,11.5283223292594,Estonia
2021,1330932.0,27943.701219882,,4.65316673847481,6.17999982833862,19.7929374342735,Estonia
