Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,467512.0,313.876973133331,,2.36633218489991,,0.456585992907802,Eswatini
1973,480668.0,461.653401705681,,11.5435259696435,,0.027038961038961,Eswatini
1974,494624.0,534.369529406819,,19.2877754456961,,1.33634812157121,Eswatini
1975,509535.0,565.815709165895,,12.0457419321678,,5.01870909379179,Eswatini
1976,525457.0,518.670601849557,,6.53091265949246,,2.70052995545762,Eswatini
1977,542328.0,560.634593984593,,20.80512182762,,6.58120120456466,Eswatini
1978,560236.0,607.987304180714,,8.5176147629162,,6.38107899512645,Eswatini
1979,579091.0,711.620684419182,,16.4535169700762,,13.4585339059012,Eswatini
1980,598564.0,905.501355929663,,18.6839754034955,,4.88003308513141,Eswatini
1981,616210.0,926.244570549969,,20.0557966522539,,6.48847670746462,Eswatini
1982,634439.0,847.324929336969,,10.8074213418412,,-2.53551211071772,Eswatini
1983,655505.0,847.188268232713,,11.5675243834069,,-1.01826410237816,Eswatini
1984,677303.0,730.065716315528,,12.9397266412726,,1.01440889121,Eswatini
1985,702400.0,512.6357919512,,20.4626334519576,,3.22745053434875,Eswatini
1986,730150.0,615.142927227417,,13.7370753323487,,6.92770288241892,Eswatini
1987,758669.0,769.947842763332,,13.3766233766228,,9.63576253281925,Eswatini
1988,794434.0,871.081442029334,,20.3945622781115,,7.30958138718367,Eswatini
1989,825952.0,843.772314448124,,7.54616477272771,,9.64008655121208,Eswatini
1990,854011.0,1305.25612452463,,13.092289912498,,2.70102104418834,Eswatini
1991,889712.0,1299.45645145184,,8.93430656934297,21.9009990692139,7.10421212147117,Eswatini
1992,925165.0,1388.68875738014,,7.55829536317332,21.818000793457,6.79553344983713,Eswatini
1993,953451.0,1423.46800805311,,12.0234238724148,21.7719993591309,5.29916365148616,Eswatini
1994,953737.0,1488.13924068801,,13.7693248804359,21.7469997406006,4.4572960761235,Eswatini
1995,953573.0,1781.70149297452,,12.2885912601426,21.6499996185303,3.04630355013587,Eswatini
1996,973587.0,1646.24229830665,,6.42521330315217,22.0779991149902,1.35490301818952,Eswatini
1997,990734.0,1732.75562683268,,7.12532722513055,22.5,-0.892056285443643,Eswatini
1998,1005158.0,1568.81235831462,,8.10996563573865,23.0919990539551,9.68482630625015,Eswatini
1999,1018370.0,1519.96272696766,,6.08886063431491,23.6630001068115,6.34869676792803,Eswatini
2000,1030496.0,1686.66433741666,79.68417358,12.2085358545844,24.2709999084473,5.21592323200129,Eswatini
2001,1041396.0,1481.16308195353,78.20019531,5.94210982281647,24.8680000305176,1.90149211128434,Eswatini
2002,1050809.0,1362.97664491532,77.6235733,12.0197154699231,25.3600006103516,6.48956067349113,Eswatini
2003,1058797.0,2075.57511128056,137.04960632,7.28999999999997,25.9500007629395,-2.73891211356871,Eswatini
2004,1065764.0,2599.15214954166,183.92892456,3.44533507316616,26.5330009460449,2.51191090932949,Eswatini
2005,1071886.0,2964.98554128843,227.47303772,4.77400404553713,27.0440006256104,-1.44268470100566,Eswatini
2006,1077735.0,3053.95466968225,248.58961487,5.30463946338722,27.6189994812012,3.67724464662331,Eswatini
2007,1084008.0,3200.49667194931,263.86819458,8.07608827861581,28.2399997711182,1.08071238063187,Eswatini
2008,1089870.0,3022.46459229813,277.90585327,12.6574601863916,27.7199993133545,3.20966527306468,Eswatini
2009,1094886.0,3270.12772738415,292.29440308,7.44823423445757,27.0739994049072,1.83514541146663,Eswatini
2010,1099920.0,4035.54660730056,358.12390137,4.50923691774373,26.3899993896484,3.05625558941778,Eswatini
2011,1105371.0,4360.97918640339,380.85736084,6.10742714590245,25.8110008239746,2.04767810946626,Eswatini
2012,1111444.0,4396.56251946722,354.07363892,8.9396468278821,25.1060009002686,0.541897540751714,Eswatini
2013,1118319.0,4111.10964734079,315.44937134,5.62130623468951,24.5240001678467,1.7790013831045,Eswatini
2014,1125865.0,3928.50682779538,293.08114624,5.68134885776449,23.9729995727539,0.582926062120461,Eswatini
2015,1133936.0,3583.31129031343,259.51907349,4.95124493704917,23.3169994354248,0.775195420568083,Eswatini
2016,1142524.0,3339.99289890327,233.63514709,7.84727459085681,22.7199993133545,0.703666732594426,Eswatini
2017,1151390.0,3824.04678338499,273.38287354,6.22137528933114,22.7310009002686,-1.30928903735236,Eswatini
2018,1160428.0,4020.27305022394,298.118927,4.81506167461507,22.7560005187988,0.667293513428125,Eswatini
2019,1169613.0,3843.3773913814,264.05514526,2.59801620311075,22.7819995880127,2.84679425693093,Eswatini
2020,1180655.0,3372.89560064925,,,25.0799999237061,0.974018856107477,Eswatini
2021,1192271.0,3978.4035281759,,,24.5599994659424,2.37944999940708,Eswatini
