Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,29891328.0,,,-6.08151197179126,,,Ethiopia
1973,30694316.0,,,8.91358024695816,,,Ethiopia
1974,31488613.0,,,8.59215597391085,,,Ethiopia
1975,32252783.0,,,6.55010438394195,,,Ethiopia
1976,33062216.0,,,28.5378398237849,,,Ethiopia
1977,33695018.0,,,16.6571395908503,,,Ethiopia
1978,34259065.0,,,14.3081144649154,,,Ethiopia
1979,34758823.0,,,16.032235939652,,,Ethiopia
1980,34945469.0,,,4.48253780600436,,,Ethiopia
1981,35818844.0,204.498592651561,,6.13596718680433,,0.0,Ethiopia
1982,37213393.0,207.121076525424,,5.89006107723962,,0.0,Ethiopia
1983,38235187.0,224.083926181819,,-0.675378064854715,,0.0,Ethiopia
1984,39202890.0,206.523099882426,,8.41727378312057,,0.0,Ethiopia
1985,40285965.0,235.338547384723,,19.0646851444406,,0.0,Ethiopia
1986,41455309.0,237.571522372809,,-9.80876507050664,,0.0,Ethiopia
1987,42851957.0,245.667628373262,,-2.42867248283369,,0.0,Ethiopia
1988,44511537.0,245.081084231988,,7.08071532141095,,0.0,Ethiopia
1989,46195954.0,248.432684802376,,7.81730118223048,,0.0,Ethiopia
1990,47878073.0,254.295254599846,,5.15248124174763,,0.0,Ethiopia
1991,49937430.0,269.614763064257,,35.7225982298716,3.13199996948242,0.0,Ethiopia
1992,52011554.0,201.743502561167,,10.5274440119592,3.15499997138977,0.00162012877300718,Ethiopia
1993,53791672.0,164.165053540403,,3.54306596166031,3.02300000190735,0.0396344000013467,Ethiopia
1994,55620211.0,124.558149636587,,7.59387600185339,3.09999990463257,0.248414012768025,Ethiopia
1995,57476536.0,133.341100582353,,10.0221733553239,3.20499992370605,0.184499327663341,Ethiopia
1996,59347649.0,144.03164867784,,-8.48424868948824,3.28500008583069,0.256553048934515,Ethiopia
1997,61233480.0,140.269855485857,,2.39520958083832,3.47499990463257,3.35874839824307,Ethiopia
1998,63136493.0,123.830522318538,,0.894801693964068,3.65199995040894,3.33413278780113,Ethiopia
1999,65077579.0,118.333127942669,,7.94144864137326,3.71000003814697,0.908732803579197,Ethiopia
2000,67031867.0,122.962293496623,5.38449526,0.662458109266477,3.50799989700317,1.63350636813161,Ethiopia
2001,69018932.0,119.261857260772,5.61692476,-8.23784453391135,3.29800009727478,4.24475958309364,Ethiopia
2002,71073215.0,110.460874721483,5.25928497,0.675089102170782,3.1489999294281,3.2480726995032,Ethiopia
2003,73168838.0,117.860164733528,5.84133863,13.6740452028271,2.97499990463257,5.39212251252315,Ethiopia
2004,75301026.0,134.542486332684,5.88065052,3.32737047894853,2.68300008773804,5.38041579859625,Ethiopia
2005,77469940.0,160.076791772058,6.65360308,9.96997123512894,2.5,2.13780093729558,Ethiopia
2006,79691050.0,191.75129245508,8.66179371,12.2994763114825,2.47199988365173,3.56823527416241,Ethiopia
2007,81996185.0,240.347971955032,11.98231506,17.2404008340896,2.43600010871887,1.12647092519686,Ethiopia
2008,84357105.0,320.861089711683,13.45180225,44.3566858766952,2.40799999237061,0.400997134132692,Ethiopia
2009,86755585.0,373.893958712145,15.63803864,8.48364404530289,2.38700008392334,0.68272936693443,Ethiopia
2010,89237791.0,335.438495270931,16.7058506,8.14926402965081,2.33599996566772,0.963030625359937,Ethiopia
2011,91817929.0,348.001348291465,15.11117077,33.2499598823345,2.31100010871887,1.96735663905254,Ethiopia
2012,94451280.0,458.550920793057,20.66479492,23.600417677317,2.29200005531311,0.643172898229037,Ethiopia
2013,97084366.0,490.791804039986,19.88365173,7.46402192944518,2.25,2.82041233399941,Ethiopia
2014,99746766.0,557.534148360438,22.27192688,6.89001951597192,2.41199994087219,3.33569111068815,Ethiopia
2015,102471895.0,630.31268211446,23.91623878,9.56889955968619,2.57299995422363,4.06648856065021,Ethiopia
2016,105293228.0,705.616304982959,25.07559586,6.62813337230928,2.73499989509583,5.57621272833279,Ethiopia
2017,108197950.0,755.751767671957,24.92481232,10.6871150284238,2.89599990844727,4.91270717554002,Ethiopia
2018,111129438.0,758.299059582623,24.29408836,13.8330356586661,3.05800008773804,3.98771253765884,Ethiopia
2019,114120594.0,840.449451464836,26.74220467,15.8096321719345,3.21900010108948,2.65736063499647,Ethiopia
2020,117190911.0,918.652594077418,,20.3563468559061,4.12599992752075,2.22538575066647,Ethiopia
2021,120283026.0,925.077428048534,,26.8395221557722,3.9300000667572,3.8279888697897,Ethiopia
