Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,290738967.0,3026.31071537862,,5.90625351724102,,0.571836953131617,Euro area
1973,292589758.0,3903.88510722584,,7.91554614965592,,0.576312904819181,Euro area
1974,294228495.0,4402.59851732049,,14.6648454356764,,0.59774705603427,Euro area
1975,295703101.0,5079.41474682765,,12.2270629206871,,0.419925586610779,Euro area
1976,296989401.0,5277.95195759942,,9.71142110935913,,0.326902563802761,Euro area
1977,298187020.0,5979.39615209801,,9.76746473607034,,0.41048626300833,Euro area
1978,299437892.0,7291.47511002283,,7.57371223949732,,0.433437056247018,Euro area
1979,300714553.0,8795.16410474042,,8.46533490414879,,0.393480893435373,Euro area
1980,302069207.0,9806.29939985584,,13.5400697127799,,0.357323520320833,Euro area
1981,303281880.0,8488.39112856904,,11.5097558377123,,0.37302596106951,Euro area
1982,304153938.0,8194.84811743937,,9.58492764677443,,0.335077975842376,Euro area
1983,304769779.0,7978.51752993742,,8.66927159808515,,0.387602426382889,Euro area
1984,305259133.0,7640.73179818507,,7.06765638328174,,0.40313012425253,Euro area
1985,305820205.0,7835.27321479132,,5.19562195429434,,0.419604543330139,Euro area
1986,306560814.0,10969.7886966257,,2.53852591781416,,0.396871010577847,Euro area
1987,307385781.0,13531.6325888083,,3.15940764053431,,0.560994668570484,Euro area
1988,308391957.0,14833.4655174316,,2.70081527508111,,0.749288966698711,Euro area
1989,309690207.0,15088.2697309619,,3.76548048283393,,0.984278397759278,Euro area
1990,311093477.0,18903.2829635424,,3.44831217961809,,1.04297555797557,Euro area
1991,312722340.0,19551.282697572,,4.04703681637387,8.27379831268653,0.908854075841868,Euro area
1992,314170604.0,21471.1946903549,,5.16378465389059,8.88232277029745,0.900085826751049,Euro area
1993,315455737.0,19566.8395683417,,4.56907173681805,10.672091427682,0.960588392570167,Euro area
1994,316374506.0,20594.6361840956,,4.12992181638256,11.7597439534225,0.864738344867709,Euro area
1995,317190243.0,23693.8336403208,,4.22281614099486,11.4364769175872,1.06476302423628,Euro area
1996,318013083.0,23912.0932607415,,2.97892486481268,11.663120335313,1.23460956201292,Euro area
1997,318773136.0,21809.2080605513,,2.1092456273948,11.6597915870395,1.31250227333324,Euro area
1998,319446441.0,22380.0114348633,,2.22770732654317,11.191085565067,2.42973428832399,Euro area
1999,320272154.0,22219.2675461211,,1.66345995007714,10.4377814500722,4.96739388042551,Euro area
2000,321324622.0,20215.5536922064,1750.6594110824,2.85303039287156,9.42774082295437,8.57255500586382,Euro area
2001,322562386.0,20450.576713307,1792.15285884015,2.78516542713555,8.34810614379858,4.87232879586978,Euro area
2002,324141533.0,22213.0024200121,1996.2346713026,2.46532319171164,8.61140249367503,3.51757258339708,Euro area
2003,325904835.0,27193.0019619636,2501.62821453992,2.09847219146922,8.95112200999195,3.03507168438365,Euro area
2004,327702192.0,31004.9761022314,2860.43637565405,2.22567916428892,9.23646360575183,2.65861889806653,Euro area
2005,329398861.0,31947.6679669722,2977.7562247872,2.48769665164086,9.01680134403448,6.01487536590058,Euro area
2006,330939600.0,33794.8222587519,3146.76213651017,2.66631494577072,8.31056641045081,7.31319269371711,Euro area
2007,332660837.0,38715.4438625534,3569.00300170247,2.45396528138739,7.43404146284425,9.94988834893982,Euro area
2008,334290264.0,42353.1861913285,4030.78758719716,4.07534335957341,7.47970984359973,4.64126206188849,Euro area
2009,335377620.0,38578.9213931293,3964.64186191622,0.368041997888919,9.53340923510751,3.38640785314814,Euro area
2010,336171621.0,37605.0366114852,3849.3779265112,1.52551602118248,10.0619603411155,4.24137829309996,Euro area
2011,335442349.0,40656.4414229299,4113.62134413743,3.28944939564212,10.099222676316,5.99979548641067,Euro area
2012,336183135.0,37594.922746854,3836.96672367254,2.48567562177017,11.2742973540688,4.30045356868737,Euro area
2013,337328817.0,39119.9773324278,4018.91916107674,1.21999342274305,11.9093476346726,4.57325148168397,Euro area
2014,338486932.0,39913.1251181574,4106.92438762085,0.241047429826773,11.5842640574843,2.84863428075669,Euro area
2015,339514675.0,34388.8100100187,3522.89333429184,0.0375143805125363,10.8253318064724,6.73655917546396,Euro area
2016,340509447.0,35164.067063767,3598.21801377212,0.183334861123848,9.99610497998608,4.95000067009077,Euro area
2017,341246081.0,37157.1132620842,3782.04096001929,1.3814587140721,9.03308208806456,3.80080610349309,Euro area
2018,342065158.0,40045.5660233161,4071.12818865977,1.70349794744475,8.15687283692871,-0.00431698835784178,Euro area
2019,342452734.0,39182.5483400922,4001.05361946101,1.4456670146976,7.52252401378531,1.4936378240308,Euro area
2020,342913447.0,38159.7299117801,,0.290554555653313,7.84420037051593,0.350162186175917,Euro area
2021,343067846.0,42450.1537720293,,2.44608867175472,7.70437294167312,1.4934791493055,Euro area
