Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,358396487.0,,,,,0.211207194742304,Europe & Central Asia (IDA & IBRD countries)
1973,362136260.0,,,,,0.308186813186813,Europe & Central Asia (IDA & IBRD countries)
1974,365914675.0,,,,,0.179427188382412,Europe & Central Asia (IDA & IBRD countries)
1975,369729137.0,,,,,0.254669562519392,Europe & Central Asia (IDA & IBRD countries)
1976,373723357.0,,,,,0.0195578231292517,Europe & Central Asia (IDA & IBRD countries)
1977,377714601.0,,,,,0.0460096563476285,Europe & Central Asia (IDA & IBRD countries)
1978,381611709.0,,,,,0.0522283330172577,Europe & Central Asia (IDA & IBRD countries)
1979,385436316.0,,,,,0.0839602606097693,Europe & Central Asia (IDA & IBRD countries)
1980,389318684.0,,,,,0.0203016108867046,Europe & Central Asia (IDA & IBRD countries)
1981,393224644.0,,,,,0.104498931859478,Europe & Central Asia (IDA & IBRD countries)
1982,397098723.0,,,,,0.0655633486898219,Europe & Central Asia (IDA & IBRD countries)
1983,401073356.0,,,,,0.0587919931594613,Europe & Central Asia (IDA & IBRD countries)
1984,405312901.0,,,,,0.142241795294537,Europe & Central Asia (IDA & IBRD countries)
1985,409518788.0,,,,,0.114732832005273,Europe & Central Asia (IDA & IBRD countries)
1986,413700116.0,,,,,0.127453959886311,Europe & Central Asia (IDA & IBRD countries)
1987,417903040.0,,,,,0.0738276385379737,Europe & Central Asia (IDA & IBRD countries)
1988,421958403.0,2343.03073876195,,,,,Europe & Central Asia (IDA & IBRD countries)
1989,425325513.0,2256.72626579439,,,,,Europe & Central Asia (IDA & IBRD countries)
1990,427949024.0,2383.55452799557,,,,,Europe & Central Asia (IDA & IBRD countries)
1991,430328718.0,2339.23091516594,,,5.99405325953204,,Europe & Central Asia (IDA & IBRD countries)
1992,432000567.0,2173.98424091413,,,6.38919959519346,0.355935510484675,Europe & Central Asia (IDA & IBRD countries)
1993,433339079.0,2141.82146145783,,,7.08164561816263,0.616948369192903,Europe & Central Asia (IDA & IBRD countries)
1994,434279162.0,1922.06182028664,,222.241014184317,8.44339749435382,0.603046537507118,Europe & Central Asia (IDA & IBRD countries)
1995,434804610.0,2125.16559060462,,85.8869162056581,9.424591903599,1.03175259219172,Europe & Central Asia (IDA & IBRD countries)
1996,435461598.0,2182.7133435121,,38.8293013382852,10.0245760074088,1.24515909625729,Europe & Central Asia (IDA & IBRD countries)
1997,436014905.0,2248.32919883014,,15.9405994149429,10.6680931316932,1.80476229837212,Europe & Central Asia (IDA & IBRD countries)
