Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,300232316.0,,,,,0.211207194742304,Europe & Central Asia (excluding high income)
1973,303473218.0,,,,,0.308186813186813,Europe & Central Asia (excluding high income)
1974,306715687.0,,,,,0.179427188382412,Europe & Central Asia (excluding high income)
1975,309908273.0,,,,,0.254669562519392,Europe & Central Asia (excluding high income)
1976,313279489.0,,,,,0.0195578231292517,Europe & Central Asia (excluding high income)
1977,316709884.0,,,,,0.0460096563476285,Europe & Central Asia (excluding high income)
1978,320113560.0,,,,,0.0522283330172577,Europe & Central Asia (excluding high income)
1979,323503833.0,,,,,0.0839602606097693,Europe & Central Asia (excluding high income)
1980,326937470.0,,,,,0.0203016108867046,Europe & Central Asia (excluding high income)
1981,330361478.0,,,,,0.104498931859478,Europe & Central Asia (excluding high income)
1982,333758267.0,,,,,0.0655633486898219,Europe & Central Asia (excluding high income)
1983,337282816.0,,,,,0.0587919931594613,Europe & Central Asia (excluding high income)
1984,341087935.0,,,,,0.142241795294537,Europe & Central Asia (excluding high income)
1985,344882487.0,,,,,0.114732832005273,Europe & Central Asia (excluding high income)
1986,348685710.0,,,,,0.127453959886311,Europe & Central Asia (excluding high income)
1987,352545820.0,,,,,,Europe & Central Asia (excluding high income)
1988,356321047.0,2419.39477611637,,,,,Europe & Central Asia (excluding high income)
1989,359435266.0,2320.55115380961,,,,,Europe & Central Asia (excluding high income)
1990,361859039.0,2467.88424815803,,,,,Europe & Central Asia (excluding high income)
1991,364392348.0,2387.65060288237,,,5.0281187781754,,Europe & Central Asia (excluding high income)
1992,366266798.0,2180.61488629635,,,5.41511887750275,0.312836496753556,Europe & Central Asia (excluding high income)
1993,367513928.0,2135.47863053898,,,6.14530180425158,0.477922384869867,Europe & Central Asia (excluding high income)
1994,368354275.0,1829.90270586432,,486.425623795891,7.74290177824398,0.393891286330748,Europe & Central Asia (excluding high income)
1995,368905312.0,1956.32382479727,,162.717152150377,9.0606053921059,0.731182051535962,Europe & Central Asia (excluding high income)
1996,369661127.0,1973.02614851651,,39.2700211820628,9.97998950022115,0.887394060579525,Europe & Central Asia (excluding high income)
1997,370276347.0,2056.22048040359,,16.6743202378393,11.0306255218742,1.42514619027928,Europe & Central Asia (excluding high income)
1998,370591102.0,1903.76039777669,,10.5172718664618,12.1337315793912,1.24831166225189,Europe & Central Asia (excluding high income)
1999,370546751.0,1597.0655664152,,20.938173814012,12.2940625513762,1.53267966716892,Europe & Central Asia (excluding high income)
2000,370646199.0,1788.4273287221,92.1143229735757,15.9408124351877,10.9032493668738,1.21919853926921,Europe & Central Asia (excluding high income)
2001,370739184.0,1766.92005011704,97.1081398281227,8.35413777161342,10.209174933405,2.01331500740816,Europe & Central Asia (excluding high income)
2002,370807684.0,2024.53052976398,116.098218643025,5.81014365721823,9.69614191331579,1.67809797650619,Europe & Central Asia (excluding high income)
2003,371072025.0,2552.66800895389,143.078036673737,4.95061559256827,9.54394033374072,2.32349266416487,Europe & Central Asia (excluding high income)
2004,371533136.0,3380.68415397544,181.150264926613,6.92165787428845,9.23473319608106,3.00901859038565,Europe & Central Asia (excluding high income)
2005,372077135.0,4272.2778340144,227.776838642016,7.87957982963884,8.61700751196209,3.04878675669219,Europe & Central Asia (excluding high income)
2006,372780224.0,5231.17530545817,279.11395850677,7.79525972816577,8.10871595690282,4.63826811567509,Europe & Central Asia (excluding high income)
2007,373795966.0,6713.52977126216,352.999197806389,8.59146682238972,7.32233690824994,5.35417916026179,Europe & Central Asia (excluding high income)
2008,375281256.0,8288.2321678923,438.468910108444,12.37985318729,7.31386253400695,4.91956769235763,Europe & Central Asia (excluding high income)
2009,377054106.0,6465.36549823483,378.682868003507,3.43674527945796,9.04313385884174,3.55656313471076,Europe & Central Asia (excluding high income)
2010,379132241.0,7789.00431240208,412.364144045669,6.64735335517843,8.41593517558969,2.88341233024126,Europe & Central Asia (excluding high income)
2011,381278903.0,9625.51745022251,468.372919221781,7.85833333333332,7.75325744964767,3.24002025014881,Europe & Central Asia (excluding high income)
2012,383476086.0,10208.4653502244,505.05972921899,3.31605566687646,7.14937783262909,2.67265912598404,Europe & Central Asia (excluding high income)
2013,386051693.0,10750.4500674349,536.037024121581,4.59787897363131,7.17517284793196,2.77301776398749,Europe & Central Asia (excluding high income)
2014,388842371.0,9890.46105678793,498.362621256852,3.06881210379542,7.40332543465837,1.64488231490362,Europe & Central Asia (excluding high income)
2015,391695432.0,7458.33504588883,376.04068230505,4.02768573742728,7.53221583358224,1.8244788952934,Europe & Central Asia (excluding high income)
2016,394321096.0,7044.3362886349,361.485273361777,2.13492713939124,7.55501049857444,3.11554050455381,Europe & Central Asia (excluding high income)
2017,396482489.0,7864.64506529107,403.774257868525,3.42931965396085,7.34185314911285,2.12579661463871,Europe & Central Asia (excluding high income)
2018,398076771.0,7994.78016760654,410.994022228556,2.6132342483073,7.02805759604166,1.36498522868267,Europe & Central Asia (excluding high income)
2019,399592320.0,8129.88601672878,436.647371876275,2.88986073718333,7.21261160637891,2.16384090909828,Europe & Central Asia (excluding high income)
2020,400811771.0,7441.46530668546,,2.74615078213773,7.67270242075033,1.30756027755985,Europe & Central Asia (excluding high income)
2021,401575218.0,8758.93855271138,,6.65029912708779,7.24781603986431,2.3242252143069,Europe & Central Asia (excluding high income)
