Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,749086046.0,1838.41423187739,,,,0.571498633050532,Europe & Central Asia
1973,755000965.0,2316.76463052057,,,,0.671271681352277,Europe & Central Asia
1974,760680926.0,2598.56357868658,,,,0.772624411048726,Europe & Central Asia
1975,766169722.0,3014.01371757948,,,,0.53190305158951,Europe & Central Asia
1976,771592697.0,3110.59009043851,,,,0.411892101366777,Europe & Central Asia
1977,776918691.0,3501.32918212604,,,,0.554442380646988,Europe & Central Asia
1978,782220413.0,4244.30297186709,,,,0.49810609843317,Europe & Central Asia
1979,787502492.0,5157.28443887131,,,,0.517468715672106,Europe & Central Asia
1980,792890531.0,5801.90894464914,,,,0.543903243933393,Europe & Central Asia
1981,798088129.0,5130.13230075513,,,,0.478291234799754,Europe & Central Asia
1982,802876253.0,4914.27309343726,,,,0.444305484737113,Europe & Central Asia
1983,807523838.0,4739.936594623,,,,0.475083933171815,Europe & Central Asia
1984,812373901.0,4528.52857462041,,,,0.311357639801051,Europe & Central Asia
1985,817313920.0,4658.0507217856,,,,0.511053690265614,Europe & Central Asia
1986,822429830.0,6318.3076934756,,,,0.582927843982025,Europe & Central Asia
1987,827666924.0,7758.06213616276,,,,0.704357596733131,Europe & Central Asia
1988,832965846.0,8580.74164966594,,,,1.01803602161193,Europe & Central Asia
1989,837807042.0,8644.92767382622,,,,1.25766860436981,Europe & Central Asia
1990,842030509.0,10522.8886713116,,,,1.40938313696699,Europe & Central Asia
1991,846364518.0,10800.6366357679,,,6.93346120091605,1.09668050148766,Europe & Central Asia
1992,849816712.0,11533.0494692693,,5.92453126228495,7.50304745284931,0.92537970231977,Europe & Central Asia
1993,852735458.0,10557.2805273253,,14.4112644439347,8.66138216775895,1.06759394465187,Europe & Central Asia
1994,854892657.0,11010.5637700199,,12.1447980115689,9.6605143237995,1.07249785208593,Europe & Central Asia
1995,856511549.0,12692.5448447777,,8.96251888719982,9.93736490305294,1.3953605683576,Europe & Central Asia
1996,858209225.0,12929.2275119008,,8.19455217632729,10.2868634806012,1.42355793331434,Europe & Central Asia
1997,859711482.0,12240.0214994924,,5.53600266773479,10.51866174414,1.82561878900987,Europe & Central Asia
1998,860876126.0,12540.5340981164,,4.64421422660782,10.6943901225822,3.30474678842474,Europe & Central Asia
1999,861848594.0,12389.218133896,,2.36481836111806,10.6082756991828,5.74808433902763,Europe & Central Asia
2000,862786211.0,11666.8328484061,938.499581115013,3.77538829151733,9.79139624780519,8.54099300229201,Europe & Central Asia
2001,863909133.0,11768.7098549639,969.517544966761,4.26287228873703,9.08430248662026,4.51360974788464,Europe & Central Asia
2002,865474170.0,12865.1195493268,1093.98764263075,2.78615988589507,9.09162298241943,3.74156999368215,Europe & Central Asia
2003,867701442.0,15599.8655596424,1355.86319707068,2.34864169582755,9.11258898804877,2.88729576244069,Europe & Central Asia
2004,870270838.0,18128.2022828824,1573.13685393339,2.82947796214664,9.10190506394264,2.81059044329773,Europe & Central Asia
2005,872913705.0,19225.5342850434,1665.36433702625,2.60932308197751,8.72131090858088,6.10528162020522,Europe & Central Asia
2006,875627934.0,20749.8504590003,1785.19208533202,3.19288637808747,8.07787821965015,7.10029492644245,Europe & Central Asia
2007,878767025.0,24158.4414492775,2055.89554761357,2.91598261872856,7.16204222818868,8.89748524954793,Europe & Central Asia
2008,882357452.0,26480.3899409904,2299.25868036112,6.05974046339706,7.06915366813722,5.36155075584858,Europe & Central Asia
2009,885846236.0,23197.2590506433,2201.52043149018,1.53607650014279,8.89620267610287,3.22268884057368,Europe & Central Asia
2010,889222824.0,23640.5619374609,2186.58869558742,2.42447361791627,8.97606052026481,3.5724143739402,Europe & Central Asia
2011,891279641.0,26148.3810084467,2368.95821458207,3.85611244682819,8.71887300688723,4.60786631714785,Europe & Central Asia
2012,894762079.0,25090.2159755109,2273.83236495476,2.77333854051579,8.92968623609436,3.61264034888237,Europe & Central Asia
2013,899035925.0,26086.2723067211,2381.39945937421,1.73403963519166,9.16639240896731,3.24348282874504,Europe & Central Asia
2014,903601049.0,26316.5993060474,2429.41463811302,0.620490636732377,8.92300776356267,2.47584762512743,Europe & Central Asia
2015,908123143.0,22556.5736435144,2100.32573186957,0.368046842325369,8.52531107906407,5.46479254083687,Europe & Central Asia
2016,912374705.0,22379.6483458231,2096.572082878,0.356684500891696,8.0585612965614,6.56093997021385,Europe & Central Asia
2017,915855416.0,23643.4004470588,2191.56198069926,1.91558846458256,7.45334598832036,4.14690156795301,Europe & Central Asia
2018,918782553.0,25243.7947296066,2345.45569771891,2.02805963071136,6.86925713088953,-1.12863629715472,Europe & Central Asia
2019,921179725.0,24870.2619868165,2334.12534343858,1.78415097403832,6.6433939411216,2.02039452030863,Europe & Central Asia
2020,923103879.0,23984.2787277322,,1.20007348888482,7.07727460778505,0.77416510022731,Europe & Central Asia
2021,923777214.0,27152.4712288326,,3.19017771027091,6.90817501477518,1.92568295154538,Europe & Central Asia
