Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,390859355.0,2533.95543451033,,6.00738969862495,,0.55238640495111,European Union
1973,393386261.0,3258.90759777692,,7.74908612919203,,0.558006913161844,European Union
1974,395778659.0,3668.05417468687,,13.1636026120795,,0.577332139775916,European Union
1975,398096151.0,4247.36720644447,,10.467573464372,,0.409320159472818,European Union
1976,400211366.0,4422.76044394583,,9.34705279605246,,0.289942853867222,European Union
1977,402170665.0,4985.15534645802,,9.76746473607034,,0.387719805910535,European Union
1978,404056840.0,6045.37582808097,,7.75524596278477,,0.409582395909183,European Union
1979,405879948.0,7275.08966886932,,8.2216869300552,,0.378338644346948,European Union
1980,407760829.0,8100.71292846717,,12.9114423266382,,0.342239569205185,European Union
1981,409490677.0,7033.02800648874,,11.7673874344182,,0.354626220194424,European Union
1982,410875285.0,6759.60044813372,,9.58492764677443,,0.32900930070277,European Union
1983,411956706.0,6559.05391078578,,8.66927159808515,,0.371375884865224,European Union
1984,412891310.0,6305.22614796849,,7.6738026224732,,0.38411320193704,European Union
1985,413866961.0,6469.80346970791,,5.39549731466383,,0.407542896706998,European Union
1986,414996545.0,9021.7853472628,,3.67818411863458,,0.402963265277218,European Union
1987,416199247.0,11127.3886924305,,4.01999345683155,,0.532200171049245,European Union
1988,417528527.0,12176.9989558154,,4.53513301015726,,0.734752174934208,European Union
1989,418925771.0,12397.4807792788,,6.25983137956973,,0.964747357039445,European Union
1990,420308868.0,15461.048939086,,6.14956531179854,,1.00714329307796,European Union
1991,421744728.0,15971.6472294977,,5.48474391592015,8.51816512341503,0.977338098193941,European Union
1992,422972438.0,17509.950678576,,6.21737539647157,9.21998959574605,0.870368572058549,European Union
1993,424347768.0,15932.820281663,,4.85416666666693,10.8152116666474,1.03216515280978,European Union
1994,425406851.0,16835.202714678,,4.71841373967334,11.5016890229916,1.00857405680639,European Union
1995,426212138.0,19463.7665827946,,4.42664550286656,11.0599383475137,1.33569577991819,European Union
1996,426906931.0,19749.5283945114,,3.55884559338558,11.0939833740641,1.30768265012591,European Union
1997,427549432.0,18088.2684331828,,3.11207791953274,10.8705679751094,1.51321695000912,European Union
1998,428122323.0,18615.4108885331,,2.41551787239232,10.4421399644384,2.76927414254743,European Union
1999,428828749.0,18482.2884127879,,2.15717918055056,10.1804168246211,5.726078526161,European Union
2000,429342455.0,16947.5956556045,1432.32273456695,3.15076707022592,9.83065473565893,8.73850671896315,European Union
2001,429910140.0,17199.1186827755,1474.80048114784,3.37396832213867,9.19640419097011,4.96769659691103,European Union
2002,430898141.0,18760.9815475403,1651.10008453235,2.42443661219694,9.5385623597546,3.65340095917205,European Union
2003,432434810.0,22967.4878542293,2071.6039895439,2.09199838997658,9.6393746370767,2.95518875305855,European Union
2004,434059923.0,26307.6099213687,2374.52276262539,2.28621706801675,9.87462743452803,2.74834821949366,European Union
2005,435600393.0,27343.5634971045,2486.45719818358,2.48769665164086,9.56671185659392,6.13959516098941,European Union
2006,437014860.0,29092.7015286646,2636.33323995351,2.66631494577072,8.62236167610134,7.1721266817201,European Union
2007,438484072.0,33590.380802569,3008.45925888645,2.51066565240339,7.44703888898316,10.0314188791007,European Union
2008,439892213.0,37049.5634785454,3418.28687841798,4.1649719352477,7.20169131263828,5.08326407667389,European Union
2009,440934530.0,33483.3786180405,3342.13115907627,0.83926224679384,9.1213644803298,3.24432230288083,European Union
2010,441552554.0,32969.7546545575,3265.3131701646,1.53112270420924,9.79471853322446,3.706465373119,European Union
2011,440769682.0,35768.2898913506,3520.889927359,3.28944939564212,9.83128160328242,5.56686531137841,European Union
2012,441419873.0,33170.5130990055,3295.52626828281,2.66284165508017,10.797882733238,3.85994851700557,European Union
2013,442496175.0,34564.1156811497,3462.66601541679,1.21999342274305,11.3173695344275,4.03483122102165,European Union
2014,443601373.0,35278.8076893923,3536.82572368536,0.199343826570849,10.8364106452965,2.76395841447845,European Union
2015,444570054.0,30484.5278875559,3037.81406845808,-0.0616446800641176,10.0180437888612,6.03016203680659,European Union
2016,445515422.0,31175.1505246881,3106.97023009137,0.183334861123848,9.10498671699078,5.20260549779966,European Union
2017,446215182.0,33089.2284586656,3275.55293979804,1.42910743319297,8.12302380041785,3.58700846822901,European Union
2018,447001100.0,35751.2199668968,3531.35661780798,1.73860861988181,7.25380321088871,-0.122422440146477,European Union
2019,447367191.0,35079.4691496775,3476.64589113949,1.63052260754338,6.67980988662088,2.25403461572926,European Union
2020,447692315.0,34330.3665256275,,0.497367318853562,7.0548187121944,1.75664190200755,European Union
2021,447199800.0,38411.062779601,,2.55450699642046,7.0014532794911,2.19754672190875,European Union
