Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,39304.0,,,,,,Faroe Islands
1973,39746.0,,,,,,Faroe Islands
1974,40189.0,,,,,,Faroe Islands
1975,40626.0,,,,,,Faroe Islands
1976,41054.0,,,,,,Faroe Islands
1977,41481.0,,,,,,Faroe Islands
1978,41965.0,,,,,,Faroe Islands
1979,42506.0,,,,,,Faroe Islands
1980,43054.0,,,,,,Faroe Islands
1981,43613.0,,,,,,Faroe Islands
1982,44164.0,,,,,,Faroe Islands
1983,44669.0,,,,,,Faroe Islands
1984,45135.0,,,,,,Faroe Islands
1985,45575.0,,,,,,Faroe Islands
1986,46011.0,,,,,,Faroe Islands
1987,46477.0,,,,,,Faroe Islands
1988,46959.0,,,,,,Faroe Islands
1989,47490.0,,,,,,Faroe Islands
1990,47479.0,,,,,,Faroe Islands
1991,46810.0,,,,,,Faroe Islands
1992,46005.0,,,,,,Faroe Islands
1993,45096.0,,,,,,Faroe Islands
1994,44131.0,,,,,,Faroe Islands
1995,43805.0,,,,,,Faroe Islands
1996,44138.0,,,,,,Faroe Islands
1997,44495.0,,,,,,Faroe Islands
1998,44865.0,24623.8423431176,,,,,Faroe Islands
1999,45203.0,24947.2666250958,,,,,Faroe Islands
2000,45660.0,23370.9009945655,,,,,Faroe Islands
2001,46245.0,25089.6438969763,,,,,Faroe Islands
2002,46813.0,27238.0738352118,,,,,Faroe Islands
2003,47392.0,31691.7501922357,,,,,Faroe Islands
2004,47989.0,35940.702903045,,,,,Faroe Islands
2005,48291.0,36440.3829625061,,,,,Faroe Islands
2006,48313.0,41762.5353538847,,,,,Faroe Islands
2007,48361.0,48365.7439459262,,,,,Faroe Islands
2008,48411.0,51432.2858398355,,,,,Faroe Islands
2009,48429.0,47410.663780103,,,,,Faroe Islands
2010,48410.0,48167.4534013716,,,,,Faroe Islands
2011,48386.0,51786.5967438257,,,,,Faroe Islands
2012,48392.0,50156.8509738445,,,,,Faroe Islands
2013,48418.0,55560.2517393911,,,,,Faroe Islands
2014,48465.0,60125.7721171364,,,,,Faroe Islands
2015,48816.0,52726.7422373484,,,,,Faroe Islands
2016,49500.0,56834.0685101682,,,,,Faroe Islands
2017,50230.0,59328.1747680852,,,,,Faroe Islands
2018,50955.0,62576.9899253899,,,,,Faroe Islands
2019,51681.0,63383.196148417,,,,,Faroe Islands
2020,52415.0,61980.2900239725,,,,,Faroe Islands
2021,52889.0,69010.3098011151,,,,,Faroe Islands
