Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,547918.0,577.915872388794,,21.978504057907,,2.68434749330272,Fiji
1973,557244.0,764.410849386133,,11.0853182063401,,3.68576300171948,Fiji
1974,566296.0,986.392047451641,,14.4984695078882,,2.56001777777778,Fiji
1975,575804.0,1188.37014125076,,13.0648809829824,,2.06059529505774,Fiji
1976,586607.0,1184.01657620662,,11.4324364264689,,1.05535592078072,Fiji
1977,599289.0,1200.64465913218,,7.00630444983928,,2.37654099827647,Fiji
1978,613611.0,1351.40910095177,,6.10807100501502,,1.47002164625463,Fiji
1979,628859.0,1621.57801231535,,7.80675824952118,,0.997366830820587,Fiji
1980,644582.0,1865.65457833635,,14.4928744064522,,3.0213765192024,Fiji
1981,660630.0,1870.43550635819,,11.1806667637621,,2.93362087093378,Fiji
1982,676967.0,1763.93043401332,,7.03155689389481,,3.08408548161324,Fiji
1983,693593.0,1619.25981995616,,6.70418399801422,,2.84445347692688,Fiji
1984,710561.0,1657.84135863613,,5.29121761072427,,1.97914825750682,Fiji
1985,727461.0,1568.63864821225,,4.42097239621914,,1.89919426587267,Fiji
1986,742658.0,1737.31194819699,,1.79884248433802,,0.622581545605523,Fiji
1987,754778.0,1560.60217968309,,5.6637747585522,,1.37187232515613,Fiji
1988,764370.0,1452.14611760956,,11.7583268783888,,2.84714769327523,Fiji
1989,772704.0,1530.58166804683,,6.18935403382355,,2.58789963143155,Fiji
1990,780430.0,1713.18988535426,,8.19137132040974,,-2.27271448368861,Fiji
1991,784832.0,1763.23577545856,,6.49734555984544,4.91099977493286,-2.9040993143243,Fiji
1992,786859.0,1947.49232447082,,4.88302271568614,4.65500020980835,2.46614911516097,Fiji
1993,789198.0,2073.08523065471,,5.20658925195766,4.77799987792969,-0.198219269589054,Fiji
1994,790803.0,2308.74600568836,,0.816666666667008,4.69600009918213,-1.71333724750092,Fiji
1995,792246.0,2487.04028921562,,2.16564721441536,4.77799987792969,-1.15122320894504,Fiji
1996,796538.0,2672.43577032827,,3.05016181229799,4.71600008010864,-3.3911355115158,Fiji
1997,804572.0,2597.88426824428,,3.36814006437942,4.92899990081787,-2.87982187301426,Fiji
1998,813947.0,2031.04239181069,,5.71168160413118,4.82000017166138,1.23000947174345,Fiji
1999,823422.0,2351.75227938285,,1.9686736600092,4.59899997711182,-7.59540449658126,Fiji
2000,832509.0,2015.88117157355,77.02472687,1.09216459977388,4.91200017929077,0.0352378319008256,Fiji
2001,841320.0,1964.1327925183,64.19378662,4.27267024465106,4.7979998588562,2.49941247291438,Fiji
2002,849891.0,2157.07659613693,73.04816437,0.762032085561215,4.76200008392334,1.67309841241215,Fiji
2003,858306.0,2680.22550739435,91.39411163,4.17274777763033,4.8289999961853,1.75228459031929,Fiji
2004,866694.0,3124.60738926325,117.67280579,2.82748519391201,4.69999980926514,9.25370794256615,Fiji
2005,874923.0,3406.56825819596,129.10287476,2.36576453830434,3.89000010490417,5.80281173569053,Fiji
2006,883083.0,3483.59718493626,135.92700195,2.49083638787079,3.95600008964539,18.9830079707872,Fiji
2007,890648.0,3793.09738500959,150.64466858,4.80370641306991,4.11700010299683,13.7414773077002,Fiji
2008,896731.0,3928.92173857964,143.73783875,7.7322785791842,4.16599988937378,19.2785877551773,Fiji
2009,901383.0,3184.68912291481,128.65789795,3.13103559015968,4.32499980926514,10.7423905992561,Fiji
2010,905169.0,3469.16591690207,135.16870117,3.68901229670766,4.30800008773804,5.67138360545377,Fiji
2011,908355.0,4160.68402100408,149.02316284,7.27811782708491,4.40999984741211,5.74587982559663,Fiji
2012,911059.0,4359.77534993306,162.41482544,3.4233752340198,4.42500019073486,6.98169170080145,Fiji
2013,913453.0,4586.89792093973,167.81086731,2.91354193604,4.31799983978271,5.818321260769,Fiji
2014,915560.0,5305.19092336933,188.83432007,0.519306474579103,4.27699995040894,7.77953902540433,Fiji
2015,917200.0,5105.26262664449,179.22097778,1.37488542621447,4.28599977493286,4.38592958765426,Fiji
2016,918371.0,5368.42324040397,185.34675598,3.86322538221274,4.32000017166138,7.94327451660159,Fiji
2017,919019.0,5825.1292069741,194.43666077,3.34757834757835,4.26100015640259,7.24030047037184,Fiji
2018,918996.0,6073.33638842434,216.09642029,4.08147637644538,4.31500005722046,8.40046167281378,Fiji
2019,918465.0,5968.30055949885,235.67501831,1.7731018246027,4.44199991226196,5.87927624170235,Fiji
2020,920422.0,4864.11704680273,,-2.5952432588737,4.79400014877319,5.34685237791333,Fiji
2021,924610.0,4646.6127232145,,0.155855722131493,4.92899990081787,9.54063083466472,Fiji
