Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4639657.0,3177.64570093734,,6.66249783515333,,0.250963392167477,Finland
1973,4666081.0,4173.17304749428,,10.7544718831369,,0.0667612846395429,Finland
1974,4690574.0,5297.60781739462,,16.9363999989274,,0.140851750307056,Finland
1975,4711440.0,6255.54464076423,,17.8113972340213,,0.231639050435741,Finland
1976,4725664.0,6739.69071253255,,14.3426930852258,,0.182056691115639,Finland
1977,4738902.0,7069.10573825616,,11.7933469184053,,0.143464230154906,Finland
1978,4752528.0,7628.81571424906,,7.79935074552146,,0.093217689251284,Finland
1979,4764690.0,9332.24526383769,,7.4669615131074,,0.061909032849228,Finland
1980,4779535.0,11223.937563528,,11.5946192492108,,0.0521010640639292,Finland
1981,4799964.0,10926.817966566,,11.3057566509549,,0.189990219452517,Finland
1982,4826933.0,10938.122061411,,9.58492764677443,,0.00172465119148701,Finland
1983,4855787.0,10497.479996566,,8.3662926064564,,0.165714758187644,Finland
1984,4881803.0,10833.8662886935,,7.06765638328174,,0.257492462728555,Finland
1985,4902206.0,11398.1059531509,,5.19562195429434,,0.201359905123887,Finland
1986,4918154.0,14951.0467852887,,2.93357920442334,,0.551203223943103,Finland
1987,4932123.0,18571.0599253579,,4.11302886205054,,0.298482233707509,Finland
1988,4946481.0,22047.7933222595,,5.08592861394881,,0.487572249859841,Finland
1989,4964371.0,23973.2394840041,,6.59290980189127,,0.411870739731952,Finland
1990,4986431.0,28364.6450765922,,6.14956531179854,,0.574223938542368,Finland
1991,5013740.0,25484.7392935746,,4.31021289843461,6.5,-0.182278447064837,Finland
1992,5041992.0,22319.059460246,,2.91932319285018,11.6000003814697,0.352226819740318,Finland
1993,5066447.0,17608.8123902264,,2.19065319556431,16.2000007629395,0.967925393581486,Finland
1994,5088333.0,20301.333085866,,1.08855677589407,16.4300003051758,0.268964373790316,Finland
1995,5107790.0,26271.5998141691,,0.791239406938448,17.0,1.0810883434825,Finland
1996,5124573.0,25783.4504878611,,0.629194238121014,15.5699996948242,0.569873751348834,Finland
1997,5139835.0,24691.8728133698,,1.1925588342584,14.9700002670288,1.93368085598845,Finland
1998,5153498.0,26009.2694886182,,1.3994737857984,13.210000038147,9.33679172029042,Finland
1999,5165474.0,26186.1900105755,,1.16223155669443,11.6899995803833,5.76486742656509,Finland
2000,5176209.0,24345.9148217032,1722.8326416,3.04210080667796,11.1300001144409,10.714265643958,Finland
2001,5188008.0,24967.7925153182,1806.0501709,2.57844080098894,10.289999961853,2.48948733398858,Finland
2002,5200598.0,26997.7529897788,2054.26293945,1.57122012789382,10.4200000762939,5.76518399300031,Finland
2003,5213014.0,32927.6802919408,2606.77587891,0.877440386254743,10.4700002670288,3.47526038641381,Finland
2004,5228172.0,37772.1781110398,3035.97875977,0.187120559084453,10.3599996566772,3.43179887742407,Finland
2005,5246096.0,39054.8504423825,3228.95214844,0.623874450025199,8.38000011444092,5.30433190858078,Finland
2006,5266268.0,41222.6020004611,3407.66552734,1.56666380704384,7.71999979019165,2.13678262162868,Finland
2007,5288720.0,48476.3927287052,3911.96582031,2.51066565240339,6.84999990463257,8.57302514110282,Finland
2008,5313399.0,53772.7942390019,4481.21679688,4.06595355358378,6.36999988555908,6.79228430535503,Finland
2009,5338871.0,47481.4845364339,4347.12158203,-9.17360403259616e-07,8.25,-3.48162112393045,Finland
2010,5363352.0,46505.3031791811,4249.60205078,1.1841352315465,8.39000034332275,4.89968635862389,Finland
2011,5388272.0,51148.9316365833,4715.93505859,3.41680754255211,7.78000020980835,-2.179936953365,Finland
2012,5413971.0,47708.0612784469,4572.5234375,2.80833622561575,7.69000005722046,1.90912917463228,Finland
2013,5438972.0,49892.2233632732,4892.09716797,1.47828615688804,8.1899995803833,-1.81391357891476,Finland
2014,5461512.0,50327.2402902632,4922.67578125,1.04119621178439,8.65999984741211,6.37721739347512,Finland
2015,5479531.0,42801.9081167285,4127.14990234,-0.207928839905218,9.38000011444092,7.4552555059125,Finland
2016,5495303.0,43814.0265056965,4107.06298828,0.356684500891696,8.81999969482422,2.1281913787807,Finland
2017,5508214.0,46412.1364777169,4233.46826172,0.754015047084413,8.64000034332275,6.70809995996687,Finland
2018,5515525.0,49987.6261584968,4515.67724609,1.08382098409299,7.3600001335144,-3.83438230194276,Finland
2019,5521606.0,48629.8582283032,4450.30273438,1.02409392963429,6.69000005722046,5.81407868801805,Finland
2020,5529543.0,49170.7521512441,,0.290554555653313,7.76000022888184,-0.914919223666592,Finland
2021,5541017.0,53654.7502964259,,2.19457432339993,7.6100001335144,8.02863203902089,Finland
