Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,318771788.0,237.528740652724,,,,0.250615252654317,Fragile and conflict affected situations
1973,326102434.0,284.600686520903,,,,0.820159358965147,Fragile and conflict affected situations
1974,333812999.0,413.051069499544,,,,0.0860688252441934,Fragile and conflict affected situations
1975,341807747.0,453.054749782536,,,,0.937747785614521,Fragile and conflict affected situations
1976,350322455.0,520.465955927415,,,,-0.136916225570592,Fragile and conflict affected situations
1977,358907071.0,559.074171900769,,,,0.392314781688139,Fragile and conflict affected situations
1978,367353502.0,601.478722660581,,,,0.372639628708093,Fragile and conflict affected situations
1979,376173441.0,742.077887263552,,,,0.3830837320933,Fragile and conflict affected situations
1980,384693745.0,907.605350106931,,,,-0.0940269222749532,Fragile and conflict affected situations
1981,392737776.0,1237.22975652182,,,,0.315011444867718,Fragile and conflict affected situations
1982,401392322.0,1159.42477764071,,,,0.297227968845099,Fragile and conflict affected situations
1983,410624537.0,966.476785753305,,,,0.24205687523707,Fragile and conflict affected situations
1984,420273124.0,853.703508396737,,,,0.144823569463313,Fragile and conflict affected situations
1985,430186538.0,851.661076967853,,,,0.423081208198642,Fragile and conflict affected situations
1986,440018085.0,807.482008598782,,,,0.114450299382373,Fragile and conflict affected situations
1987,449985688.0,813.893165537071,,,,0.359029201860736,Fragile and conflict affected situations
1988,459924409.0,834.440612517511,,,,0.263953961008332,Fragile and conflict affected situations
1989,470398622.0,810.384961726827,,6.92390503711237,,0.869084450228537,Fragile and conflict affected situations
1990,482851894.0,1141.78111479145,,7.00216956651126,,0.304098121516975,Fragile and conflict affected situations
1991,493647883.0,772.336139680041,,11.8960953011251,4.44124294085324,1.20608424696332,Fragile and conflict affected situations
1992,506088764.0,686.920391644157,,10.5274440119592,4.37797338348374,0.895959801549953,Fragile and conflict affected situations
1993,519673066.0,628.006616633084,,10.3764499263591,4.36614609482542,1.11694904217962,Fragile and conflict affected situations
1994,534202563.0,588.273460334221,,30.1361690354713,4.4834503846163,1.17873759798747,Fragile and conflict affected situations
1995,548331145.0,659.958131445861,,18.2351683274844,5.01867451171138,0.809399126271367,Fragile and conflict affected situations
1996,560707649.0,667.085824757718,,11.4775285982865,5.34325696486662,1.18108177904145,Fragile and conflict affected situations
1997,572896408.0,739.884410575634,,6.32963151165518,5.50553453197986,2.51904247189779,Fragile and conflict affected situations
1998,585589666.0,716.605291027556,,5.77807678990062,5.77421588449796,2.17153739762679,Fragile and conflict affected situations
1999,598919585.0,755.080168864147,,4.14267137284048,5.9862704873768,1.71117387859898,Fragile and conflict affected situations
2000,612395529.0,858.5150261447,38.8899190320874,3.5130008982471,5.9576628079606,1.82598914449554,Fragile and conflict affected situations
2001,626177896.0,835.846825655225,40.4239490723364,5.18701191944063,5.88308553597052,1.8401745102601,Fragile and conflict affected situations
2002,641576379.0,802.39450047855,34.933397664063,4.37875971780872,5.89590355076234,1.67285356578439,Fragile and conflict affected situations
2003,657778626.0,820.390832339264,39.4320094094111,5.17967781908312,5.77557891637203,2.54977010527166,Fragile and conflict affected situations
2004,673751123.0,1010.61625449431,46.1813702948505,3.23751394003323,5.60447707244918,1.82660028451009,Fragile and conflict affected situations
2005,690141498.0,1240.48116355652,53.3361104891489,7.24034939348534,5.26268985640271,2.80828661206046,Fragile and conflict affected situations
2006,706884119.0,1499.8246881768,69.7165401200387,6.69526465773352,5.13167235059291,2.19960103736814,Fragile and conflict affected situations
2007,723581503.0,1784.9290620624,82.4970764103897,4.61743772241998,5.03393493048848,3.04374865481392,Fragile and conflict affected situations
2008,741028426.0,2207.57175683466,94.3463577924513,11.3051098827019,5.057716210477,2.68162963466015,Fragile and conflict affected situations
2009,759511035.0,1990.66587786692,95.5219544048871,3.65493779076635,5.13610648656357,2.11482493026929,Fragile and conflict affected situations
2010,778427274.0,2298.21374952124,102.545815360266,3.48050763735848,5.21851694917253,2.01002393531974,Fragile and conflict affected situations
2011,797489095.0,2109.70342698978,102.739902140706,5.44202470487832,5.2571741217904,2.53477610595644,Fragile and conflict affected situations
2012,817111040.0,2307.06855878978,106.309200529038,5.91200602491156,5.27945673920231,2.42428505656894,Fragile and conflict affected situations
2013,837103087.0,2337.38872226404,107.16784053059,3.43358526830742,5.29359073325132,1.66466654510393,Fragile and conflict affected situations
2014,856705624.0,2423.7327408166,106.067221645214,2.04528914622797,5.49275462362519,0.810903132768087,Fragile and conflict affected situations
2015,876118480.0,1891.18227274028,98.0729180955397,1.47672048910484,5.58890726163945,1.39047492845816,Fragile and conflict affected situations
2016,895949553.0,1744.35832922474,88.623373026746,2.88585107290009,5.7077157230638,1.50279666142684,Fragile and conflict affected situations
2017,916099469.0,1805.53759656673,92.4957517095248,2.7963731887128,5.90188383132827,1.8073337156895,Fragile and conflict affected situations
2018,936387926.0,1858.1329561773,85.665085511357,2.96760366004454,5.91816486091105,1.52006833371219,Fragile and conflict affected situations
2019,957446713.0,1884.58157651474,82.1774938356059,2.45280214062733,5.98166090745355,1.40440054520325,Fragile and conflict affected situations
2020,979418527.0,1716.21638516599,,2.9308718405117,6.85912391353817,0.922877491867056,Fragile and conflict affected situations
2021,1001462452.0,1796.39629429673,,4.48359014042394,7.03504797260403,2.20406111425193,Fragile and conflict affected situations
