Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,52637888.0,3865.92540043539,,6.06300309718189,,0.322695756199876,France
1973,53053660.0,4984.19668411585,,7.38060106398913,,0.425624843361698,France
1974,53415250.0,5345.89603453613,,13.6493174728138,,0.646692012142143,France
1975,53715733.0,6717.43948868856,,11.6859272493228,,0.433400883806224,France
1976,53966558.0,6899.06957775716,,9.62549578155529,,0.262522928578932,France
1977,54221988.0,7566.66255936088,,9.49455467190429,,0.462162850952539,France
1978,54486195.0,9299.74737338897,,9.25055846724437,,0.487750171258557,France
1979,54753575.0,11213.0236211621,,10.6467341716663,,0.421580945996769,France
1980,55052582.0,12738.5200524368,,13.5625788483016,,0.468106015362696,France
1981,55371044.0,11116.86105785,,13.3144055680071,,0.401205878861195,France
1982,55694106.0,10501.6091345216,,11.9784719523805,,0.271047895060443,France
1983,55992656.0,9998.97521903088,,9.45954847235314,,0.308227516502978,France
1984,56275701.0,9430.06964816743,,7.6738026224732,,0.451867818397614,France
1985,56569195.0,9778.08530538681,,5.83109973854516,,0.469230252751563,France
1986,56865193.0,13566.6607729285,,2.53852591781416,,0.422034252908678,France
1987,57168409.0,16340.7259713299,,3.28889821400136,,0.550188789421999,France
1988,57472651.0,17727.5108342779,,2.70081527508111,,0.833285657578695,France
1989,57766282.0,17747.5815980944,,3.49830220700748,,1.00505325773665,France
1990,58044701.0,21865.5552539348,,3.19428338029481,,1.0387249494969,France
1991,58557577.0,21675.7060879719,,3.21340732409685,9.13000011444092,1.1938090850068,France
1992,58849943.0,23814.227367599,,2.36376046269354,10.1999998092651,1.55833266381818,France
1993,59106166.0,22380.331904695,,2.10446277124641,11.3199996948242,1.56892947410949,France
1994,59327585.0,23496.367675721,,1.65551532926996,12.5900001525879,1.13323678428811,France
1995,59543659.0,26889.4250554833,,1.79648142095595,11.8299999237061,1.48250444153683,France
1996,59756533.0,26870.2852380937,,1.98288365089736,12.3699998855591,1.36838946976613,France
1997,59969944.0,24226.8846867539,,1.20394294026966,12.5699996948242,1.5863558407043,France
1998,60192790.0,24971.5744885632,,0.65112686783302,12.0699996948242,1.96382525516541,France
1999,60504420.0,24678.3910613218,,0.537141639134613,11.9799995422363,3.078804070037,France
2000,60921384.0,22416.425417915,2161.85302734,1.6759598872093,10.2200002670288,3.03074697177105,France
2001,61367388.0,22449.3396931175,2192.71582031,1.63478079549599,8.60999965667725,3.63966078420369,France
2002,61816234.0,24288.2700193508,2449.75830078,1.9234122872706,8.69999980926514,3.43347287145825,France
2003,62256970.0,29627.92426353,3006.3059082,2.09847219146922,8.3100004196167,2.29600283284986,France
2004,62716306.0,33797.1624418436,3458.62744141,2.14208964640242,8.90999984741211,1.67993859132812,France
2005,63188395.0,34768.1759037525,3575.02514648,1.74586936380481,8.48999977111816,3.87524735138074,France
2006,63628261.0,36470.2128399313,3811.55175781,1.67512449608728,8.44999980926514,3.40253485643684,France
2007,64021737.0,41557.6235648179,4312.31054688,1.48799805953858,7.65999984741211,3.14883387347586,France
2008,64379696.0,45515.9617533473,4807.37451172,2.81286194914787,7.05999994277954,2.32049138897663,France
2009,64710879.0,41737.7635518137,4737.578125,0.0876204781574529,8.73999977111816,0.682106491646852,France
2010,65030575.0,40676.0647913181,4592.38330078,1.53112270420924,8.86999988555908,1.47019572697397,France
2011,65345233.0,43846.4660764798,4931.87792969,2.11159795174997,8.8100004196167,1.54287540837324,France
2012,65662240.0,40870.8523645734,4644.59570313,1.95419531613507,9.39999961853027,1.22759662106149,France
2013,66002289.0,42602.7179652667,4893.47607422,0.863715497861826,9.92000007629395,1.12342342416042,France
2014,66312067.0,43068.5487241739,4982.99121094,0.507758822937957,10.289999961853,0.203254562718035,France
2015,66548272.0,36652.9223052178,4201.55566406,0.0375143805125363,10.3500003814697,1.75572374141658,France
2016,66724104.0,37062.5335723829,4257.14990234,0.183334861123848,10.0500001907349,1.32649169812718,France
2017,66918020.0,38781.0494870836,4402.07958984,1.03228275064674,9.40999984741211,1.38212038996387,France
2018,67158348.0,41557.8548588876,4657.75292969,1.85081508315494,9.02000045776367,2.77657814362355,France
2019,67388001.0,40494.8982936276,4491.73535156,1.10825492288292,8.40999984741211,1.96049400180615,France
2020,67571107.0,39055.2829280754,,0.476498852725083,8.01000022888184,0.557988045535164,France
2021,67749632.0,43658.9789781222,,1.64233141038392,7.8600001335144,2.98956103318738,France
