Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,126457.0,2581.37990184054,,,,,French Polynesia
1973,130883.0,3294.94997970757,,,,,French Polynesia
1974,135349.0,4103.02879178204,,,,,French Polynesia
1975,139833.0,4936.7702256683,,,,0.00434578929130955,French Polynesia
1976,144356.0,5072.79856065135,,,,0.0614511560200153,French Polynesia
1977,149007.0,5323.2155499121,,,,0.0302573241909778,French Polynesia
1978,153745.0,6540.50434649525,,,,0.0457452064847168,French Polynesia
1979,158563.0,7662.77419507932,,,,0.0123453491456899,French Polynesia
1980,163591.0,8071.44667682546,,,,,French Polynesia
1981,168892.0,7310.84406450035,,,,0.0105285060960493,French Polynesia
1982,174343.0,7088.8877693681,,,,0.404564143667906,French Polynesia
1983,179042.0,7172.51093469971,,,,-0.311482643476137,French Polynesia
1984,183146.0,7237.47961732907,,,,0.0754423500713549,French Polynesia
1985,187578.0,7720.95463777759,,,,0.0144999462665458,French Polynesia
1986,192196.0,11509.2316765406,,,,-0.00135622135204742,French Polynesia
1987,196856.0,13603.7365820834,,,,-0.00336074560512266,French Polynesia
1988,201740.0,13500.0315358702,,,,0.0738021878057393,French Polynesia
1989,206571.0,13223.9447459124,,,,1.52067397450792,French Polynesia
1990,211089.0,15728.718798864,,,,0.667437809828219,French Polynesia
1991,215444.0,15828.1511549322,,,12.0459995269775,0.991765531659804,French Polynesia
1992,219621.0,16909.9758401202,,,12.2930002212524,0.000807801030630928,French Polynesia
1993,223714.0,15844.3774834059,,,12.3059997558594,-0.091406412983913,French Polynesia
1994,227682.0,16145.8647078539,,,12.2069997787476,0.0421639890081497,French Polynesia
1995,231446.0,18090.5954569201,,,12.1800003051758,0.0496776214211186,French Polynesia
1996,235189.0,17713.7244628935,,,12.1450004577637,0.0852121357066793,French Polynesia
1997,239036.0,15741.8033718253,,,11.9799995422363,0.381890600295702,French Polynesia
1998,242882.0,16070.302049745,,,11.6280002593994,0.274903552363027,French Polynesia
1999,246821.0,15847.9322796659,,,11.7320003509521,0.113252814101174,French Polynesia
2000,250927.0,14346.1904811211,,,11.6820001602173,0.27430944328914,French Polynesia
2001,255049.0,14012.2420188429,,,11.8129997253418,0.662843455106463,French Polynesia
2002,259137.0,15302.3534322953,,,11.710000038147,0.275657422267723,French Polynesia
2003,263173.0,18724.4989738063,,,11.6129999160767,1.18132725392475,French Polynesia
2004,267132.0,20829.0737445182,,,11.701000213623,0.115382703681935,French Polynesia
2005,271060.0,21047.2024352311,,,11.7569999694824,0.137052798127066,French Polynesia
2006,274901.0,21382.2294130752,,,11.7950000762939,0.521428548916924,French Polynesia
2007,278178.0,23837.830673519,,,11.7399997711182,0.878419629446231,French Polynesia
2008,280558.0,25437.6776737658,,,11.9099998474121,0.194543821774479,French Polynesia
2009,282283.0,23326.0823771064,,,12.2690000534058,0.331741667421487,French Polynesia
2010,283788.0,21447.8520601636,,,12.1890001296997,1.05647318224588,French Polynesia
2011,285265.0,21747.9766649747,,,12.2760000228882,2.15733213816328,French Polynesia
2012,286584.0,19864.5380524315,,,12.1750001907349,2.5856880603146,French Polynesia
2013,288032.0,20941.5222349581,,,12.1169996261597,1.64472800939503,French Polynesia
2014,289873.0,21223.0837572513,,,12.1400003433228,1.00664473010547,French Polynesia
2015,291787.0,18252.5199732421,,,12.0869998931885,0.488319398848108,French Polynesia
2016,293541.0,18726.6422497652,,,12.085000038147,1.11959426589905,French Polynesia
2017,295450.0,19743.9549091166,,,11.9750003814697,-1.27865391503841,French Polynesia
2018,297606.0,20614.8988564664,,,12.081000328064,0.521345707176726,French Polynesia
2019,299717.0,20023.5047046924,,,12.1350002288818,0.231052591611857,French Polynesia
2020,301920.0,18910.3801296387,,,13.6700000762939,0.292554637195343,French Polynesia
2021,304032.0,19914.6035133645,,,13.2650003433228,0.352490190543218,French Polynesia
