Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,622289.0,691.814185576864,,3.48709164347888,,4.04173335723616,Gabon
1973,635288.0,1137.72131873058,,6.20714116814338,,2.19983737460894,Gabon
1974,648922.0,2379.66350958996,,12.0728041856619,,5.15471926824685,Gabon
1975,663340.0,3252.61997862242,,28.4529426372337,,7.73547211651081,Gabon
1976,678660.0,4434.34115885437,,20.1715644639721,,1.28596636465707,Gabon
1977,694931.0,4042.63023830888,,13.8525690862841,,1.24228064861273,Gabon
1978,712135.0,3355.37400806122,,10.7641690976807,,2.36646884268847,Gabon
1979,730188.0,4149.96016970129,,7.95269853751444,,1.8166304684873,Gabon
1980,749078.0,5713.20734816209,,12.3403592565602,,0.736562707349225,Gabon
1981,768904.0,5023.08367095381,,8.70650214893007,,1.4130538351579,Gabon
1982,789585.0,4582.16385118521,,16.6857968797491,,3.64118092355396,Gabon
1983,811098.0,4181.09245906108,,10.6719367588933,,3.29799582136366,Gabon
1984,833417.0,4273.31283405481,,5.85714285714297,,0.228119778949761,Gabon
1985,856482.0,3899.57379067469,,7.35492577597832,,0.451849383537204,Gabon
1986,880340.0,3866.27688577513,,6.2853551225645,,3.23916178836894,Gabon
1987,905016.0,3626.23096020627,,-0.946185688941432,,2.73648991039084,Gabon
1988,930464.0,4121.06581054962,,-8.77611940298512,,3.4567901195293,Gabon
1989,956509.0,4376.76117781368,,6.74083769633498,,-0.729314863351855,Gabon
1990,983028.0,6055.06024847805,,7.72532188841208,,1.23411082313201,Gabon
1991,1009995.0,5349.45218237547,,-11.6861126920888,17.798999786377,-1.01036539925727,Gabon
1992,1037446.0,5390.53680724247,,-9.54291330336573,17.9599990844727,2.26987150262261,Gabon
1993,1065390.0,4109.89879857863,,0.533746556474192,17.7800006866455,-2.59704974082741,Gabon
1994,1093611.0,3832.09323427579,,36.1162456962985,17.7159996032715,-2.37669287395473,Gabon
1995,1121964.0,4419.79056934776,,9.64653104079614,17.6200008392334,-3.94238828928462,Gabon
1996,1150601.0,4948.75316189166,,0.68969337728165,17.576000213623,-5.00720926149844,Gabon
1997,1179806.0,4514.99387102275,,3.97345007545301,17.4610004425049,-2.1534850333345,Gabon
1998,1209832.0,3705.81793161305,,1.44873854294598,17.4330005645752,2.95769388932015,Gabon
1999,1240764.0,3758.16193587765,,-1.93660397603628,17.6100006103516,1.91835587390645,Gabon
2000,1272935.0,3991.15702215689,127.96137238,0.504920025834855,17.3910007476807,5.4731254208,Gabon
2001,1306590.0,3844.56131246351,125.87947083,2.13762052701467,17.2339992523193,-2.00298896631497,Gabon
2002,1341696.0,3976.64695098087,137.92825317,0.036682889397103,17.2040004730225,0.0217546416082307,Gabon
2003,1378398.0,4724.25501012051,174.49160767,2.23535313551538,17.076000213623,1.53052255171909,Gabon
2004,1417110.0,5483.14490740061,191.20838928,0.408205307439275,17.0279998779297,4.04069399659597,Gabon
2005,1458353.0,6570.96280419631,199.66485596,3.70833333333304,16.9099998474121,3.40362363481615,Gabon
2006,1502534.0,6873.45431163044,223.49909973,-1.40940136600983,17.7369995117188,2.59310034373713,Gabon
2007,1549774.0,8036.9202578881,267.6078186,5.03031883679953,18.2719993591309,5.25722215694259,Gabon
2008,1599978.0,9732.22742799261,286.5473938,5.26430145575286,19.1900005340576,4.45376476012047,Gabon
2009,1653542.0,7325.90987146375,298.61239624,1.88570754577918,19.8339996337891,5.2475707228544,Gabon
2010,1711105.0,8399.59670299557,219.07191467,1.46154402720468,20.3899993896484,3.64540445617961,Gabon
2011,1772500.0,10273.7990117299,276.48001099,1.2633170783742,20.4179992675781,6.16978511740169,Gabon
2012,1836705.0,9348.5155721976,237.58187866,2.65241828695619,20.4890003204346,3.94472341865384,Gabon
2013,1902226.0,9250.08156410837,275.09753418,0.50544105891569,20.5069999694824,1.84153856749947,Gabon
2014,1966855.0,9255.36859701951,244.75701904,4.69045751826283,20.5650005340576,6.93864682138912,Gabon
2015,2028517.0,7090.45460996325,196.24397278,-0.338795188753357,20.6009998321533,0.289976986585147,Gabon
2016,2086206.0,6722.1983928425,217.0552063,2.1067071278405,20.6679992675781,8.86815359128915,Gabon
2017,2140215.0,6975.69579258695,201.05853271,2.65192583143898,20.7320003509521,8.80156949711693,Gabon
2018,2192012.0,7694.90604516325,218.47528076,4.74906652083221,20.7469997406006,8.17598938908953,Gabon
2019,2242785.0,7523.8622784598,215.01914978,2.46456756151187,20.6949996948242,9.20409835519923,Gabon
2020,2292573.0,6680.08267035383,,1.17681176042119,21.7259998321533,11.2083506238019,Gabon
2021,2341179.0,8635.32569443437,,,21.8360004425049,8.08644641664376,Gabon
