Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,560553.0,105.541393937331,,8.69811990079434,,2.87348817567568,"Gambia, The"
1973,577488.0,130.19832433715,,6.91860844589021,,1.861999867,"Gambia, The"
1974,594904.0,161.030239268723,,9.23631035966853,,1.25264185478951,"Gambia, The"
1975,612909.0,187.927607726259,,25.9249999994999,,0.0868187274909964,"Gambia, The"
1976,631894.0,177.544759851852,,17.0273310832519,,0.802214336317847,"Gambia, The"
1977,651934.0,211.822428879801,,12.3897308301286,,-0.405520162475869,"Gambia, The"
1978,672974.0,255.339423815325,,8.8553459121409,,1.22486179163806,"Gambia, The"
1979,695155.0,297.939858802815,,6.12895770734281,,5.97006419595918,"Gambia, The"
1980,718586.0,335.493189249693,,6.82461565247798,,0.116143677065239,"Gambia, The"
1981,742846.0,294.495017519571,,5.94422700614443,,0.918740855945941,"Gambia, The"
1982,768272.0,281.217454182655,,10.8558454553089,,0.124970206200385,"Gambia, The"
1983,795563.0,268.296241241813,,10.6363036761386,,-0.187400534907575,"Gambia, The"
1984,824798.0,215.008768123528,,22.0984594145327,,-0.958617054751416,"Gambia, The"
1985,855958.0,263.710195700147,,18.319884874273,,-0.22150861823767,"Gambia, The"
1986,888980.0,208.830580425073,,56.5601720135041,,-1.07193139390168,"Gambia, The"
1987,923914.0,238.795476878595,,23.529166955694,,0.691312137317751,"Gambia, The"
1988,960837.0,277.542524101176,,11.6905868876764,,0.441598291432846,"Gambia, The"
1989,999732.0,284.195856984002,,8.27501608751591,,4.82678064329074,"Gambia, The"
1990,1040616.0,304.707378633962,,12.1677841130696,,4.45308744607083,"Gambia, The"
1991,1083536.0,637.09403413915,,8.64234325973436,7.93100023269653,1.34292930805403,"Gambia, The"
1992,1127152.0,633.681580215791,,9.48654250617164,7.98899984359741,0.885295183023634,"Gambia, The"
1993,1168309.0,646.269564007316,,6.46380422753846,8.05799961090088,1.42259819721652,"Gambia, The"
1994,1205882.0,619.042072594049,,1.71020632305642,8.16899967193604,1.30160412592698,"Gambia, The"
1995,1242155.0,632.768843253997,,6.98097441830553,8.2189998626709,0.983368797135463,"Gambia, The"
1996,1279070.0,663.167073390534,,1.09948870771019,8.26000022888184,1.2561480596061,"Gambia, The"
1997,1317002.0,610.197055535572,,2.78122790023227,8.27700042724609,1.45172097338884,"Gambia, The"
1998,1356189.0,619.593039488998,,1.11418841174714,8.36900043487549,2.82047072554487,"Gambia, The"
1999,1396499.0,583.404255988526,,3.81237205366022,8.38500022888184,6.07322635522432,"Gambia, The"
2000,1437539.0,544.622025851887,50.86863708,0.844969566773702,8.47000026702881,5.55871041308145,"Gambia, The"
2001,1479449.0,464.638392151758,42.06741714,4.49259609239754,8.53499984741211,5.16141190816868,"Gambia, The"
2002,1522223.0,379.862894664105,40.10683441,8.60912474386326,8.77700042724609,7.40649100021527,"Gambia, The"
2003,1566257.0,310.957155570228,32.37854767,17.0328665431989,8.66100025177002,3.75179955508876,"Gambia, The"
2004,1612225.0,596.628948746453,35.62044907,14.2067432845568,8.73099994659424,5.77256609526234,"Gambia, The"
2005,1660368.0,618.960528260386,38.13536453,4.8386217754316,8.98600006103516,5.2204108524705,"Gambia, The"
2006,1711294.0,615.974477038703,41.04983521,2.05650342365982,9.0290002822876,7.79879095595874,"Gambia, The"
2007,1764883.0,725.09324687688,44.29708099,5.36913473801958,9.03800010681152,6.10256555461061,"Gambia, The"
2008,1820542.0,857.856307095633,50.54489899,4.44365490945012,9.05599975585938,4.53284925502074,"Gambia, The"
2009,1878119.0,772.123803641988,43.181633,4.56150687670986,9.13099956512451,2.72024309439199,"Gambia, The"
2010,1937275.0,796.630520987496,43.80532837,5.04968075857404,9.23099994659424,2.40660084845621,"Gambia, The"
2011,1998212.0,705.477974263661,41.94842529,4.79588266183109,9.60700035095215,2.55921653249812,"Gambia, The"
2012,2061014.0,686.558285433815,38.35943222,4.25432199813899,9.42000007629395,2.91047888419761,"Gambia, The"
2013,2124869.0,647.385300507399,27.41661644,5.69912989637381,8.59200000762939,4.96800504791773,"Gambia, The"
2014,2189019.0,561.649123155962,27.0407753,5.94799935696623,7.78599977493286,1.87188528095031,"Gambia, The"
2015,2253133.0,611.671334233568,20.98540878,6.80845494579613,6.81400012969971,5.22255549038334,"Gambia, The"
2016,2317206.0,640.676678884585,25.43909264,7.22879272057922,5.95900011062622,4.70369933133572,"Gambia, The"
2017,2381182.0,632.001146190196,28.17404747,8.0341897454591,5.03800010681152,4.27524081723773,"Gambia, The"
2018,2444916.0,683.324363124911,35.81452942,6.52096823946571,4.13000011444092,4.89653694972418,"Gambia, The"
2019,2508883.0,722.874793145171,29.72580338,7.11567625631191,4.17999982833862,3.91944096552617,"Gambia, The"
2020,2573995.0,704.029916035493,,5.93127636562439,5.09600019454956,10.4612836987224,"Gambia, The"
2021,2639916.0,772.152395143237,,7.37034758876615,4.98099994659424,12.3538300399822,"Gambia, The"
