Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4205300.0,,,,,,Georgia
1973,4242500.0,,,,,,Georgia
1974,4279500.0,,,,,,Georgia
1975,4311200.0,,,,,,Georgia
1976,4342400.0,,,,,,Georgia
1977,4372100.0,,,,,,Georgia
1978,4397700.0,,,,,,Georgia
1979,4430200.0,,,,,,Georgia
1980,4467700.0,,,,,,Georgia
1981,4504500.0,,,,,,Georgia
1982,4542800.0,,,,,,Georgia
1983,4582900.0,,,,,,Georgia
1984,4622200.0,,,,,,Georgia
1985,4662900.0,,,,,,Georgia
1986,4704500.0,,,,,,Georgia
1987,4743500.0,,,,,,Georgia
1988,4790700.0,,,,,,Georgia
1989,4803300.0,,,,,,Georgia
1990,4802000.0,1614.6401223992,,,,,Georgia
1991,4835900.0,1314.67067020404,,,2.70000004768372,,Georgia
1992,4873500.0,757.223548505358,,,5.40000009536743,,Georgia
1993,4911100.0,550.015542609224,,,5.40000009536743,0.000370208393049906,Georgia
1994,4836076.0,519.857581188288,,,8.39999961853027,0.318209021389782,Georgia
1995,4657722.0,578.344609852583,,162.717152150377,7.59999990463257,,Georgia
1996,4491699.0,689.05944138472,,39.3574999987146,11.5,,Georgia
1997,4349913.0,807.032285752352,,7.08761762948722,11.5,6.90780807482052,Georgia
1998,4243607.0,851.52595816837,,3.56680781278784,14.5299997329712,7.34182792059099,Georgia
1999,4157192.0,673.54343867503,,19.1926758218895,13.8000001907349,2.93923386314323,Georgia
2000,4077131.0,749.908534993961,51.85281754,4.06396201382596,10.8199996948242,4.29984428089904,Georgia
2001,4014373.0,801.990413888373,55.22227478,4.64604442058632,11.1599998474121,3.41270453057791,Georgia
2002,3978515.0,853.516453713318,64.06044006,5.58783730000795,12.5900001525879,4.72354263374493,Georgia
2003,3951736.0,1010.0079801313,77.73462677,0.837734531536578,11.5100002288818,8.39055718644147,Georgia
2004,3927340.0,1305.04748557208,100.87417603,5.65632636191134,12.6199998855591,9.61361623129554,Georgia
2005,3902469.0,1642.76093756395,126.44508362,8.24709043114158,13.8100004196167,7.06784834416032,Georgia
2006,3880347.0,1996.05712927664,145.05230713,9.16096508394495,13.5699996948242,15.123755846046,Georgia
2007,3860158.0,2635.35388202963,186.61778259,9.24489745592402,13.2799997329712,18.5993892603923,Georgia
2008,3848449.0,3324.73587905411,268.14035034,9.99948761552747,17.8700008392334,12.5222577594644,Georgia
2009,3814419.0,2822.66743023352,257.06176758,1.72751461137912,20.7099990844727,6.13737283911673,Georgia
2010,3786695.0,3233.29594347421,271.0166626,7.11017897486098,20.2000007629395,7.52166776509825,Georgia
2011,3756441.0,4021.74330617286,296.68869019,8.54293333333334,19.6299991607666,7.74510729445282,Georgia
2012,3728874.0,4421.81824228013,326.47607422,-0.943658853270966,19.6499996185303,5.87198283027116,Georgia
2013,3717668.0,4623.74572473419,334.6890564,-0.512058410947118,19.4200000762939,6.08836242104742,Georgia
2014,3719414.0,4739.18833846421,345.25598145,3.06881210379542,17.4400005340576,10.420824206159,Georgia
2015,3725276.0,4014.18594419329,275.84082031,4.00357820695098,16.5100002288818,11.6041937228191,Georgia
2016,3727505.0,4062.16988757379,301.54577637,2.13492713939124,16.6000003814697,10.9618706836434,Georgia
2017,3728004.0,4357.00093554628,285.98770142,6.03531725272117,13.9399995803833,11.8844503408851,Georgia
2018,3726549.0,4722.0424231414,312.74691772,2.61524471397664,12.6700000762939,7.41576486627716,Georgia
2019,3720161.0,4696.15058555612,291.12203979,4.85289821696731,11.5699996948242,7.91323474836721,Georgia
2020,3722716.0,4255.74299321254,,5.2024648897533,11.7299995422363,3.48322349901215,Georgia
2021,3708610.0,5023.27437961979,,9.56691433824767,12.2080001831055,6.8030975562795,Georgia
