Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,78688452.0,3809.98144489456,,5.48493671907592,,0.632842207082602,Germany
1973,78936666.0,5046.75510305815,,7.03202572360937,,0.527720741686291,Germany
1974,78967433.0,5639.07762129679,,6.98643242500426,,0.488878354071608,Germany
1975,78673554.0,6236.3588812986,,5.91032884500704,,0.140734902245255,Germany
1976,78336950.0,6634.85689909309,,4.24663460795069,,0.254229652004876,Germany
1977,78159814.0,7682.95377492882,,3.73416842414874,,0.158199266615724,Germany
1978,78091820.0,9482.04284964716,,2.71869053600734,,0.216546108397729,Germany
1979,78126350.0,11281.0233245081,,4.04362200638281,,0.196580448841648,Germany
1980,78288576.0,12138.3081034267,,5.44105619058071,,-0.0196332943657746,Germany
1981,78407907.0,10209.0731153846,,6.34424091961786,,-0.0519492912706831,Germany
1982,78333366.0,9913.73764159395,,5.24104712605721,,0.0602984679362692,Germany
1983,78128282.0,9864.3449403866,,3.29341460291844,,0.129476546600485,Germany
1984,77858685.0,9313.16941243118,,2.40579506889857,,0.0814584672224923,Germany
1985,77684873.0,9429.56921688214,,2.06623073224692,,0.0725028170490183,Germany
1986,77720436.0,13461.8310034147,,-0.129412805250905,,0.113932035236841,Germany
1987,77839920.0,16677.51078816,,0.249906160316282,,0.124803610977932,Germany
1988,78144619.0,17931.2823228876,,1.27412397156105,,-0.107660494587061,Germany
1989,78751283.0,17764.376445833,,2.78055980684944,,0.369803209794785,Germany
1990,79433029.0,22303.9613266628,,2.69647137791463,,0.144310232942164,Germany
1991,80013896.0,23357.757725073,,4.04703681637387,5.32000017166138,0.253701121901446,Germany
1992,80624598.0,26438.2303888417,,5.05697932185187,6.32000017166138,-0.10028883558063,Germany
1993,81156363.0,25522.6295733618,,4.47457505486754,7.67999982833862,0.023164615377059,Germany
1994,81438348.0,27076.60675014,,2.69305738121724,8.72999954223633,0.340906850799452,Germany
1995,81678051.0,31658.3493789135,,1.70616052419454,8.15999984741211,0.465679526092558,Germany
1996,81914831.0,30485.8665482279,,1.44972647330127,8.81999969482422,0.624360056288723,Germany
1997,82034771.0,26964.0494672673,,1.93936942452383,9.85999965667725,0.842609915413792,Germany
1998,82047195.0,27289.0593603191,,0.911185301235183,9.78999996185303,1.31874189081361,Germany
1999,82100243.0,26734.9425369252,,0.58543314394471,8.85000038146973,3.91971799476481,Germany
2000,82211508.0,23694.7604830673,2344.35473633,1.44026818676794,7.92000007629395,12.731503590187,Germany
2001,82349925.0,23628.3272122367,2346.61499023,1.98385693617829,7.76999998092651,2.9267553994045,Germany
2002,82488495.0,25197.2656001848,2567.50292969,1.42080560518857,8.47999954223633,2.46661519292525,Germany
2003,82534176.0,30310.3575963774,3152.79418945,1.03422776551069,9.77999973297119,2.61434522365247,Germany
2004,82516260.0,34106.6581224001,3459.82495117,1.66573340932676,10.7299995422363,-0.725154707065695,Germany
2005,82469422.0,34520.2396492496,3558.21337891,1.54690965159041,11.1700000762939,2.10179308132486,Germany
2006,82376451.0,36353.8803343631,3697.92163086,1.57742825864226,10.25,2.91996035974954,Germany
2007,82266372.0,41640.0808695147,4182.79931641,2.29834179696226,8.65999984741211,1.48433864746801,Germany
2008,82110097.0,45612.7106221441,4669.65332031,2.62838174873985,7.51999998092651,0.826503411355668,Germany
2009,81902307.0,41650.3678297162,4674.78320313,0.31273762987172,7.73999977111816,1.66219803352095,Germany
2010,81776930.0,41572.4559481507,4611.27587891,1.10380916115812,6.96999979019165,2.53076202316038,Germany
2011,80274983.0,46705.8957963353,5037.37011719,2.07517452479837,5.82000017166138,2.60141930420253,Germany
2012,80425823.0,43855.8544658618,4765.58300781,2.0084909216701,5.38000011444092,1.85541340766522,Germany
2013,80645605.0,46298.9229177341,5099.64111328,1.5047209800535,5.23000001907349,1.79976460383521,Germany
2014,80982500.0,48023.8699845462,5307.08203125,0.906797948515676,4.98000001907349,0.501101723711289,Germany
2015,81686611.0,41103.2564363768,4624.55664063,0.51442053951781,4.61999988555908,1.85914730811388,Germany
2016,82348669.0,42136.1207907991,4744.22949219,0.49174862477081,4.11999988555908,1.86485671126252,Germany
2017,82657002.0,44652.5891722719,5055.82128906,1.50949655801608,3.75,2.96695451159586,Germany
2018,82905782.0,47939.2782884504,5481.98730469,1.73216766075662,3.38000011444092,4.19853598708149,Germany
2019,83092962.0,46793.6867616004,5440.25146484,1.4456670146976,3.14000010490417,1.84350546307606,Germany
2020,83160871.0,46772.8253507545,,0.506689889953274,3.85999989509583,3.67071164581215,Germany
2021,83196078.0,51203.5544731043,,3.14296967309964,3.5699999332428,1.72900100135499,Germany
