Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,9365952.0,225.528909889931,,10.0671140939595,,0.544432060390764,Ghana
1973,9637197.0,255.830918237583,,17.6829268231711,,0.584061696658098,Ghana
1974,9918979.0,291.805228934167,,18.1347150268463,,0.493019313304721,Ghana
1975,10209848.0,275.234889195091,,29.8245614048168,,2.52196697706377,Ghana
1976,10509006.0,263.131854457799,,56.0810810829756,,-0.660372191231682,Ghana
1977,10825496.0,294.621934314009,,116.450216453639,,0.60253675395033,Ghana
1978,11163230.0,328.084092596074,,73.091666667343,,0.264745237383442,Ghana
1979,11515675.0,349.109185543003,,54.4412883345617,,-0.0696477925023032,Ghana
1980,11865246.0,374.642735242711,,50.0701393436364,,0.350938112573509,Ghana
1981,12212960.0,345.734499660551,,116.503603996541,,0.385174112113055,Ghana
1982,12584976.0,320.699411564957,,22.2955664080892,,0.403865773675261,Ghana
1983,12984131.0,312.479521565905,,122.874514572592,,0.0591530023147393,Ghana
1984,13342487.0,330.693958588397,,39.6653137947267,,0.0453280406266979,Ghana
1985,13651443.0,329.953555051631,,10.3054406698295,,0.124324481005574,Ghana
1986,13971682.0,409.943673547303,,24.5654160765001,,0.0750750404092352,Ghana
1987,14310790.0,354.615638407998,,39.8150678775363,,0.0926139410187668,Ghana
1988,14671677.0,354.27722264702,,31.3592676264768,,0.0961937854596098,Ghana
1989,15052447.0,348.897708410335,,25.2236920295825,,0.285618303587179,Ghana
1990,15446982.0,381.250837573773,,37.2590664855671,,0.251308552362022,Ghana
1991,15843471.0,416.357387573226,,18.0314390089849,3.49000000953674,0.30318896293309,Ghana
1992,16241548.0,394.907037299072,,10.0561167448841,4.69999980926514,0.35080051732596,Ghana
1993,16643633.0,358.470760447565,,24.9598424742497,5.26599979400635,2.09511634513571,Ghana
1994,17040854.0,319.500458689222,,24.8702554369576,5.88100004196167,4.2795004803074,Ghana
1995,17438874.0,370.731368016014,,59.4615536991446,6.45100021362305,1.64729672200937,Ghana
1996,17844010.0,388.644968786731,,46.5610196762282,7.02600002288818,1.73035709561061,Ghana
1997,18268040.0,377.233058048373,,27.8852086407528,7.625,1.18700242322899,Ghana
1998,18714708.0,399.737407504915,,14.6241666666674,8.19999980926514,2.23767807585569,Ghana
1999,19176791.0,402.536317922518,,4.8653978507754,10.1000003814697,3.1569995821145,Ghana
2000,19665502.0,253.389128238287,16.60114098,40.2409331239139,10.460000038147,3.3293033790627,Ghana
2001,20195577.0,263.171978395562,19.63329506,41.5094962878031,9.49199962615967,1.68055528267145,Ghana
2002,20758326.0,297.053343140232,20.25615883,9.36093239560307,8.51900005340576,0.955673775121772,Ghana
2003,21329514.0,357.833120475132,23.8780365,29.7729797160384,7.54099988937378,1.79171535286142,Ghana
2004,21906444.0,405.422648152147,26.37380219,18.0427388232565,6.57399988174438,1.56811418648954,Ghana
2005,22496951.0,477.60584133816,40.9943161,15.4389920155908,5.60900020599365,1.34922645094427,Ghana
2006,23098586.0,884.941312734753,47.44151688,11.6791839392492,4.6399998664856,3.11145897327568,Ghana
2007,23708320.0,1047.22076256788,56.52696991,10.7342665456292,4.86499977111816,5.57107526916742,Ghana
2008,24326087.0,1178.92786830433,63.90114212,16.494639613412,4.97499990463257,9.46666398642932,Ghana
2009,24950762.0,1043.9804678131,63.79364777,19.2469482220858,5.24300003051758,9.1083006226202,Ghana
2010,25574719.0,1258.94923018324,73.89850616,10.7333898354914,5.38000011444092,7.84957786927708,Ghana
2011,26205941.0,1501.08385003017,98.95211029,8.7284593709303,4.22300004959106,8.25574398173994,Ghana
2012,26858762.0,1536.59184802508,86.2456131,11.1863409441066,3.22499990463257,7.98266001107745,Ghana
2013,27525597.0,2282.34990530706,108.43035889,11.6661923071728,2.17000007629395,5.13665019969042,Ghana
2014,28196358.0,1942.90509974861,80.82213593,15.4896160333319,4.49499988555908,6.13949362332785,Ghana
2015,28870939.0,1711.29066611485,80.59490204,17.1499695007878,6.80999994277954,6.4613281838022,Ghana
2016,29554303.0,1900.40593746601,66.85624695,17.4546347070868,5.10599994659424,6.20550634742156,Ghana
2017,30222262.0,1998.73797992081,68.02945709,12.3719215507048,3.36999988555908,5.38848685157722,Ghana
2018,30870641.0,2180.04157022729,76.83074188,7.80876516610709,3.42899990081787,4.44140705490139,Ghana
2019,31522290.0,2167.91158941087,75.28166199,7.14364003330856,3.46300005912781,5.67745282272176,Ghana
2020,32180401.0,2176.57945945697,,9.88728956269943,3.7739999294281,2.67803720912029,Ghana
2021,32833031.0,2363.29929621422,,9.97108867504441,3.91899991035461,3.36724540053631,Ghana
