Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,27323.0,,,,,,Gibraltar
1973,27558.0,,,,,,Gibraltar
1974,27779.0,,,,,,Gibraltar
1975,27973.0,,,,,,Gibraltar
1976,28162.0,,,,,,Gibraltar
1977,28337.0,,,,,,Gibraltar
1978,28485.0,,,,,,Gibraltar
1979,28618.0,,,,,,Gibraltar
1980,28734.0,,,,,,Gibraltar
1981,28819.0,,,,,,Gibraltar
1982,28863.0,,,,,,Gibraltar
1983,28855.0,,,,,,Gibraltar
1984,28788.0,,,,,,Gibraltar
1985,28674.0,,,,,,Gibraltar
1986,28506.0,,,,,,Gibraltar
1987,28272.0,,,,,,Gibraltar
1988,28000.0,,,,,,Gibraltar
1989,27688.0,,,,,,Gibraltar
1990,27317.0,,,,,,Gibraltar
1991,26988.0,,,,,,Gibraltar
1992,26945.0,,,,,,Gibraltar
1993,27118.0,,,,,,Gibraltar
1994,27282.0,,,,,,Gibraltar
1995,27412.0,,,,,,Gibraltar
1996,27491.0,,,,,,Gibraltar
1997,27564.0,,,,,,Gibraltar
1998,27636.0,,,,,,Gibraltar
1999,27695.0,,,,,,Gibraltar
2000,27741.0,,,,,,Gibraltar
2001,27721.0,,,,,,Gibraltar
2002,27892.0,,,,,,Gibraltar
2003,28301.0,,,,,,Gibraltar
2004,28716.0,,,,,,Gibraltar
2005,29155.0,,,,,,Gibraltar
2006,29587.0,,,,,,Gibraltar
2007,29996.0,,,,,,Gibraltar
2008,30398.0,,,,,,Gibraltar
2009,30819.0,,,,,,Gibraltar
2010,31262.0,,,,,,Gibraltar
2011,31701.0,,,,,,Gibraltar
2012,32160.0,,,,,,Gibraltar
2013,32411.0,,,,,,Gibraltar
2014,32452.0,,,,,,Gibraltar
2015,32520.0,,,,,,Gibraltar
2016,32565.0,,,,,,Gibraltar
2017,32602.0,,,,,,Gibraltar
2018,32648.0,,,,,,Gibraltar
2019,32685.0,,,,,,Gibraltar
2020,32709.0,,,,,,Gibraltar
2021,32669.0,,,,,,Gibraltar
