Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,8888628.0,1899.67578389335,,4.33120123203346,,0.325723034473476,Greece
1973,8929086.0,2502.81474512238,,15.3846240702128,,0.277431633323515,Greece
1974,8962022.0,2828.74855899504,,26.5608465867348,,0.264286178541092,Greece
1975,9046541.0,3153.23577562809,,13.6287617821755,,0.0841341362783758,Greece
1976,9188150.0,3390.54497596312,,13.0242794587955,,0.979044096510224,Greece
1977,9308479.0,3886.37445146759,,12.3697970875078,,1.06976306502421,Greece
1978,9429959.0,4694.6337817198,,12.5724256724441,,0.966790212240232,Greece
1979,9548258.0,5705.94937054811,,19.0941746808767,,1.12514479465332,Greece
1980,9642505.0,5893.66189269128,,24.6758939736233,,1.18248103107566,Greece
1981,9729350.0,5380.26761963211,,24.5060675977966,,0.993380517889708,Greece
1982,9789513.0,5579.23461523759,,20.9910886220016,,0.798271781200894,Greece
1983,9846627.0,5019.87877056877,,20.1794812892138,,0.88814485523144,Greece
1984,9895801.0,4852.56566737719,,18.4568132050186,,1.00999532641562,Greece
1985,9934300.0,4813.71120474694,,19.3146929406643,,0.934738693653233,Greece
1986,9967213.0,5656.50533164528,,23.0154508205013,,0.835408648697146,Greece
1987,10000595.0,6564.88442712193,,16.3968631635364,,1.04032199119347,Greece
1988,10036983.0,7598.02800548468,,13.5288583215048,,1.18933228590409,Greece
1989,10089498.0,7846.67812242278,,13.6555638723612,,0.949866222184129,Greece
1990,10196792.0,9600.18523506603,,20.433499109463,,1.02665112772947,Greece
1991,10319927.0,10188.3697801238,,19.4558456445746,7.65000009536743,1.07947984317167,Greece
1992,10399061.0,11176.4584190614,,15.8770737923919,7.84000015258789,0.984300468920905,Greece
1993,10460415.0,10401.9830146096,,14.4112644439347,8.60999965667725,0.897903177897498,Greece
1994,10512922.0,11091.2838472779,,10.8740756809132,8.85999965667725,0.84132490532487,Greece
1995,10562153.0,12959.3242908115,,8.93451415961518,9.0600004196167,0.769296150489599,Greece
1996,10608800.0,13749.1151120679,,8.19455217632729,9.64999961853027,0.725345060009379,Greece
1997,10661259.0,13427.8325055002,,5.53600266773479,9.56999969482422,0.687354355598753,Greece
1998,10720509.0,13472.1376092623,,4.76622572397644,10.8400001525879,0.0492978611948149,Greece
1999,10761698.0,13249.6633239242,,2.63663306021979,11.8500003814697,0.0579996800226799,Greece
2000,10805808.0,12072.9293569196,885.41040039,3.15118162493827,11.2399997711182,-0.0062820866311515,Greece
2001,10862132.0,12549.036894906,1004.81542969,3.37396832213867,10.460000038147,0.00146818055136564,Greece
2002,10902022.0,14177.5721592705,1168.82409668,3.62935871878871,9.97999954223633,0.0221141414013334,Greece
2003,10928070.0,18518.3788387396,1566.40979004,3.53065027765554,9.40999984741211,0.695797659170262,Greece
2004,10955141.0,21995.477943746,1782.69592285,2.89884810758168,10.3100004196167,0.891391174178269,Greece
2005,10987314.0,22560.1472939077,1935.26757813,3.54507273335083,9.98999977111816,0.277754143805881,Greece
2006,11020362.0,24821.9367451879,2052.87548828,3.19594684144545,9.01000022888184,1.97823728049588,Greece
2007,11048473.0,28863.9732885018,2426.75952148,2.89500321516574,8.39999961853027,0.613705575128197,Greece
2008,11077841.0,32127.9831943287,2840.50854492,4.15279708110295,7.76000022888184,1.61093214151846,Greece
2009,11107017.0,29828.7560245271,2809.05957031,1.2100726919781,9.61999988555908,0.834961020727542,Greece
2010,11121341.0,26716.6488260274,2564.36938477,4.71298907760393,12.710000038147,0.179361228004649,Greece
2011,11104899.0,25483.8825644931,2338.91503906,3.3298532335065,17.8600006103516,0.385938886644913,Greece
2012,11045011.0,21912.9982879517,1948.24853516,1.50152696177748,24.4400005340576,0.686731020108175,Greece
2013,10965211.0,21787.7877636035,1813.87792969,-0.921269454256898,27.4699993133545,1.23280746804565,Greece
2014,10892413.0,21616.7100094908,1705.11450195,-1.31226096405516,26.4899997711182,1.14557064148088,Greece
2015,10820883.0,18083.8779056547,1452.05200195,-1.73588804765278,24.8999996185303,0.648464653767942,Greece
2016,10775971.0,17923.9668134716,1488.19812012,-0.825653978391008,23.5400009155273,1.39713720263227,Greece
2017,10754679.0,18582.0893411631,1505.94592285,1.12125452031427,21.4899997711182,1.7209047520311,Greece
2018,10732882.0,19756.990456255,1572.6842041,0.625621413453588,19.2900009155273,1.89835335150905,Greece
2019,10721582.0,19144.284387556,1500.5949707,0.25300752203812,17.3099994659424,2.43579299453194,Greece
2020,10698599.0,17658.9473011192,,-1.24798355581408,16.3099994659424,1.74864703867084,Greece
2021,10641221.0,20192.5963039061,,1.22382501019855,14.710000038147,2.85398853183224,Greece
