Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,48300.0,2196.71171134534,,,,,Greenland
1973,49000.0,2860.28057640115,,,,,Greenland
1974,49500.0,3432.70603291276,,,,,Greenland
1975,49600.0,4257.949711754,,,,,Greenland
1976,49700.0,4844.67632927424,,,,,Greenland
1977,49400.0,5713.95491904992,,,,,Greenland
1978,49200.0,7235.54974098321,,,,,Greenland
1979,49600.0,8480.69482681448,,,,,Greenland
1980,50200.0,9483.17307607343,,,,,Greenland
1981,51000.0,8544.05832861263,,,,,Greenland
1982,51500.0,7813.69066733532,,,,,Greenland
1983,52100.0,7988.170958612,,,,,Greenland
1984,52700.0,7198.70224749384,,,,,Greenland
1985,53200.0,7760.82840448295,,,,,Greenland
1986,53500.0,11271.3214290252,,,,,Greenland
1987,54100.0,14554.3875384826,,,,,Greenland
1988,54800.0,16398.0110939363,,,,,Greenland
1989,55300.0,16813.6839491482,,,,,Greenland
1990,55600.0,18326.8051234609,,,,,Greenland
1991,55500.0,18315.1963031585,,,,,Greenland
1992,55300.0,18768.9301437197,,,,,Greenland
1993,55200.0,16797.4588562842,,,,,Greenland
1994,55500.0,18123.9630348205,,,,,Greenland
1995,55800.0,21665.7018983672,,,,,Greenland
1996,55900.0,21422.3575434047,,,,,Greenland
1997,56000.0,19145.4960362523,,,,,Greenland
1998,56100.0,20496.661371851,,,,,Greenland
1999,56100.0,20170.4384160027,,,,,Greenland
2000,56200.0,19004.1072910304,,,,,Greenland
2001,56350.0,19275.4733376066,,,,,Greenland
2002,56609.0,20652.8783287878,,,,,Greenland
2003,56765.0,27459.7627839484,,,,,Greenland
2004,56911.0,32023.4522076237,,,,,Greenland
2005,56935.0,32489.7819085278,,,,,Greenland
2006,56774.0,35458.1231210482,,,,,Greenland
2007,56555.0,39780.9514445753,,,,,Greenland
2008,56328.0,44367.0556497873,,,,,Greenland
2009,56323.0,44918.5648770756,,,,,Greenland
2010,56905.0,43988.3324931946,,,,,Greenland
2011,56890.0,47186.9814680048,,,,,Greenland
2012,56810.0,45936.7659516989,,,,,Greenland
2013,56483.0,47535.5899453685,,,,,Greenland
2014,56295.0,50484.9275739023,,,,,Greenland
2015,56114.0,44536.4013080999,,,,,Greenland
2016,56186.0,48181.874188064,,,,,Greenland
2017,56171.0,50766.5994182748,,,,,Greenland
2018,56023.0,54545.2999786248,,,,,Greenland
2019,56225.0,53256.2440862119,,,,,Greenland
2020,56367.0,54571.2091605745,,,,,Greenland
2021,56653.0,,,,,,Greenland
