Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,98225.0,,,,,,Grenada
1973,97886.0,,,,,,Grenada
1974,97528.0,,,,,,Grenada
1975,97165.0,,,,,,Grenada
1976,96781.0,,,,,,Grenada
1977,96329.0,742.190775209804,,18.4568835098337,,-0.139870908579716,Grenada
1978,95811.0,921.839729219988,,18.1353767560664,,1.58510210005355,Grenada
1979,95242.0,1073.52178893999,,20.8828828828831,,0.0,Grenada
1980,94838.0,1169.36731096224,,21.821433894768,,0.0,Grenada
1981,95222.0,1214.55040735218,,18.7874709409026,,0.0,Grenada
1982,96534.0,1299.39285640293,,7.81274141216488,,1.51472161927887,Grenada
1983,98177.0,1342.50946985773,,6.09534728193343,,1.8967622327697,Grenada
1984,99618.0,1460.91379811621,,5.65961278703288,,1.92395815483648,Grenada
1985,100576.0,1667.67872241077,,2.50138492350979,,2.4510516755026,Grenada
1986,100893.0,1859.29175059313,,0.557079903550541,,2.38898282779597,Grenada
1987,100599.0,2137.29330937315,,-0.872333388457486,,6.84724044961457,Grenada
1988,99877.0,2366.48601483528,,4.00000000000012,,6.3384830094354,Grenada
1989,99224.0,2694.18328451002,,5.59294871794895,,3.92083713990509,Grenada
1990,99047.0,2807.74544370817,,2.72423736530524,,4.62931727452116,Grenada
1991,99758.0,3014.87488611328,,2.64460367880677,,5.07852815781564,Grenada
1992,101040.0,3069.67977478666,,3.77833753148617,,7.28058070781049,Grenada
1993,102173.0,3032.23146217871,,2.80859916782246,,6.53562032624543,Grenada
1994,103174.0,3151.10216541779,,3.77065767284964,,5.93983676727061,Grenada
1995,104060.0,3288.22331845588,,1.86882475298978,,5.83851031177906,Grenada
1996,104846.0,3499.52734910673,,2.03235172127784,,4.62317630583786,Grenada
1997,105549.0,3715.72059036649,,1.2445278298934,,8.54176531327455,Grenada
1998,106200.0,4198.71556113552,,1.377693303895,,10.9183209092615,Grenada
1999,106823.0,4512.22461801644,,0.577427638677121,,8.62054856317917,Grenada
2000,107432.0,4840.68406406257,270.98391724,2.18181818181818,,7.19311842194662,Grenada
2001,107936.0,4821.78499467448,283.47583008,3.14099305202546,,11.2880784953423,Grenada
2002,108231.0,4992.44140704535,322.0144043,1.06721547992871,,10.084243048079,Grenada
2003,108740.0,5435.15180621121,300.36419678,2.15492809908679,,15.0869525465053,Grenada
2004,109516.0,5470.60331451653,308.14840698,2.31291678226117,,10.8516634498011,Grenada
2005,110254.0,6308.66504213503,341.89974976,3.47580693755399,,10.08648828541,Grenada
2006,110988.0,6295.28117153806,340.39715576,4.25195321977968,,12.8505885898894,Grenada
2007,111725.0,6790.63408004111,377.75787354,3.8588292246965,,20.6350576439493,Grenada
2008,112478.0,7343.44526962639,421.84429932,8.03327327650343,,16.3240308783059,Grenada
2009,113249.0,6810.44031784436,396.14376831,-0.308654779585646,,13.2969808551875,Grenada
2010,114039.0,6760.96124360315,393.33410645,3.43650905943355,,7.83655279406733,Grenada
2011,114918.0,6775.7525011393,423.11541748,3.03347280334727,,5.47715393715001,Grenada
2012,115912.0,6900.77178600369,433.50952148,2.41077704021867,,3.93681227436205,Grenada
2013,116945.0,7205.26838352312,438.27972412,-0.0439997864828037,,8.8638298977752,Grenada
2014,117972.0,7726.40965652867,399.53253174,-0.98360305555493,,11.7166393521058,Grenada
2015,118980.0,8379.62184743156,422.72177124,-0.515448031435387,,15.6911696489123,Grenada
2016,119966.0,8849.51353500776,427.35168457,1.65038994431577,,10.3478174358754,Grenada
2017,120921.0,9309.23066697663,472.76403809,0.908458255874211,,13.8282585166846,Grenada
2018,121838.0,9574.27987254478,479.81176758,0.804102313277037,,15.7740194007963,Grenada
2019,122724.0,9887.92074235834,534.27441406,0.59814976473601,,16.3973140363487,Grenada
2020,123663.0,8437.56673228706,,-0.740732597045501,,14.2619567943411,Grenada
2021,124610.0,9010.57224466261,,1.21951193916844,,12.8451324604035,Grenada
