Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,92815.0,,,,,,Guam
1973,95100.0,,,,,,Guam
1974,97329.0,,,,,,Guam
1975,99478.0,,,,,,Guam
1976,101590.0,,,,,,Guam
1977,103676.0,,,,,,Guam
1978,105710.0,,,,,,Guam
1979,107790.0,,,,,,Guam
1980,110286.0,,,,,,Guam
1981,113221.0,,,,,,Guam
1982,116189.0,,,,,,Guam
1983,119067.0,,,,,,Guam
1984,121885.0,,,,,,Guam
1985,124675.0,,,,,,Guam
1986,127462.0,,,,,,Guam
1987,130259.0,,,,,,Guam
1988,133079.0,,,,,,Guam
1989,135759.0,,,,,,Guam
1990,138263.0,,,,,,Guam
1991,140739.0,,,,3.50999999046326,,Guam
1992,143173.0,,,,3.83999991416931,,Guam
1993,145541.0,,,,5.53000020980835,,Guam
1994,147843.0,,,,7.59999990463257,,Guam
1995,150094.0,,,,7.90000009536743,,Guam
1996,152261.0,,,,8.27999973297119,,Guam
1997,154330.0,,,,9.67000007629395,,Guam
1998,156357.0,,,,7.73999977111816,,Guam
1999,158395.0,,,,13.9499998092651,,Guam
2000,160188.0,,,,15.3199996948242,,Guam
2001,161524.0,,,,13.210000038147,,Guam
2002,162563.0,20878.059583054,,,11.3900003433228,,Guam
2003,163385.0,21844.110536463,,,9.75399971008301,,Guam
2004,164004.0,23590.8880271213,,,7.69999980926514,,Guam
2005,164430.0,25621.845162075,,,7.0,,Guam
2006,164675.0,25735.5396994079,,,7.40000009536743,,Guam
2007,164763.0,26686.8168217379,,,8.30000019073486,,Guam
2008,164725.0,28277.432083776,,,8.71199989318848,,Guam
2009,164580.0,29335.2776765099,,,9.30000019073486,,Guam
2010,164905.0,30011.2185803948,,,8.19999980926514,,Guam
2011,165649.0,30087.7155914011,,,13.3000001907349,,Guam
2012,166392.0,31642.1462570316,,,12.1999998092651,,Guam
2013,167054.0,32318.8908975541,,,11.5,,Guam
2014,167543.0,33483.9414359299,,,7.59999990463257,,Guam
2015,167978.0,34522.3779304433,,,6.90000009536743,,Guam
2016,168346.0,35052.8079075238,,,5.40000009536743,,Guam
2017,168606.0,35663.0250406273,,,5.42999982833862,,Guam
2018,168678.0,35902.725903793,,,5.54699993133545,,Guam
2019,168624.0,37752.633077142,,,5.47700023651123,,Guam
2020,169231.0,34780.8616624614,,,6.5770001411438,,Guam
2021,170534.0,35904.8635462723,,,6.25,,Guam
