Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,5723759.0,367.118881140873,,0.529703252323021,,0.756674439632608,Guatemala
1973,5858466.0,438.544851160696,,13.7960339945019,,1.35450718299443,Guatemala
1974,5994300.0,527.417696811971,,16.4948966890134,,1.49928835677015,Guatemala
1975,6131151.0,594.651803552057,,13.1592443798582,,2.19424559093777,Guatemala
1976,6269983.0,696.222015275002,,10.72499999925,,0.286349149595714,Guatemala
1977,6412667.0,854.636643380983,,12.3245796860999,,1.77903469467988,Guatemala
1978,6561919.0,925.12574446591,,8.28797624957703,,2.09534470743107,Guatemala
1979,6720582.0,1027.08369602514,,11.3433858811608,,1.6950134240717,Guatemala
1980,6890346.0,1143.44040197691,,10.8238432335411,,1.4050541332961,Guatemala
1981,7071186.0,1217.26402049105,,11.4330679503505,,1.47661917595286,Guatemala
1982,7262658.0,1200.24923382046,,0.307385561437055,,0.884478635464448,Guatemala
1983,7462585.0,1212.71655867236,,4.53867815133257,,0.497237547083423,Guatemala
1984,7669863.0,1234.7026407121,,3.40675011837791,,0.401267155213652,Guatemala
1985,7884034.0,1233.08094396302,,18.6867912971238,,0.635694421557388,Guatemala
1986,8104921.0,892.292906492455,,36.9311212965016,,0.951332232912412,Guatemala
1987,8332446.0,850.218512067165,,12.3232132755046,,2.12015136627297,Guatemala
1988,8566331.0,915.398065335962,,10.8327037689913,,4.20704806640199,Guatemala
1989,8805995.0,955.113460863361,,11.3871321997958,,0.90598617587788,Guatemala
1990,9050115.0,845.306962105181,,41.2218671380973,,0.623519205826901,Guatemala
1991,9296814.0,1011.75496628105,,33.1664219167535,2.65599989891052,0.96426810091104,Guatemala
1992,9544055.0,1093.96290835701,,10.0459179984088,2.63800001144409,0.901268293400374,Guatemala
1993,9790619.0,1164.374025081,,11.8196901746257,2.66899991035461,1.25000631000284,Guatemala
1994,10037522.0,1293.47019794619,,10.8553211494391,2.67600011825562,0.502186066465191,Guatemala
1995,10286786.0,1424.68254256258,,8.41141312270567,2.66400003433228,0.513121288070686,Guatemala
1996,10536942.0,1487.60765839974,,11.0569165321987,2.72300004959106,0.490595256545279,Guatemala
1997,10788362.0,1649.00160206099,,9.23290294884937,2.69899988174438,3.54917970403487,Guatemala
1998,11046215.0,1755.84958223191,,6.61346070518057,2.69400000572205,6.94130368276462,Guatemala
1999,11311078.0,1619.51073552531,,5.2136105860112,2.73300004005432,5.04738067531559,Guatemala
2000,11589761.0,1664.29895827045,83.95554352,5.9775773473714,2.75,-4.08837713928081,Guatemala
2001,11871565.0,1550.36036555447,100.39343262,7.28587366610134,2.79299998283386,-5.08820449834112,Guatemala
2002,12147518.0,1682.99450068936,107.95598602,8.13263054281055,2.76699995994568,-4.97449876130187,Guatemala
2003,12415334.0,1737.87928692973,113.61289978,5.6034767543447,2.80999994277954,0.0903239703402523,Guatemala
2004,12682108.0,1859.098363351,122.26273346,7.57862247309731,2.97000002861023,1.36317639320526,Guatemala
2005,12948292.0,2068.50012859333,132.33413696,9.10864985719216,3.05299997329712,2.01616338268204,Guatemala
2006,13213330.0,2251.08796275499,148.71377563,6.56085282795383,3.08200001716614,2.13586651977653,Guatemala
2007,13477017.0,2490.74912665208,158.33392334,6.82161753590322,3.14000010490417,2.55959059342737,Guatemala
2008,13739299.0,2802.46196190125,174.77886963,11.355761126315,3.31399989128113,1.89951505181729,Guatemala
2009,14000190.0,2651.81712283814,168.18478394,1.85910254733027,3.48900008201599,1.34628564826935,Guatemala
2010,14259687.0,2852.54732650116,173.75178528,3.85950909833169,3.5,2.71031682234329,Guatemala
2011,14521515.0,3228.0457411296,189.24290466,6.21412393067094,3.09500002861023,1.87037811588477,Guatemala
2012,14781942.0,3355.03691881272,198.46655273,3.78180754679685,2.75999999046326,2.82256117029867,Guatemala
2013,15043981.0,3522.77370621475,196.1355896,4.34337131279513,3.01999998092651,2.87215633283167,Guatemala
2014,15306316.0,3779.64233613025,213.94274902,3.41836169662962,2.72000002861023,2.43301104341574,Guatemala
2015,15567419.0,3994.63691288475,229.80619812,2.38872032839552,2.50999999046326,1.93508421445702,Guatemala
2016,15827690.0,4173.30166619474,241.78253174,4.44844199942824,2.57999992370605,1.28045247920901,Guatemala
2017,16087418.0,4454.04814983548,259.9125061,4.42453655182543,2.46000003814697,1.39328243744598,Guatemala
2018,16346950.0,4485.73125489372,259.62017822,3.75186186704512,2.27999997138977,1.2579063404773,Guatemala
2019,16604026.0,4647.69334663252,271.02127075,3.69998398008601,2.19000005722046,1.517108293939,Guatemala
2020,16858333.0,4604.57667897864,,3.21444062197346,3.35899996757507,1.29386841757442,Guatemala
2021,17109746.0,5025.5422907779,,4.26105127422819,2.94199991226196,4.18414982926867,Guatemala
