Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,595950.0,147.164742956899,,,,,Guinea-Bissau
1973,603203.0,148.166102105155,,,,,Guinea-Bissau
1974,623576.0,158.40142812964,,,,,Guinea-Bissau
1975,659635.0,165.221281701902,,,,-0.119281659981017,Guinea-Bissau
1976,701016.0,160.319434942536,,,,,Guinea-Bissau
1977,746588.0,153.995519892343,,,,0.0347913194723128,Guinea-Bissau
1978,794328.0,154.428471348895,,,,,Guinea-Bissau
1979,821598.0,144.277219678046,,,,0.194030810609566,Guinea-Bissau
1980,831462.0,133.083449060455,,,,,Guinea-Bissau
1981,844957.0,183.124075777785,,,,,Guinea-Bissau
1982,858630.0,192.776439797954,,,,0.0,Guinea-Bissau
1983,872394.0,187.504199164958,,,,0.0,Guinea-Bissau
1984,886210.0,156.259690850486,,,,1.65368152809187,Guinea-Bissau
1985,900088.0,159.824653953,,,,1.00099917014122,Guinea-Bissau
1986,914122.0,142.459123345846,,,,0.629679310368886,Guinea-Bissau
1987,928408.0,187.241344334255,,,,0.0690304367924068,Guinea-Bissau
1988,943080.0,174.384061074383,,60.2817826333536,,0.41347912689566,Guinea-Bissau
1989,958239.0,222.431999163442,,80.7881406436234,,0.220509218568858,Guinea-Bissau
1990,973551.0,250.589846359037,,33.0019778318025,,0.827997818166293,Guinea-Bissau
1991,993856.0,258.740073078707,,57.5952847505664,2.95600008964539,0.812753980063594,Guinea-Bissau
1992,1022904.0,221.246024797132,,69.5836363993792,2.99000000953674,2.57607321218784,Guinea-Bissau
1993,1056761.0,224.157422214094,,48.1081660687068,2.9909999370575,1.39310556123741,Guinea-Bissau
1994,1089617.0,216.241159509192,,15.1763474313441,2.9909999370575,0.182497207627545,Guinea-Bissau
1995,1117222.0,227.320015429519,,45.3653083621856,2.99000000953674,0.0157500825860242,Guinea-Bissau
1996,1140604.0,237.084719515369,,50.734054961212,2.95700001716614,0.380889298192746,Guinea-Bissau
1997,1162443.0,231.022938947714,,49.100923576953,2.9909999370575,4.27446141556714,Guinea-Bissau
1998,1184071.0,174.362470238443,,8.01375518965603,3.20000004768372,2.13464623476089,Guinea-Bissau
1999,1206474.0,186.035226453739,,-2.08630513223528,3.03500008583069,0.325634875129837,Guinea-Bissau
2000,1230849.0,301.495561232743,21.97258759,8.63632094930279,3.01699995994568,0.189242619240965,Guinea-Bissau
2001,1257380.0,312.253563675719,22.55652237,3.34812265527109,3.04200005531311,0.100762110904178,Guinea-Bissau
2002,1285678.0,324.969912433735,21.6668129,3.30012175283749,3.06800007820129,0.848539281034391,Guinea-Bissau
2003,1315653.0,362.906175648699,25.36907578,-3.50258551103418,3.06699991226196,0.838921677753437,Guinea-Bissau
2004,1347009.0,394.995822138113,33.14950943,0.883302696930925,3.06200003623962,0.36003887008467,Guinea-Bissau
2005,1379713.0,425.471858600051,34.49228668,3.32919922802853,3.06200003623962,1.48075602458556,Guinea-Bissau
2006,1414091.0,418.902098982343,33.5909462,1.95473717628918,3.08200001716614,3.01960831338891,Guinea-Bissau
2007,1450572.0,480.438620708702,38.92570114,4.61743772241998,3.08500003814697,2.69333137007551,Guinea-Bissau
2008,1488431.0,583.26836011893,46.37084961,10.4600731354706,3.09500002861023,0.763697295273439,Guinea-Bissau
2009,1527196.0,543.562496226161,41.68201065,-1.65139733620775,3.1029999256134,2.27558097265646,Guinea-Bissau
2010,1567220.0,542.284059816737,38.65888214,2.51785140171702,3.10400009155273,3.08752396248885,Guinea-Bissau
2011,1609017.0,683.534513296715,46.01939011,5.04610226320203,3.09299993515015,2.27528850718255,Guinea-Bissau
2012,1652717.0,598.572671326768,38.86497116,2.13054580274495,3.16000008583069,0.669676524927868,Guinea-Bissau
2013,1697753.0,616.159958468139,47.39303589,1.20712555668411,3.14000010490417,1.87744384083206,Guinea-Bissau
2014,1743309.0,605.122583085693,66.8697052,-1.50924460570499,3.16300010681152,2.73507439382533,Guinea-Bissau
2015,1788919.0,585.957010585942,53.94601822,1.47672048910484,3.14199995994568,1.77208303662279,Guinea-Bissau
2016,1834552.0,642.666406419137,58.17870712,1.5031205586109,3.15100002288818,1.20624600480255,Guinea-Bissau
2017,1879826.0,718.2457991071,56.28972626,1.69111461822295,3.16199994087219,1.16215847772031,Guinea-Bissau
2018,1924955.0,781.644309083979,61.23582077,0.381324702791038,3.20000004768372,1.36670254905123,Guinea-Bissau
2019,1970457.0,730.611448705215,62.57557678,0.246600268147853,3.17499995231628,4.97754701310162,Guinea-Bissau
2020,2015828.0,710.258138543444,,1.14000939393218,3.60500001907349,1.46601018144843,Guinea-Bissau
2021,2060721.0,795.118569260485,,2.24248879577662,3.68700003623962,1.45346252609195,Guinea-Bissau
