Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4372212.0,,,,,,Guinea
1973,4445207.0,,,,,,Guinea
1974,4517073.0,,,,,,Guinea
1975,4588006.0,,,,,,Guinea
1976,4658743.0,,,,,,Guinea
1977,4730375.0,,,,,,Guinea
1978,4804926.0,,,,,,Guinea
1979,4885199.0,,,,,,Guinea
1980,4972609.0,,,,,,Guinea
1981,5067427.0,,,,,,Guinea
1982,5170731.0,,,,,,Guinea
1983,5282274.0,,,,,,Guinea
1984,5402084.0,,,,,,Guinea
1985,5531661.0,,,,,,Guinea
1986,5671380.0,351.799160124579,,,,0.421013227115587,Guinea
1987,5820774.0,350.733088001229,,,,0.629427409672993,Guinea
1988,5977175.0,398.900146370874,,,,0.657636472814075,Guinea
1989,6136166.0,396.343487745735,,,,0.506983995691153,Guinea
1990,6354145.0,419.686784901745,,,,0.669728898721954,Guinea
1991,6615734.0,455.740532936423,,,4.5479998588562,1.28587901836663,Guinea
1992,6832195.0,480.756264016149,,,4.53999996185303,0.599460416838243,Guinea
1993,7046097.0,465.377727018743,,,4.51200008392334,0.0829496756773146,Guinea
1994,7262112.0,465.855226081146,,,4.53599977493286,0.00620733780307789,Guinea
1995,7468347.0,494.582071897826,,,4.52799987792969,0.020819173379939,Guinea
1996,7683115.0,503.5676677908,,,4.53499984741211,0.614479058621678,Guinea
1997,7842806.0,482.442184805233,,,4.52600002288818,0.457250783337237,Guinea
1998,7992545.0,448.965314147432,,,4.55999994277954,0.49632487222515,Guinea
1999,8174897.0,423.40381085239,,,4.56099987030029,1.83320564586727,Guinea
2000,8336967.0,359.286673514741,23.25880432,,4.59000015258789,0.331913232936639,Guinea
2001,8445717.0,335.014298551044,22.10682106,,4.57299995422363,0.0592697635066877,Guinea
2002,8577790.0,343.934585592782,25.11639214,,4.55000019073486,1.01688067719297,Guinea
2003,8772254.0,392.879834305685,25.97828102,,4.65199995040894,2.29123272404856,Guinea
2004,8961039.0,405.696050720588,26.85198975,,4.65999984741211,2.69292057363214,Guinea
2005,9140114.0,321.338636176284,19.9973259,31.3733025877534,4.67700004577637,3.57498925190059,Guinea
2006,9330625.0,452.2761597158,16.37116814,34.6952705997073,4.73999977111816,2.96207180132655,Guinea
2007,9547082.0,657.993474435696,22.65229225,18.1755656108597,4.65999984741211,6.14302862816752,Guinea
2008,9779785.0,712.099416689035,23.32743073,23.065612938798,4.73899984359741,5.48348899950125,Guinea
2009,10021323.0,670.261258794354,24.11286354,4.68438868976501,4.87099981307983,1.35523735774528,Guinea
2010,10270728.0,667.281604343068,23.04636955,15.4619810737553,4.78200006484985,0.0,Guinea
2011,10527712.0,644.50254459569,24.67529106,21.3504664236733,4.79500007629395,14.0905036354573,Guinea
2012,10788692.0,707.967680829951,24.29986,15.225101393202,4.81599998474121,7.92820649561991,Guinea
2013,11055430.0,757.692269162995,26.61382103,11.8878956127303,4.88299989700317,0.00226821963570148,Guinea
2014,11333365.0,774.569037046568,37.69287872,7.07202121016676,4.91599988937378,-0.840221283360287,Guinea
2015,11625998.0,756.425594058563,44.68756485,10.8206821245734,4.94199991226196,0.605767933618839,Guinea
2016,11930985.0,720.473253567737,39.52141953,8.17211696321603,4.83300018310547,18.8280086486388,Guinea
2017,12240789.0,843.464278862423,33.49687195,8.91452597036354,4.87099981307983,5.59427174884572,Guinea
2018,12554864.0,944.417266210548,35.70616531,9.82600180777342,4.97700023651123,2.97511257024732,Guinea
2019,12877539.0,1043.8998820932,43.03782272,9.47077937313535,5.01999998092651,0.330286823127535,Guinea
2020,13205153.0,1073.65933709951,,10.6018600008336,5.94500017166138,1.24384287055667,Guinea
2021,13531906.0,1189.17599946631,,12.5970695076018,5.82000017166138,1.22801539227817,Guinea
