Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,721994.0,395.267761755572,,,,0.876022025696646,Guyana
1973,729865.0,420.690975793632,,,,2.67059550093052,Guyana
1974,737701.0,588.252619224517,,,,0.313396878600608,Guyana
1975,745590.0,663.624333302038,,,,0.161684210526316,Guyana
1976,753553.0,603.063089125782,,,,1.10245574773347,Guyana
1977,761378.0,590.876016906189,,,,-0.392261465956473,Guyana
1978,768609.0,659.73726563181,,,,0.792774295969078,Guyana
1979,774482.0,684.896485651054,,,,0.110895727009337,Guyana
1980,778176.0,775.145982399868,,,,0.0975191137845371,Guyana
1981,779686.0,731.521544753731,,,,-0.311695559877472,Guyana
1982,779639.0,618.234849718908,,,,0.91977870016828,Guyana
1983,778372.0,628.662558947821,,,,0.96730245263851,Guyana
1984,776007.0,563.953166998697,,,,1.02575304559163,Guyana
1985,772671.0,586.910045922551,,,,0.399343043914244,Guyana
1986,768508.0,656.663482403415,,,,-1.78341022043365,Guyana
1987,763706.0,464.304126114991,,,,1.2267625264241,Guyana
1988,758450.0,545.586380117345,,,,0.507491554071811,Guyana
1989,752897.0,504.424097460718,,,,-0.542420167033117,Guyana
1990,747116.0,530.817521363669,,,,1.99202050400334,Guyana
1991,744096.0,468.398022314546,,,11.9540004730225,3.54055330287943,Guyana
1992,744998.0,501.441804524053,,,11.8999996185303,39.2453267428425,Guyana
1993,747189.0,607.74634327925,,,11.8730001449585,15.3137609092754,Guyana
1994,749546.0,721.603389519806,,,11.8470001220703,19.7254472806369,Guyana
1995,751689.0,826.973370523572,,12.2105263157894,11.8839998245239,11.9718135843196,Guyana
1996,753571.0,936.084325729761,,7.09471197276044,11.8179998397827,8.36397760734315,Guyana
1997,755211.0,991.95855140423,,3.55567090578809,11.8269996643066,6.94131112506582,Guyana
1998,756697.0,948.240422744595,,4.58646616541351,11.9350004196167,6.13214194627018,Guyana
1999,758014.0,916.546380750613,,7.53821939851396,11.8400001525879,6.62103918322616,Guyana
2000,759051.0,938.893297983287,63.88974762,6.1485433302487,11.8900003433228,9.41532518977148,Guyana
2001,759809.0,937.298157332009,61.65347672,2.62741314203333,11.8120002746582,7.8633178365234,Guyana
2002,760323.0,955.030210470206,66.68852234,5.34101521377409,11.8100004196167,6.0044226038902,Guyana
2003,760562.0,976.993429588339,69.84244537,5.98097814066471,11.576000213623,3.51248308390715,Guyana
2004,760424.0,1036.01987731035,76.36300659,4.66846622369883,11.2790002822876,3.80800361007364,Guyana
2005,759709.0,1085.78488650781,87.04457092,6.92554303890158,11.0270004272461,9.31043894391441,Guyana
2006,758367.0,3138.08272642719,100.00650024,6.67715790410027,10.6999998092651,4.30284935740521,Guyana
2007,756521.0,3609.90792061468,127.5428772,12.2001544446648,10.9429998397827,5.58043244064907,Guyana
2008,754150.0,4011.38755365136,140.14712524,8.10202206969277,11.3009996414185,5.88393199021475,Guyana
2009,751258.0,4213.81622922287,151.09638977,2.95230096380997,11.5380001068115,5.18058909263255,Guyana
2010,747932.0,4589.87324147321,162.66496277,3.73337757704245,11.8120002746582,5.76769629104059,Guyana
2011,744230.0,4960.00472639074,184.65995789,4.97773563706971,12.0579996109009,6.68583866568761,Guyana
2012,743966.0,5461.39096662381,199.45344543,2.39193521312329,12.3330001831055,6.83986953955434,Guyana
2013,747420.0,5576.24930990457,208.71324158,1.90125181860585,12.6400003433228,4.81209217156845,Guyana
2014,751115.0,5495.37619674792,213.44784546,0.852630497539925,12.9540004730225,5.75992397167508,Guyana
2015,755031.0,5668.42976474423,224.33634949,-1.00173432776379,13.2519998550415,3.21740985101614,Guyana
2016,759087.0,5905.38019563205,233.52494812,0.836008061506297,13.4750003814697,3.6284858008664,Guyana
2017,763252.0,6220.97856820609,264.54226685,1.90465615515582,13.7569999694824,6.89409503910073,Guyana
2018,785514.0,6094.90885870963,301.44827271,1.28284288443518,14.0200004577637,24.6552899505381,Guyana
2019,798753.0,6477.29672607993,325.88516235,2.0872308916202,13.5200004577637,32.7649489760172,Guyana
2020,797202.0,6863.07434593017,,0.993337022838757,15.58899974823,23.6596931392162,Guyana
2021,804567.0,9998.54431136155,,5.03285574626696,14.9049997329712,27.8117107179155,Guyana
