Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4853117.0,76.6517683377508,,3.18969396917933,,1.09139382771767,Haiti
1973,4940710.0,94.480347966183,,22.7389194789195,,1.49528705983632,Haiti
1974,5030652.0,112.390998224485,,14.9506973439721,,1.40431436440201,Haiti
1975,5124560.0,132.96751330846,,16.7735703245817,,0.38743762848958,Haiti
1976,5222342.0,168.315288428065,,7.03815227823618,,0.885096700973379,Haiti
1977,5323827.0,177.879559196796,,6.49190058113335,,0.844772967434002,Haiti
1978,5428667.0,179.454735389001,,-2.67359498369295,,1.02648326852802,Haiti
1979,5536423.0,195.180173191246,,13.0939242998194,,1.11049417012771,Haiti
1980,5646676.0,245.064529999596,,17.7783052456577,,0.939442116100593,Haiti
1981,5760197.0,256.83149378398,,10.8583333329997,,0.563742057703664,Haiti
1982,5877684.0,250.81307535417,,7.35924227605049,,0.480260480356532,Haiti
1983,5997739.0,270.702009540595,,10.2436633526545,,0.51860064065558,Haiti
1984,6119932.0,296.768003304612,,6.40203239106073,,0.245567668779411,Haiti
1985,6245539.0,321.733640603317,,10.6488390138928,,0.244849208719021,Haiti
1986,6375097.0,363.602310678567,,3.27992663366621,,0.207937877480587,Haiti
1987,6508349.0,314.549819009399,,-11.4494646121705,,0.228604923798359,Haiti
1988,6644959.0,393.36989137179,,4.10546805875063,,0.386391845402863,Haiti
1989,6784161.0,403.328252380803,,6.92390503711237,,0.342074781494251,Haiti
1990,6925331.0,447.096290415577,,21.2760320067832,,0.258373747832002,Haiti
1991,7066055.0,491.581314017738,,15.4199073669492,7.56199979782104,-0.0518203241688333,Haiti
1992,7205780.0,313.237660349541,,19.358494654122,7.61899995803833,-0.0974692694240433,Haiti
1993,7345940.0,255.685282080917,,29.7059715065173,7.5770001411438,-0.14907503669804,Haiti
1994,7486091.0,289.545531136905,,39.3316195372752,7.61499977111816,-0.129177253748803,Haiti
1995,7627316.0,368.84708576527,,27.6081851727601,7.30100011825562,0.2630350503705,Haiti
1996,7770593.0,374.168937032866,,20.5835962145112,7.32499980926514,0.141013913006195,Haiti
1997,7915172.0,421.840337773763,,20.5590073395833,7.2960000038147,0.119798540902863,Haiti
1998,8060896.0,461.972121569092,,5.269035470422,7.25500011444092,0.288943670333508,Haiti
1999,8208941.0,506.001486360083,,3.00439421550734,7.19999980926514,0.722241314581107,Haiti
2000,8360225.0,814.999304226415,29.78231049,9.33322197565604,8.40799999237061,0.194464653654673,Haiti
2001,8511728.0,743.910232494406,26.90669823,13.31672224251,9.63500022888184,0.0694887352283631,Haiti
2002,8661546.0,699.428770193287,21.99154663,7.03287406224597,10.826000213623,0.0940883704592883,Haiti
2003,8812245.0,547.740964656159,18.31630516,28.6995777887374,11.9989995956421,0.28590207086556,Haiti
2004,8961489.0,673.65589744338,23.67709351,21.0318339277221,13.3079996109009,0.0977313098536577,Haiti
2005,9111900.0,788.426635201802,24.89042091,13.973008326384,14.4200000762939,0.36191211020905,Haiti
2006,9266288.0,811.339749693889,28.71922302,11.3452152244299,15.6639995574951,2.13617581126116,Haiti
2007,9420826.0,1010.82040511242,37.11300278,6.55722772638073,16.7999992370605,0.782335954351279,Haiti
2008,9575247.0,1095.03445218489,39.96041489,15.2817744823772,16.2980003356934,0.284209437529752,Haiti
2009,9730638.0,1191.80415583743,40.94065857,0.393886040173338,15.6579999923706,0.47831274618056,Haiti
2010,9842880.0,1204.86230440584,54.9171524,4.82734190074673,15.3830003738403,1.50092984980511,Haiti
2011,9954312.0,1306.84612967841,75.70629883,6.33279483849046,14.5600004196167,0.914768616474204,Haiti
2012,10108539.0,1356.17288178571,73.7585144,5.01804155429241,14.1000003814697,1.13794468431786,Haiti
2013,10261206.0,1452.3121444609,58.3646965,4.76502404779137,13.9580001831055,1.0865215082103,Haiti
2014,10412740.0,1453.91747709273,64.02371216,3.43816659958603,13.960000038147,0.653928722135466,Haiti
2015,10563757.0,1404.15521407257,67.40187836,6.73184069659,13.8879995346069,0.71245802908141,Haiti
2016,10713849.0,1305.57129738556,59.13440323,11.5029073942667,13.8520002365112,0.749944929864304,Haiti
2017,10863543.0,1384.0383724393,62.79301834,10.6800887242583,13.78600025177,2.49315616252002,Haiti
2018,11012421.0,1494.2249622283,63.13831329,12.4814111170435,13.7550001144409,0.638102587627495,Haiti
2019,11160438.0,1324.84400548618,56.99440002,18.7037825672506,13.7810001373291,0.507242085199014,Haiti
2020,11306801.0,1283.14082978936,,22.7963113642528,15.085000038147,0.172316131243764,Haiti
2021,11447569.0,1829.59304417211,,16.8415240198785,15.0170001983643,0.24492951857226,Haiti
