Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,222495959.0,168.808669372636,,,,0.701873060062123,Heavily indebted poor countries (HIPC)
1973,228507880.0,198.804673588882,,,,0.758900262636377,Heavily indebted poor countries (HIPC)
1974,234861273.0,235.789395400576,,,,0.705407873808687,Heavily indebted poor countries (HIPC)
1975,241415576.0,262.06460665935,,,,0.629072716205558,Heavily indebted poor countries (HIPC)
1976,248105304.0,270.742247110248,,,,0.809015461770452,Heavily indebted poor countries (HIPC)
1977,254798463.0,309.938478560509,,,,0.360553778902039,Heavily indebted poor countries (HIPC)
1978,262035002.0,348.148718015147,,,,0.722432272103887,Heavily indebted poor countries (HIPC)
1979,269571043.0,378.299588215808,,,,0.736015718210376,Heavily indebted poor countries (HIPC)
1980,276049311.0,399.790814724014,,,,0.748649575697368,Heavily indebted poor countries (HIPC)
1981,282020641.0,380.797516801504,,11.3365154415104,,0.451260133576158,Heavily indebted poor countries (HIPC)
1982,289043160.0,369.127117275482,,12.3124508707736,,0.486346105453619,Heavily indebted poor countries (HIPC)
1983,296920640.0,344.315190722456,,11.126644122143,,0.199762371262444,Heavily indebted poor countries (HIPC)
1984,305097813.0,337.385331662031,,11.3733220902937,,0.231209781199951,Heavily indebted poor countries (HIPC)
1985,313452117.0,326.645688546365,,10.4238402303887,,0.614151376726711,Heavily indebted poor countries (HIPC)
1986,321846502.0,365.497379222657,,6.80905593895123,,-0.00883017902897901,Heavily indebted poor countries (HIPC)
1987,330566338.0,391.664143166424,,7.02827195245955,,0.462642620533892,Heavily indebted poor countries (HIPC)
1988,339527267.0,401.97826852081,,6.93068617206519,,0.250439121526733,Heavily indebted poor countries (HIPC)
1989,348860257.0,399.393133763529,,8.04615863487319,,0.197062472799442,Heavily indebted poor countries (HIPC)
1990,358121820.0,449.68708802002,,6.80119760762573,,0.310544420692818,Heavily indebted poor countries (HIPC)
1991,367531126.0,475.151540428816,,8.81964099733881,4.96185514206037,0.206496032835874,Heavily indebted poor countries (HIPC)
1992,378502714.0,347.565299194175,,9.52347719108986,5.03056798095164,0.47081565266212,Heavily indebted poor countries (HIPC)
1993,390576688.0,349.509315982083,,8.52787695688004,5.0120043903413,0.962777621319437,Heavily indebted poor countries (HIPC)
1994,402287229.0,288.128618861269,,32.2936668569552,4.98704719035991,1.04191439253862,Heavily indebted poor countries (HIPC)
1995,413913354.0,326.877079536568,,14.378808651642,4.90689544891967,1.28757444486654,Heavily indebted poor countries (HIPC)
1996,425839678.0,344.419530223216,,7.41137173526642,4.94488811806912,1.42850040870757,Heavily indebted poor countries (HIPC)
1997,437721228.0,348.930024643397,,5.57225711125332,4.96507716654813,2.11094166468088,Heavily indebted poor countries (HIPC)
1998,449883034.0,359.227132915866,,5.7533145841706,5.00123648200536,2.46838509396888,Heavily indebted poor countries (HIPC)
1999,462533086.0,351.059051285294,,3.59889816353239,5.11499473777001,2.76747109363874,Heavily indebted poor countries (HIPC)
2000,475127894.0,370.750531818168,17.7313041029129,4.16540442290282,5.1481725666718,2.36383881773166,Heavily indebted poor countries (HIPC)
2001,488040621.0,350.885418742783,16.7957956132962,4.60374621964682,5.07511452680389,2.81195118814734,Heavily indebted poor countries (HIPC)
2002,502494432.0,366.866007218485,17.5648129063537,3.89570525758491,5.04024444413381,3.21652101254782,Heavily indebted poor countries (HIPC)
2003,517663749.0,403.626104291049,20.1684760178984,5.30238773219938,5.01293516453934,3.29273563532653,Heavily indebted poor countries (HIPC)
2004,532571131.0,452.173652569163,23.1423453814053,4.47499289078105,4.88048425968369,3.10341846109657,Heavily indebted poor countries (HIPC)
2005,547936900.0,505.075842111082,26.1688906411331,8.16954604881263,4.7524298121691,2.96331488266197,Heavily indebted poor countries (HIPC)
2006,563930944.0,578.631166967907,30.2668622676611,6.73993060387505,4.7038380304006,3.15712112124223,Heavily indebted poor countries (HIPC)
2007,579864063.0,674.670749298551,35.0565353755092,7.25410841304886,4.66061822462881,3.78929679778083,Heavily indebted poor countries (HIPC)
2008,596301357.0,780.611624964817,39.4533548800172,10.6597978997424,4.64286775377025,4.18228744265826,Heavily indebted poor countries (HIPC)
2009,613535903.0,766.569264743704,40.1326523268737,4.3623482932572,4.70904284856688,3.32448987116591,Heavily indebted poor countries (HIPC)
2010,630953183.0,823.666288868605,41.9064614272259,4.69889064976229,4.91549292215358,4.56479024718219,Heavily indebted poor countries (HIPC)
2011,648927117.0,898.531790183102,47.7149960121965,6.42939681072336,4.86875439812468,4.90259920589631,Heavily indebted poor countries (HIPC)
2012,667520863.0,905.246190811676,47.0556799767376,6.31474450315182,4.70505354939716,5.41841625158339,Heavily indebted poor countries (HIPC)
2013,686620331.0,979.638019367479,50.996492794834,5.1618989858149,4.44811697339563,5.24043741194881,Heavily indebted poor countries (HIPC)
2014,706617213.0,1011.66291802612,51.3591332410841,3.96986045166308,4.48612179860297,4.11881909707051,Heavily indebted poor countries (HIPC)
2015,727129254.0,953.176760946948,50.7987826876918,3.77406982025572,4.67270305839088,4.31781696825146,Heavily indebted poor countries (HIPC)
2016,748356635.0,973.216094452164,50.7895081129075,4.66466235810214,4.63970220383827,3.38845668298528,Heavily indebted poor countries (HIPC)
2017,770390212.0,1049.36357479672,52.6436803820864,4.9759515055383,4.67384209305366,3.66047952190796,Heavily indebted poor countries (HIPC)
2018,792615894.0,972.316017641575,47.2145520861946,3.04891482875157,4.61918568222841,3.68784629114104,Heavily indebted poor countries (HIPC)
2019,815100831.0,978.494647900052,46.2811475402648,2.68537355266785,4.63446811382449,2.95102088799603,Heavily indebted poor countries (HIPC)
2020,838066650.0,958.439861836993,,3.3018067617141,5.45394680346579,2.25692122227002,Heavily indebted poor countries (HIPC)
2021,861156745.0,1035.70164847096,,4.25936417542871,5.1196146984753,3.84802677481761,Heavily indebted poor countries (HIPC)
