Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,891951178.0,3456.25230791565,,,,0.413639760753031,High income
1973,900708703.0,4141.2599456852,,,,0.429583353720152,High income
1974,909299125.0,4625.16455954929,,,,0.46593434818563,High income
1975,917684529.0,5113.71671573068,,,,0.43273076713907,High income
1976,925484936.0,5525.3563224764,,,,0.315804834428684,High income
1977,933185589.0,6205.52439317711,,,,0.39538314681893,High income
1978,940958569.0,7374.45672081166,,,,0.405215452133974,High income
1979,949009695.0,8454.09882214131,,,,0.44318887970652,High income
1980,956797888.0,9365.76309319576,,13.5333812761133,,0.529679355050331,High income
1981,964531243.0,9431.63755623774,,11.4271763230549,,0.649469364846516,High income
1982,971818139.0,9273.94360312058,,8.88571308471458,,0.626025932997904,High income
1983,978592282.0,9509.14902576114,,6.90822881158847,,0.479859064691483,High income
1984,984970482.0,9854.91835351584,,5.99195111048443,,0.524822358553089,High income
1985,991412061.0,10280.5860210134,,4.64188054287194,,0.32937271038841,High income
1986,998064664.0,12399.6061674818,,2.93357920442334,,0.595078884875231,High income
1987,1004863831.0,14273.998776262,,3.66456321751691,,0.908673435921063,High income
1988,1011854016.0,15959.7180367855,,4.40241182786762,,0.928912895438984,High income
1989,1019351810.0,16576.8043544829,,5.07679342774265,,1.08003723074838,High income
1990,1026705783.0,18488.9349619624,,5.40095776604632,,1.16482141750862,High income
1991,1035082099.0,19393.7970827914,,5.03527438848105,6.76363828704694,0.732219231676712,High income
1992,1043682026.0,20688.603912041,,4.02084780038555,7.31430497704384,0.672067495890906,High income
1993,1051828543.0,20686.8021657949,,4.09383622628717,7.84222788356286,0.791328622878257,High income
1994,1059346414.0,22110.6458514592,,2.74729100707454,7.84591788361268,0.844427109968472,High income
1995,1066496376.0,24391.3571594741,,3.15909566206759,7.44951373980568,1.05039304956271,High income
1996,1073742216.0,24435.2360350552,,2.73358348968105,7.42350174623071,1.15774504814921,High income
1997,1080857331.0,23861.0997498446,,2.33727646022427,7.13386744952351,1.47042288471652,High income
1998,1087787919.0,23797.9244727192,,1.91228705667461,7.04839843530039,2.46557988650955,High income
1999,1094621522.0,24842.5976976538,,1.7529508005142,6.91923105996664,3.81548455872937,High income
2000,1101322358.0,25208.1998202892,2398.03918958863,2.61523446246318,6.53393362045091,5.08643943112406,High income
2001,1108051953.0,24807.2399706886,2486.00475642477,2.57844080098894,6.50253141636128,2.66557457535486,High income
2002,1114863356.0,25706.8717889897,2692.43662230072,2.04109102620205,7.02154844787523,2.08165810020812,High income
2003,1121696635.0,28638.1408598841,3057.17550645833,2.04984030563515,7.13368934706775,1.76984413474085,High income
2004,1128753775.0,31689.4477736295,3368.96601228246,2.11968637939778,6.97879777933068,2.15609949232488,High income
2005,1136164408.0,33295.7544361847,3549.87823476399,2.52392898747161,6.68334536339607,3.36232772715146,High income
2006,1144695047.0,34908.2943253243,3740.36444691521,2.45792444195864,6.15268520003136,4.55206218706971,High income
2007,1153978848.0,37914.0356754718,4059.56090364645,2.75672371638138,5.61893984517717,5.87392998740253,High income
2008,1163599191.0,40064.7032271494,4344.7040052676,4.52338694204943,5.86520836895829,3.89518194002211,High income
2009,1172260321.0,37247.812974175,4402.7280965857,1.43326154236701,7.94460665449476,2.25534037580878,High income
2010,1179656335.0,38785.7784407863,4541.95296977033,1.96188468334624,8.19490500439498,2.76926328807851,High income
2011,1184675562.0,41697.6194655121,4881.88988172523,3.3298532335065,7.86831742942015,3.22991977319769,High income
2012,1191244446.0,41493.9158499049,4897.30380016661,2.5974138603901,7.90135804192078,2.67876090251762,High income
2013,1198018009.0,41764.5362279726,4933.19412048036,1.47155940625759,7.81585671332586,2.65969548137882,High income
2014,1204882945.0,42419.5449268926,5077.67851669881,1.03317212108916,7.21252877839098,2.46234901048094,High income
2015,1211637779.0,39819.1878688144,4913.83278224991,0.319695856818156,6.62632725351055,4.33538219679414,High income
2016,1218545401.0,40441.4389563331,5078.86656250741,0.443258965728606,6.14867843785143,4.32328467038638,High income
2017,1224733163.0,42081.1109802312,5261.67694099567,1.55189751218222,5.58923074872126,3.12509934276928,High income
2018,1230678232.0,44527.6104120207,5529.46477896376,1.83188332429087,5.0774425603782,0.551892693919126,High income
2019,1235869243.0,44723.9289448888,5635.45358239903,1.57083175721512,4.76884217038983,1.99715170796144,High income
2020,1240900955.0,43415.6766809454,,0.537288023411772,6.50614741635914,1.23245118836644,High income
2021,1240629858.0,48225.2412096793,,2.5083522147377,5.60662757366525,2.28816576672732,High income
