Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2956021.0,271.648932805281,,3.61228175799333,,0.373599026998694,Honduras
1973,3046715.0,299.502890818472,,5.19320162691135,,0.723287699906175,Honduras
1974,3136539.0,329.822138350583,,12.8495477454187,,-0.111164813896731,Honduras
1975,3231631.0,347.811987197796,,8.37616250629709,,0.622775800711744,Honduras
1976,3334814.0,404.220430284867,,4.88341895790898,,0.389465889816984,Honduras
1977,3441122.0,485.16151127452,,8.4347077189513,,0.533093756606582,Honduras
1978,3550368.0,872.372129649659,,5.74832464618228,,0.424571267091805,Honduras
1979,3662736.0,967.659688358648,,12.1353558926061,,0.795647755696881,Honduras
1980,3777990.0,1050.33630210773,,18.0615430355956,,0.146163459456393,Honduras
1981,3895736.0,1038.03103665135,,9.40569126142498,,-0.0890230856160713,Honduras
1982,4015647.0,1062.4697652956,,8.98262170616891,,0.32344986748978,Honduras
1983,4137784.0,1081.90693009833,,8.25281165848257,,0.469095834113329,Honduras
1984,4261919.0,1153.30954119494,,4.72636815920395,,0.416046847863003,Honduras
1985,4387693.0,1202.93756023952,,3.36267523608602,,0.521018777287012,Honduras
1986,4515568.0,1257.38975894062,,4.35272383207561,,0.528370970957951,Honduras
1987,4645733.0,1332.51765469518,,2.48715402223894,,0.624341610216895,Honduras
1988,4778114.0,1235.36547922806,,4.49125763640185,,0.818267236121439,Honduras
1989,4913676.0,1105.55618679867,,9.85040925769096,,0.938821097014908,Honduras
1990,5053234.0,974.229483842708,,23.3225664366467,,0.883605842004661,Honduras
1991,5196887.0,894.510209394111,,33.9722602535864,4.57999992370605,1.12075103312281,Honduras
1992,5344774.0,924.959676699835,,8.75988625255488,3.05999994277954,0.962841512418707,Honduras
1993,5496841.0,896.283689659332,,10.748646716372,3.1159999370575,0.541941729763666,Honduras
1994,5652934.0,821.216147604504,,21.729346883819,3.23699998855591,0.749631536366711,Honduras
1995,5812832.0,919.937993255915,,29.4645292281585,3.24000000953674,0.935025978785195,Honduras
1996,5976550.0,872.581838432956,,23.8378353073358,4.36999988555908,1.74303920909253,Honduras
1997,6144112.0,933.755707934705,,20.1998667554962,3.3199999332428,2.11779483377065,Honduras
1998,6308537.0,1009.16270537509,,13.6681077485869,4.01999998092651,1.55505354513647,Honduras
1999,6477365.0,990.297834013789,,11.66374097913,3.84999990463257,3.69941913669702,Honduras
2000,6656725.0,1079.60748497786,68.51774597,11.0480349344976,3.85500001907349,4.86983494958473,Honduras
2001,6837861.0,1118.94270173505,67.19782257,9.67415556865373,4.0,4.04940043470587,Honduras
2002,7019908.0,1119.42141314151,70.8179245,7.69050972034273,4.01999998092651,3.6562267202125,Honduras
2003,7201881.0,1142.81082292611,79.79921722,7.67416639397934,5.30000019073486,4.74055772507508,Honduras
2004,7383407.0,1201.24915380546,83.47966766,8.1137909709338,5.98999977111816,6.67605483121025,Honduras
2005,7564613.0,1289.82599066969,98.11772919,8.80906074819817,4.90999984741211,6.16026903301312,Honduras
2006,7745200.0,1409.58034504869,112.44800568,5.57775207654297,3.5699999332428,6.57287027039949,Honduras
2007,7924462.0,1559.88604406996,127.98851013,6.93621470895782,3.21000003814697,7.82223281251053,Honduras
2008,8101777.0,1713.41435757299,149.64785767,11.4034270813932,3.16000008583069,8.65022293834834,Honduras
2009,8277302.0,1762.34916029174,161.00054932,5.49634273772205,3.28999996185303,3.38987200238322,Honduras
2010,8450933.0,1874.27170372599,166.16116333,4.69889064976229,4.11999988555908,3.83460574737836,Honduras
2011,8622504.0,2053.96425516299,183.60168457,6.76227957314765,4.46999979019165,5.88680111232974,Honduras
2012,8792367.0,2107.35083070622,185.62591553,5.19618615531848,3.75,5.8360949268976,Honduras
2013,8960657.0,2064.54840619818,178.24165344,5.1618989858149,5.65000009536743,5.77862710157331,Honduras
2014,9127846.0,2164.42021860394,174.59979248,6.12924930313027,7.07999992370605,8.62901419922022,Honduras
2015,9294505.0,2257.2227122596,172.29205322,3.15783117980921,6.15000009536743,6.27595043384682,Honduras
2016,9460798.0,2295.53807949199,180.16775513,2.72461223295292,6.73000001907349,5.28156557023951,Honduras
2017,9626842.0,2403.30445120081,171.51489258,3.93436084442035,5.53000020980835,4.10592326395368,Honduras
2018,9792850.0,2457.68892139081,180.88980103,4.34734937777536,5.61999988555908,5.99385418561572,Honduras
2019,9958829.0,2519.37019370185,187.55433655,4.36587159819272,5.55000019073486,3.80668065182598,Honduras
2020,10121763.0,2354.11961431042,,3.46841177951168,10.6800003051758,0.990508825556457,Honduras
2021,10278345.0,2771.71746050946,,4.48087963413448,7.94700002670288,3.0747090568753,Honduras
