Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4123600.0,1384.73843732271,,,,1.93415095152826,"Hong Kong SAR, China"
1973,4241600.0,1893.18124189464,,,,3.37821436387483,"Hong Kong SAR, China"
1974,4377800.0,2144.60771295144,,,,1.6343585060619,"Hong Kong SAR, China"
1975,4461600.0,2252.11188136859,,,,3.75556108364065,"Hong Kong SAR, China"
1976,4518000.0,2850.0146101832,,,,1.98318244080144,"Hong Kong SAR, China"
1977,4583700.0,3429.42027607254,,,,1.74139398330604,"Hong Kong SAR, China"
1978,4667500.0,3923.94373132755,,,,2.60651082230499,"Hong Kong SAR, China"
1979,4929700.0,4569.45370724224,,,,2.87696375700165,"Hong Kong SAR, China"
1980,5063100.0,5700.41263435822,,,,2.46070034801644,"Hong Kong SAR, China"
1981,5183400.0,5991.32026141972,,,,6.64227462749523,"Hong Kong SAR, China"
1982,5264500.0,6133.78407860515,,10.9704641350212,,3.83030886643465,"Hong Kong SAR, China"
1983,5345100.0,5595.23513863846,,9.8859315589355,,3.82560466817277,"Hong Kong SAR, China"
1984,5397900.0,6208.22615937199,,8.6505190311418,,3.84269326671349,"Hong Kong SAR, China"
1985,5456200.0,6542.93153674313,,3.50318471337575,,-0.748526726294267,"Hong Kong SAR, China"
1986,5524600.0,7435.03069759422,,3.38461538461535,,4.59716946761303,"Hong Kong SAR, China"
1987,5580500.0,9071.33260211718,,5.65476190476198,,12.3459339142191,"Hong Kong SAR, China"
1988,5627600.0,10609.7456394545,,7.88732394366179,,8.33891460706031,"Hong Kong SAR, China"
1989,5686200.0,12097.7751586818,,10.1827676240209,,2.96712317129217,"Hong Kong SAR, China"
1990,5704500.0,13485.5448929565,,10.4265402843602,,4.25730542334818,"Hong Kong SAR, China"
1991,5752000.0,15465.8588553349,,11.1587982832618,1.79999995231628,1.14755443092116,"Hong Kong SAR, China"
1992,5800500.0,17976.4293827655,,9.65250965250961,1.96000003814697,3.72818849515882,"Hong Kong SAR, China"
1993,5901000.0,20395.5173666776,,8.8028169014086,1.96000003814697,5.75770552695748,"Hong Kong SAR, China"
1994,6035400.0,22502.5797409692,,8.73786407766984,1.89999997615814,5.76380201983138,"Hong Kong SAR, China"
1995,6156100.0,23497.4923138193,,9.07738095238092,3.22000002861023,4.29535942207417,"Hong Kong SAR, China"
1996,6435500.0,24818.1545523517,,6.27557980900411,2.82999992370605,6.54918287032082,"Hong Kong SAR, China"
1997,6489300.0,27330.0333502807,,5.77663671373519,2.22000002861023,6.409906616059,"Hong Kong SAR, China"
1998,6543700.0,25808.970952453,,2.91262135922396,4.57999992370605,8.25370241703623,"Hong Kong SAR, China"
1999,6606500.0,25091.6665997966,,-4.00943396226443,6.25,15.2957120663805,"Hong Kong SAR, China"
2000,6665000.0,25756.6637783278,,-3.6855036855037,4.92000007629395,41.0651210039997,"Hong Kong SAR, China"
2001,6714300.0,25230.2163329516,,-1.65816326530608,5.09000015258789,18.4717360559594,"Hong Kong SAR, China"
2002,6744100.0,24665.8899982779,,-2.98313878080416,7.28000020980835,4.05643913833253,"Hong Kong SAR, China"
2003,6730800.0,23977.0194516698,,-2.67379679144392,7.8600001335144,11.5050419796745,"Hong Kong SAR, China"
2004,6783500.0,24928.1003722551,,-0.274725274725266,6.73999977111816,13.1249372796878,"Hong Kong SAR, China"
2005,6813200.0,26649.750801707,,0.826446280991805,5.57999992370605,22.5605048931489,"Hong Kong SAR, China"
2006,6857100.0,28224.2150609389,,2.00025160397535,4.76999998092651,23.2007132859484,"Hong Kong SAR, China"
2007,6916300.0,30594.0178410231,,2.03502713369511,4.01000022888184,29.3581158283685,"Hong Kong SAR, China"
2008,6957800.0,31515.6627713018,,4.30315484104919,3.55999994277954,30.5706338442194,"Hong Kong SAR, China"
2009,6972800.0,30697.340383517,,0.579441418472606,5.26000022888184,25.3569801987172,"Hong Kong SAR, China"
2010,7024200.0,32549.998231121,,2.29289088604677,4.32999992370605,36.1747620158536,"Hong Kong SAR, China"
2011,7071600.0,35142.4879344543,,5.30524892993918,3.42000007629395,38.684029536737,"Hong Kong SAR, China"
2012,7150100.0,36730.8767001128,,4.05390950903839,3.28999996185303,28.5143719894717,"Hong Kong SAR, China"
2013,7178900.0,38403.7777145477,,4.33799342105262,3.40000009536743,27.8775202185389,"Hong Kong SAR, China"
2014,7229500.0,40315.2855640552,,4.42364532019706,3.29999995231628,44.550793381462,"Hong Kong SAR, China"
2015,7291300.0,42431.8882817277,,2.99084819322578,3.30999994277954,58.5187499629812,"Hong Kong SAR, China"
2016,7336600.0,43733.9163612828,,2.40930743862222,3.39000010490417,41.5321039750824,"Hong Kong SAR, China"
2017,7393200.0,46160.429791493,,1.49387243939527,3.11999988555908,36.8375516616862,"Hong Kong SAR, China"
2018,7452600.0,48537.5668888343,,2.40613432046539,2.80999994277954,26.8255240590301,"Hong Kong SAR, China"
2019,7507900.0,48356.0635043614,,2.8832085377399,2.92000007629395,16.0581080784622,"Hong Kong SAR, China"
2020,7481000.0,46107.7652757721,,0.250962021080809,5.80999994277954,34.0508330232672,"Hong Kong SAR, China"
2021,7413100.0,49800.5424137576,,1.56875834445927,5.17000007629395,37.1614358116904,"Hong Kong SAR, China"
