Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,10398489.0,,,,,,Hungary
1973,10432055.0,,,3.38797814176706,,,Hungary
1974,10478720.0,,,1.79704016823477,,,Hungary
1975,10540525.0,,,3.84215991793813,,,Hungary
1976,10598677.0,,,5.22839833308662,,,Hungary
1977,10648031.0,,,3.90889569564824,,,Hungary
1978,10684822.0,,,4.68714274853112,,,Hungary
1979,10704152.0,,,8.976412347003,,,Hungary
1980,10711122.0,,,9.28585743921339,,,Hungary
1981,10711848.0,,,4.66141394394749,,,Hungary
1982,10705535.0,,,6.83580508259544,,,Hungary
1983,10689463.0,,,7.27989573279489,,,Hungary
1984,10668095.0,,,8.46785487646024,,,Hungary
1985,10648713.0,,,6.94234501879142,,,Hungary
1986,10630564.0,,,5.29166170071089,,,Hungary
1987,10612741.0,,,8.67431417733246,,,Hungary
1988,10596487.0,,,15.7235490703556,,,Hungary
1989,10481719.0,,,17.149151997396,,,Hungary
1990,10373988.0,,,28.3695996532776,,,Hungary
1991,10373400.0,3350.25832349229,,34.8175429072704,8.5,4.20716842378894,Hungary
1992,10369341.0,3735.10582034276,,23.6557207806553,9.9399995803833,3.81911442521923,Hungary
1993,10357523.0,3873.98772279767,,22.4642346133809,12.1000003814697,5.85599993653626,Hungary
1994,10343355.0,4173.37302405441,,18.8680749869282,10.8500003814697,2.65038660290623,Hungary
1995,10328965.0,4494.70762405948,,28.3054683706654,10.1700000762939,10.3480478194497,Hungary
1996,10311238.0,4525.03910312241,,23.4690301919185,10.0200004577637,7.04891598121972,Hungary
1997,10290486.0,4596.18262235195,,18.3050744143798,8.98999977111816,8.80421055001972,Hungary
1998,10266570.0,4744.21226429639,,14.1537896545341,8.93000030517578,6.69650972724819,Hungary
1999,10237530.0,4793.47852203763,,9.99774409303364,6.92999982833862,6.89776404900304,Hungary
2000,10210971.0,4624.28165670295,313.10858154,9.80361016908127,6.55999994277954,5.81915570397215,Hungary
2001,10187576.0,5276.03318905496,359.69747925,9.11680911680913,5.67000007629395,7.55129373840367,Hungary
2002,10158608.0,6655.33300865319,473.12783813,5.26544821583986,5.6100001335144,5.38897593043896,Hungary
2003,10129552.0,8419.43087098103,682.86566162,4.66101694915256,5.78999996185303,4.87484007510829,Hungary
2004,10107146.0,10301.7033946743,798.45361328,6.74434679569463,5.82999992370605,4.35849386883798,Hungary
2005,10087065.0,11223.3993032598,895.20330811,3.56151711378355,7.19000005722046,24.2817851336626,Hungary
2006,10071370.0,11489.5608654088,893.20300293,3.93032603841,7.48999977111816,16.1419177882521,Hungary
2007,10055780.0,13940.9092761999,1003.25817871,7.95874516544909,7.40999984741211,50.3837301500016,Hungary
2008,10038188.0,15772.3300839383,1117.20227051,6.0425125388106,7.82000017166138,47.4388008170059,Hungary
2009,10022650.0,13077.305465178,943.68768311,4.21171171171172,10.0299997329712,-2.13023268950647,Hungary
2010,10000023.0,13217.5045951108,983.11083984,4.85555795691951,11.1700000762939,-15.7141859416703,Hungary
2011,9971727.0,14234.471576937,1063.43225098,3.92992098935075,11.0299997329712,7.56713765607226,Hungary
2012,9920362.0,12984.8365730133,961.1383667,5.65214517088651,11.0,8.39652900734838,Hungary
2013,9893082.0,13715.0703590361,990.63116455,1.73319984983107,10.1800003051758,-2.64334200019703,Hungary
2014,9866468.0,14294.2584180751,1006.15649414,-0.227566270988384,7.73000001907349,9.26026289604708,Hungary
2015,9843028.0,12717.038597002,870.51940918,-0.0616446800641176,6.80999994277954,-4.20728768700017,Hungary
2016,9814023.0,13104.6995457458,914.19354248,0.394769306686402,5.1100001335144,54.1803174690302,Hungary
2017,9787966.0,14621.2395956755,985.79901123,2.34824281150159,4.15999984741211,-8.47800231451021,Hungary
2018,9775564.0,16425.1012999059,1074.01757813,2.85024792594642,3.71000003814697,-40.0865991512742,Hungary
2019,9771141.0,16782.9524639857,1062.39416504,3.3385863538201,3.42000007629395,60.1881842325958,Hungary
2020,9750149.0,16120.9890495243,,3.3267438576673,4.25,106.602575516264,Hungary
2021,9709891.0,18728.1218948689,,5.11096534382858,4.05000019073486,16.1369600808537,Hungary
