Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2479419976.0,287.728234924616,,5.88859452322182,,0.403448771879978,IBRD only
1973,2533486246.0,364.551448882023,,12.8688539333479,,0.731777904771381,IBRD only
1974,2586719759.0,449.915942559971,,19.3577431446082,,0.65777049342554,IBRD only
1975,2638335075.0,476.42856205719,,12.879181833834,,0.802193002554136,IBRD only
1976,2689393284.0,506.018218005324,,10.3174158877413,,0.455911751850845,IBRD only
1977,2739652095.0,562.708794787414,,11.8202775391489,,0.483963313264336,IBRD only
1978,2789918972.0,595.496527838482,,10.3556722757192,,0.623287207321909,IBRD only
1979,2840896860.0,699.069547717932,,12.8869139378174,,0.517838434968367,IBRD only
1980,2892641861.0,812.691019225127,,17.7366548046812,,0.539823023152206,IBRD only
1981,2946112664.0,860.909646908287,,14.3318866009394,,0.671759811939446,IBRD only
1982,3002092193.0,836.44170068531,,10.8074213418412,,0.571752114284844,IBRD only
1983,3058367453.0,808.486155804216,,11.7997405215176,,0.503813827888679,IBRD only
1984,3114471170.0,808.043641062433,,12.4625982672518,,0.474878555743135,IBRD only
1985,3171522875.0,826.078127458697,,11.1936068604845,,0.5288812532973,IBRD only
1986,3230443800.0,842.345232734083,,11.8350618936099,,0.481219449043095,IBRD only
1987,3291118560.0,844.811756051499,,10.2768964330305,,0.497146783650926,IBRD only
1988,3352120151.0,893.324380589863,,11.8061242959909,,0.772322587469939,IBRD only
1989,3412206635.0,909.953627035646,,12.4565163726707,,0.779264169273767,IBRD only
1990,3471751539.0,1028.89077355453,,16.4223359750333,,0.682995022818703,IBRD only
1991,3529991260.0,980.414654071481,,19.2614585266282,4.71970722796381,1.06419878593493,IBRD only
1992,3585504220.0,1015.4829358915,,12.8488738867754,4.76452690065673,1.1626479676585,IBRD only
1993,3639427898.0,1074.86942052622,,13.5292851428426,5.00099836630062,1.5508866259984,IBRD only
1994,3692815122.0,1171.01069179156,,22.5650526933696,5.3875396919731,1.92124415649629,IBRD only
1995,3745623892.0,1310.9267373538,,13.4254143646407,5.7489047208786,1.93776693711061,IBRD only
1996,3797967618.0,1411.9339270632,,9.94127072768578,5.88704309801082,2.24670111152204,IBRD only
1997,3850079181.0,1476.94511343437,,7.15468186173326,6.00132379873393,2.80442301870931,IBRD only
1998,3901403631.0,1415.11016239579,,7.68449706596146,6.25905158295056,2.8610102743094,IBRD only
1999,3951120931.0,1360.82728857045,,5.1814927974787,6.54103705847869,3.19626251074616,IBRD only
2000,3999140171.0,1463.13223394645,77.7486140877353,4.80228886901399,6.45594851088787,2.68744914729287,IBRD only
2001,4046339602.0,1463.84483736322,78.6358594136686,5.53665326322303,6.6518145172075,2.83273693160087,IBRD only
2002,4092406561.0,1469.3683775607,77.1783985727591,4.6639396854043,6.89909591509188,2.50893253706715,IBRD only
2003,4137913546.0,1633.81157042687,85.562691590084,4.50777636319307,7.03607768451597,2.42200450659333,IBRD only
2004,4183400394.0,1926.13816535374,99.5824044903518,4.82921083627794,6.91982474930562,2.8403232206043,IBRD only
2005,4228483560.0,2278.46474839944,117.416740864521,4.86939696871988,6.89655496274486,3.16694052713375,IBRD only
2006,4272296273.0,2674.43018554329,136.579900927451,5.48523206751051,6.63099355436139,3.54007049140229,IBRD only
2007,4314977758.0,3288.89551222982,165.014875306943,6.14356655248045,6.42021583770385,3.92789583076111,IBRD only
2008,4358318999.0,3908.18585941939,198.719780041774,9.99948761552747,6.34083566850497,3.69347404356647,IBRD only
2009,4402357503.0,3752.97923061173,203.756546601675,3.66490330642925,6.66207954662539,2.5849179880719,IBRD only
2010,4446099709.0,4520.72717921777,234.577698717653,4.15672722680176,6.44332145931693,3.11691651623839,IBRD only
2011,4491533041.0,5298.16831253578,270.469197158985,5.67157610536687,6.29567631643539,3.09341240594649,IBRD only
2012,4539500289.0,5571.1691198558,287.713236332619,4.38747656998294,6.18987099152555,2.69354735055787,IBRD only
2013,4588990832.0,5814.99592865154,307.248740753891,3.98471235548128,6.18059833719678,2.70901460675141,IBRD only
2014,4638292836.0,5949.80566826416,313.747804340097,3.50379093139816,6.16529958325864,2.38261102711719,IBRD only
2015,4686050627.0,5517.28333622354,298.586778292107,3.39605366578429,6.2878897121945,2.36008894466545,IBRD only
2016,4731948335.0,5507.23272479516,294.647065778171,2.24297455712485,6.39017228816276,2.12260381034514,IBRD only
2017,4776473096.0,6023.29232373095,324.763072351757,3.32389447576096,6.31154077111178,1.84481494531234,IBRD only
2018,4817627754.0,6352.34701254182,341.9983563207,3.12170019449739,6.17458966820155,1.99502108958132,IBRD only
2019,4855633857.0,6435.95331924092,353.36042638865,2.57778048007199,5.97611600943152,1.85233774856169,IBRD only
2020,4889761166.0,6149.37060118069,,2.47302844771246,7.38834608552465,1.79025059265351,IBRD only
2021,4917520297.0,7221.4063511037,,4.39811609897966,6.53230553490445,2.22544304230158,IBRD only
