Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3000697180.0,265.137742509808,,,,0.483893368885028,IDA & IBRD total
1973,3068589867.0,331.157557941556,,,,0.773925527703974,IDA & IBRD total
1974,3136223372.0,411.419233027681,,,,0.656562003185297,IDA & IBRD total
1975,3202458507.0,440.504112567475,,,,0.782664291881517,IDA & IBRD total
1976,3268253604.0,465.06002310659,,,,0.489881159001961,IDA & IBRD total
1977,3333786158.0,514.258742133384,,,,0.492767220156458,IDA & IBRD total
1978,3400425764.0,546.67173707218,,,,0.611780549727879,IDA & IBRD total
1979,3468694959.0,638.782012179702,,,,0.524769338936389,IDA & IBRD total
1980,3537895456.0,741.903740434104,,,,0.487639621179492,IDA & IBRD total
1981,3609134587.0,818.079425544236,,12.9746974698193,,0.621654138418741,IDA & IBRD total
1982,3684013868.0,787.386121520314,,10.8257491675687,,0.537513719880666,IDA & IBRD total
1983,3759767140.0,742.886470087853,,10.6363036761386,,0.475999596005579,IDA & IBRD total
1984,3835491349.0,732.352850570709,,10.369566518164,,0.447727865887573,IDA & IBRD total
1985,3912799126.0,745.708391557212,,8.79943776639545,,0.528228553599419,IDA & IBRD total
1986,3992357188.0,756.713298607405,,8.72972072702588,,0.447007304330178,IDA & IBRD total
1987,4074089379.0,762.513115098673,,8.22580645161294,,0.499995663561214,IDA & IBRD total
1988,4156379922.0,797.328147103397,,8.98300338208987,,0.732210752265056,IDA & IBRD total
1989,4238233062.0,809.107451947709,,9.01299594555497,,0.80004161795503,IDA & IBRD total
1990,4319808510.0,912.407447569717,,11.0644257703083,,0.663947336017898,IDA & IBRD total
1991,4400223257.0,874.240058901948,,12.6153153828849,4.56725685771937,1.00973072514377,IDA & IBRD total
1992,4478853646.0,891.249750626788,,10.0989671535176,4.61464991922468,1.14024062674106,IDA & IBRD total
1993,4557052710.0,933.276500489665,,10.748646716372,4.8227773718072,1.53640409235729,IDA & IBRD total
1994,4634853168.0,1006.29844346414,,21.1477708607272,5.15518480297531,1.87832227047491,IDA & IBRD total
1995,4712210002.0,1125.21310922687,,11.6696146432491,5.45369237318379,1.86715813072525,IDA & IBRD total
1996,4789590179.0,1211.64344089696,,8.86408741577518,5.58487043550755,2.15554583019701,IDA & IBRD total
1997,4866774442.0,1262.67582140377,,7.10647242730889,5.68603696883677,2.68347753255223,IDA & IBRD total
1998,4943428031.0,1211.41614397436,,6.84566980807243,5.91616359607977,2.73391149978928,IDA & IBRD total
1999,5019059496.0,1167.27082106215,,4.5670875285674,6.15799721524847,3.0439918186405,IDA & IBRD total
2000,5093906989.0,1253.72014510522,65.0323103072217,4.19928825622807,6.08932930960783,2.56619743862636,IDA & IBRD total
2001,5168697790.0,1249.87731171573,65.4845871118936,5.07745045522497,6.24479583640384,2.70666496261006,IDA & IBRD total
2002,5243235123.0,1256.89825530708,64.1837777671779,4.02288193711602,6.43749478399402,2.42798816375815,IDA & IBRD total
2003,5317497279.0,1392.20264656752,71.5203850565014,4.54690012118717,6.5451502368116,2.36012088709747,IDA & IBRD total
2004,5391691968.0,1634.67526524138,82.8961313839466,4.47499289078105,6.42607773616701,2.74780381048186,IDA & IBRD total
2005,5465865380.0,1924.4487619276,97.4231017724514,6.01475822627746,6.38457168621026,3.07825441642609,IDA & IBRD total
2006,5539552227.0,2253.55012881628,113.159624837227,6.0991424767729,6.14091523826418,3.44209819857399,IDA & IBRD total
2007,5612664364.0,2749.16989102671,135.897666828691,6.16068669373729,5.96632966722914,3.84256494542951,IDA & IBRD total
2008,5686502257.0,3254.99377209712,162.630960095518,10.2876847921194,5.91236698613399,3.63419648187705,IDA & IBRD total
2009,5761813095.0,3122.41319091242,165.982594116695,4.21903052064627,6.17668932418904,2.57238924849696,IDA & IBRD total
2010,5838366631.0,3731.59843444228,189.692543092387,4.04306258788842,5.98324134935951,3.06538388799819,IDA & IBRD total
2011,5917205336.0,4310.45119185024,217.668503521781,5.79676809206526,5.86898342081913,3.08418937971239,IDA & IBRD total
2012,5997941575.0,4516.54153071416,230.69306594917,5.00852546250873,5.79751139328693,2.70258782461195,IDA & IBRD total
2013,6079383316.0,4711.13915176515,246.740309413852,4.34115489804308,5.79135868979327,2.70813098563582,IDA & IBRD total
2014,6160758687.0,4821.93564420413,251.746127422388,3.52566203758282,5.75574223386777,2.37390626935092,IDA & IBRD total
2015,6241291929.0,4471.99644993102,239.465719470451,3.15783117980921,5.91127067287481,2.36501000324386,IDA & IBRD total
2016,6321324033.0,4455.81548857442,236.300525923046,2.81495791361944,5.99550256859815,2.12261938666274,IDA & IBRD total
2017,6401367406.0,4838.50234243306,258.078611028899,3.33787586109568,5.95113497715784,1.87746005615189,IDA & IBRD total
2018,6479097294.0,5076.59298553479,269.682921962087,3.04891482875157,5.84317963268014,1.99245784720015,IDA & IBRD total
2019,6554880269.0,5125.97880004818,277.53597514164,2.61057182799216,5.71765951621991,1.8539594172722,IDA & IBRD total
2020,6628067973.0,4888.96620866939,,2.94029514263973,6.99820716860191,1.77377236550934,IDA & IBRD total
2021,6695397735.0,5684.92707423063,,4.27166381536796,6.34344978209779,2.21824028030854,IDA & IBRD total
