Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,163971973.0,199.854965323564,,5.95332237131259,,1.74489404638495,IDA blend
1973,168493744.0,207.486773630577,,10.735033453362,,1.95271075081497,IDA blend
1974,173258876.0,290.873596904482,,20.4886155217532,,1.03913521795502,IDA blend
1975,178302609.0,325.128747608369,,17.7427876996523,,1.1385462799372,IDA blend
1976,183596504.0,381.05000658,,10.9024962662686,,0.743910177926274,IDA blend
1977,189140778.0,389.955238048229,,10.1599404459599,,0.834181045574302,IDA blend
1978,194898741.0,411.410464829391,,9.65352319747253,,0.519493312543223,IDA blend
1979,201038256.0,489.592431793033,,8.26704697617572,,0.657792883987147,IDA blend
1980,208214579.0,606.408153271185,,13.8581814562484,,-0.24539387158533,IDA blend
1981,215974148.0,1125.32256124124,,12.30778511939,,0.453814385330706,IDA blend
1982,223423864.0,994.229151459071,,7.12990675816712,,0.400195531891032,IDA blend
1983,230352378.0,731.768726944449,,6.53310874893361,,0.569805843934801,IDA blend
1984,237102216.0,610.101638763378,,6.08716673573719,,0.352970298398673,IDA blend
1985,244392341.0,594.606234858448,,4.42097239621914,,0.841134308601302,IDA blend
1986,252086615.0,519.734587440484,,3.14032396216954,,0.337685981916274,IDA blend
1987,259986149.0,515.570596444957,,4.35289948980927,,0.878981160237124,IDA blend
1988,268068057.0,513.378786661098,,4.03703703703697,,0.710799079106027,IDA blend
1989,276216577.0,480.222321293694,,5.07405443014891,,1.95606484073227,IDA blend
1990,284421830.0,514.373932998118,,7.15888095230384,,0.74709418902682,IDA blend
1991,292714523.0,501.923482968484,,6.32344804551797,2.99163292628408,0.894825909741545,IDA blend
1992,300471959.0,491.268228357721,,4.59631864289179,3.07197533164442,1.0436325033426,IDA blend
1993,308233041.0,430.538033446676,,4.94888921262694,3.25671079268474,1.78770187189319,IDA blend
1994,316476824.0,421.202211665697,,3.61135800147836,3.44491464065028,1.99445212515549,IDA blend
1995,324995506.0,480.788184481986,,6.99059209742649,3.51916549151742,1.22959518886341,IDA blend
1996,333878799.0,516.504315034278,,5.18576037812014,3.73341402451504,1.17905398573337,IDA blend
1997,342814697.0,513.607458536251,,3.96437805228409,3.73919676265947,1.03826369844108,IDA blend
1998,351849692.0,494.020801883056,,4.39423509983478,3.89098002876844,0.959984397262278,IDA blend
1999,361007750.0,502.909462943822,,3.82321751095555,3.84684692049944,1.18086917518464,IDA blend
2000,370910722.0,557.376130897466,19.1924467334127,1.70450415578976,3.7069703325539,0.967353141645985,IDA blend
2001,381142622.0,538.344474883128,18.2521547939368,3.81131748391501,3.57763062100426,0.870789318447014,IDA blend
2002,390704440.0,582.978616972038,18.6493333890111,1.92292115907961,3.40337713258756,1.6499645672219,IDA blend
2003,399995493.0,640.78601451884,26.3725248638978,2.15492809908679,3.284268704763,1.48151704382216,IDA blend
2004,409622323.0,760.511226858584,29.3703511718058,2.42976607961798,3.13769657406041,1.27430911967061,IDA blend
2005,419337831.0,888.883602317509,35.3835733438043,3.09449011456182,3.0148911408371,2.43278293813775,IDA blend
2006,429250772.0,1093.28993595144,43.1777967155948,4.25195321977968,2.89690548346646,2.61766951811321,IDA blend
2007,439576756.0,1231.02070878575,47.6889493793952,4.41099704193491,2.71410059748731,2.97322706121246,IDA blend
2008,450269469.0,1421.06986841761,52.2880921495172,8.03327327650343,2.7387579439083,2.77960515678496,IDA blend
2009,461410153.0,1315.12296696535,47.7473847253814,3.04361847939997,2.78905882137026,2.46660564016719,IDA blend
2010,473204510.0,1511.8911269095,53.5845385034489,3.3434265756174,2.85659256390202,1.77984914727963,IDA blend
2011,484919898.0,1698.70038991549,58.1554457981695,4.44083401028976,2.90368148394757,1.84193019431036,IDA blend
2012,495868522.0,1833.19245379191,63.2004269694004,4.17763587102516,3.25682102264973,1.27407166583348,IDA blend
2013,506443358.0,1953.69016907062,69.5014862831059,2.91354193604,3.63651285872255,1.23547162429974,IDA blend
2014,516900084.0,2083.1837451258,73.9451509380169,0.912139545450186,3.2903898282393,1.2287336880922,IDA blend
2015,527175885.0,1930.46018693705,70.0647599587274,1.37488542621447,4.05264347638586,1.23650498039713,IDA blend
2016,537358412.0,1818.40497244132,65.5024171081241,1.65038994431577,4.23526534948292,1.03238023787657,IDA blend
2017,547984961.0,1751.50761038892,62.0316229534858,0.908458255874211,4.51775527250424,1.49535325723555,IDA blend
2018,559155599.0,1874.94756640788,60.7561069098103,2.32414485367923,4.76075349942238,1.04710351635654,IDA blend
2019,570633332.0,1827.16847357077,62.1004997232104,2.20607305781519,5.21507733695864,0.808912250454829,IDA blend
2020,582637127.0,1719.89506474412,,2.11649014632676,6.20293664112006,0.62021618279539,IDA blend
2021,595016031.0,1842.77104941479,,2.41070312174385,6.17068584681834,1.25649795834717,IDA blend
