Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,357305231.0,139.004555663023,,,,0.350992516454964,IDA only
1973,366609877.0,163.944606762652,,,,0.460452165421284,IDA only
1974,376244737.0,206.111674192139,,,,0.35270066351772,IDA only
1975,385820823.0,247.35030795409,,,,0.325204958845837,IDA only
1976,395263816.0,223.710956425069,,,,0.659067058009464,IDA only
1977,404993285.0,245.969384477455,,,,0.310019950261378,IDA only
1978,415608051.0,281.361947181723,,,,0.552287667585452,IDA only
1979,426759843.0,307.014463566312,,,,0.506314843518022,IDA only
1980,437039016.0,333.790007140142,,,,0.438734259728202,IDA only
1981,447047775.0,332.155989438203,,,,0.177437302551106,IDA only
1982,458497811.0,320.768295276761,,,,0.247847059006858,IDA only
1983,471047309.0,303.111756649674,,,,-0.0713316871454434,IDA only
1984,483917963.0,298.230728481542,,,,0.137130091556992,IDA only
1985,496883910.0,302.342005554276,,,,0.192236061708621,IDA only
1986,509826773.0,331.559802944197,,9.7025740039753,,0.0592881590400917,IDA only
1987,522984670.0,363.157748053785,,8.15234253800876,,0.252522106296214,IDA only
1988,536191714.0,340.262080085513,,8.98300338208987,,0.186976701041761,IDA only
1989,549809850.0,349.026102725492,,8.77983718898037,,0.271751313578841,IDA only
1990,563635141.0,396.165335793395,,9.70986384562653,,0.33411623488296,IDA only
1991,577517474.0,416.007720424505,,12.4452441633871,4.1524711473496,0.415037968423428,IDA only
1992,592877467.0,342.3988477933,,10.0989671535176,4.2151716998522,0.795894562057455,IDA only
1993,609391771.0,342.276656476452,,9.37034415971456,4.24164857112173,1.08784862097334,IDA only
1994,625561222.0,329.263589197794,,23.1767911524285,4.26805248479955,0.866551885499602,IDA only
1995,641590604.0,366.662240125075,,12.2105263157894,4.23643137471245,0.776676174822631,IDA only
1996,657743762.0,407.832951953286,,8.24989009915511,4.30903518562489,0.919621461754404,IDA only
1997,673880564.0,419.295900441934,,6.86182355310876,4.38296551963526,1.22302159580189,IDA only
1998,690174708.0,426.616820363009,,6.20801608663323,4.47516928234061,1.34338853515084,IDA only
1999,706930815.0,426.415143980034,,4.4643546767589,4.5889858358976,1.40659436339893,IDA only
2000,723856096.0,455.455672068944,15.4324297032542,3.95582530677528,4.69207032294278,1.36848419156113,IDA only
2001,741215566.0,449.533167791016,15.1203048829533,4.49259609239754,4.74616291677546,1.55127168327102,IDA only
2002,760124122.0,461.780834932469,16.1902278820193,4.03718882831635,4.78874628519619,1.52340206472617,IDA only
2003,779588240.0,497.727927829781,18.2005973951614,5.66870773441478,4.85198266780445,1.85156916301332,IDA only
2004,798669251.0,558.579519382487,20.6526213810799,4.53421374129695,4.76836978381409,2.09129825764266,IDA only
2005,818043989.0,627.319042674836,23.1650512561393,7.128675020152,4.68503937036127,1.85229879059723,IDA only
2006,838005182.0,703.756364544978,26.4689689503421,6.6862112809169,4.55417716642265,2.16964754535244,IDA only
2007,858109850.0,813.806363883055,30.804858930926,6.9808645393528,4.63984513566845,2.75112620381784,IDA only
2008,877913789.0,953.973344091344,35.3200124390531,11.3542684820476,4.74235415148358,3.06901476781434,IDA only
2009,898045439.0,961.138476349503,36.6416060949293,4.56150687670986,4.79861405382858,2.40380387570563,IDA only
2010,919062412.0,1058.11731730723,38.8022445233671,4.69889064976229,4.68678704135432,2.94366465202194,IDA only
2011,940752397.0,941.087325341608,43.3043561258659,6.5958381919355,4.73304883056192,4.01183574100152,IDA only
2012,962572764.0,925.035894995054,43.5667738442959,5.91200602491156,4.68385444224083,4.51805767905553,IDA only
2013,983949126.0,982.155123241738,46.512139762262,4.95742760519753,4.54469302738072,4.22817439737847,IDA only
2014,1005565767.0,1027.35214949073,48.1316314703744,4.12924306873775,4.57352581293255,3.35747594038179,IDA only
2015,1028065417.0,1009.70928925341,48.6791983258343,3.22807410992506,4.6836327299524,3.61545725505632,IDA only
2016,1052017286.0,1073.49640979078,47.9547772342106,3.37153003512097,4.66613836254489,3.09050597251287,IDA only
2017,1076909349.0,1155.20664265449,49.7589628001831,4.05754208156653,4.7064330423709,2.94852354744996,IDA only
2018,1102313941.0,1125.36142408496,46.3960932444847,3.25519483924451,4.63178942071606,2.75245819693807,IDA only
2019,1128613080.0,1159.35338415925,46.6758302304053,2.74417061846705,4.63304912873842,2.76940550331173,IDA only
2020,1155669680.0,1156.36967071505,,3.46841177951168,5.45672415735166,2.29283212452691,IDA only
2021,1182861407.0,1231.12662448895,,4.37012190478159,5.43885935142428,2.79166738586146,IDA only
