Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,521277204.0,156.319255906934,,,,0.944778906031405,IDA total
1973,535103621.0,175.002376005722,,,,1.05073248292094,IDA total
1974,549503613.0,230.052280846189,,,,0.648647512997405,IDA total
1975,564123432.0,268.14522489427,,,,0.666886496908005,IDA total
1976,578860320.0,271.946370044672,,,,0.699163370003509,IDA total
1977,594134063.0,289.444667330433,,,,0.549070561345538,IDA total
1978,610506792.0,319.514910818789,,,,0.537645284747479,IDA total
1979,627798099.0,362.684030872806,,,,0.575910499653127,IDA total
1980,645253595.0,420.354207928389,,,,0.0999960694683298,IDA total
1981,663021923.0,599.933720799311,,12.0236539706611,,0.353227436000809,IDA total
1982,681921675.0,549.104275853491,,10.8468579176873,,0.342810045670958,IDA total
1983,701399687.0,447.776292026587,,8.80413836917201,,0.290295977017155,IDA total
1984,721020179.0,402.818589951291,,7.89251666092377,,0.24932876818673,IDA total
1985,741276251.0,400.451577082549,,7.17070132449547,,0.523336144381196,IDA total
1986,761913388.0,393.910590973907,,5.9591683617947,,0.185185329142039,IDA total
1987,782970819.0,413.286305591858,,6.9433062653657,,0.521018154607793,IDA total
1988,804259771.0,397.879486345052,,8.507868010863,,0.415943206748363,IDA total
1989,826026427.0,392.595284342018,,7.74804905239702,,0.971959266408347,IDA total
1990,848056971.0,435.32859172135,,8.19137132040974,,0.497493228917124,IDA total
1991,870231997.0,443.884427267942,,9.27545370655183,3.79426376586854,0.594508236430468,IDA total
1992,893349426.0,392.489415373561,,9.49779198403655,3.86237446670043,0.904361794165169,IDA total
1993,917624812.0,371.296271133244,,6.46380422753846,3.93880421058961,1.36727958001316,IDA total
1994,942038046.0,359.602599784752,,15.3284671532846,4.01497464367387,1.32158225114591,IDA total
1995,966586110.0,404.522443018883,,10.0221733553239,4.0166566542298,0.96236879171526,IDA total
1996,991622561.0,443.717661162954,,7.41137173526642,4.13145829944146,1.02376800305328,IDA total
1997,1016695261.0,450.243658231175,,6.03887214697212,4.18292658069294,1.15023669431554,IDA total
1998,1042024400.0,448.292166630412,,5.86491155279461,4.29340547197623,1.19715070318906,IDA total
1999,1067938565.0,451.269259993887,,4.14263718082168,4.35745791293317,1.31949982589237,IDA total
2000,1094766818.0,489.090447293994,16.720060415962,3.7666934839996,4.38317364731135,1.21003473821387,IDA total
2001,1122358188.0,478.732745514998,16.1957054219845,4.36152914007253,4.37825359075161,1.28553734558434,IDA total
2002,1150828562.0,502.170119611591,17.0196593628346,3.43280353789991,4.35222364540047,1.57402917659812,IDA total
2003,1179583733.0,545.482573057263,20.9594337446048,5.22714461994757,4.35784443142203,1.70177993867125,IDA total
2004,1208291574.0,626.407097921088,23.5965348776012,4.21499381079083,4.25405290438073,1.74990871968339,IDA total
2005,1237381820.0,715.437589269074,27.2920172083005,6.83633265892876,4.15925446522516,2.10063466591605,IDA total
2006,1267255954.0,835.622687275738,32.1124374396128,6.24103328142821,4.03266589229343,2.37137626394326,IDA total
2007,1297686606.0,954.865532208343,36.5104183279387,6.55722772638073,4.03221866437412,2.84966803150039,IDA total
2008,1328183258.0,1111.90297945025,41.0614755409038,10.6597978997424,4.10884281152738,2.94207429015205,IDA total
2009,1359455592.0,1080.7766302546,40.4054223174555,4.38867602060469,4.16040606642282,2.43001516956282,IDA total
2010,1392266922.0,1211.83712420934,43.9127813564536,3.9765528847817,4.10302868407322,2.44478515853565,IDA total
2011,1425672295.0,1198.5828779403,48.44313083558,6.33279483849046,4.14899394661035,2.95433873405343,IDA total
2012,1458441286.0,1233.80189145746,50.3583770473172,5.59607014268586,4.23142519224316,2.83321951522477,IDA total
2013,1490392484.0,1312.28765834649,54.5799384264118,4.86511899496377,4.25943577198484,2.6959296019127,IDA total
2014,1522465851.0,1385.83510580525,57.1712541729539,3.52566203758282,4.17081934554891,2.25876169383734,IDA total
2015,1555241302.0,1321.78444357069,56.1489055717256,2.68598277212217,4.48451282098511,2.42684179930022,IDA total
2016,1589375698.0,1324.75132279273,54.1828922102387,3.19056179723775,4.53048308085353,2.12281273077634,IDA total
2017,1624894310.0,1355.17123412826,54.0721626595982,3.62709610696609,4.64735871627296,2.30584704552719,IDA total
2018,1661469540.0,1376.90160225956,51.4329753339687,3.04891482875157,4.6720669754024,1.9579514437796,IDA total
2019,1699246412.0,1382.25035891894,52.0762852289575,2.68537355266785,4.8153755392138,1.87588770329553,IDA total
2020,1738306807.0,1343.28785148776,,3.31332289544493,5.69053632147654,1.55949084831378,IDA total
2021,1777877438.0,1433.79514069908,,4.25936417542871,5.68136795438394,2.11703754652227,IDA total
