Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,209137.0,4014.84273017558,,9.81132391279969,,0.333471408738903,Iceland
1973,212317.0,5437.34252541217,,21.3549309168298,,-0.129933099278518,Iceland
1974,215209.0,7040.55404419726,,42.5161819585292,,0.871177523208356,Iceland
1975,217979.0,6454.17715159378,,49.3613382334052,,3.01377147571619,Iceland
1976,220154.0,7583.27529804327,,32.0351102236086,,0.269543653435842,Iceland
1977,221799.0,9957.25443433463,,30.3167412725929,,0.190173544908974,Iceland
1978,223537.0,11236.735735064,,43.7499982853606,,0.322474541147391,Iceland
1979,225735.0,12640.6408128355,,44.4444558043744,,0.108640986791651,Iceland
1980,228138.0,14821.8150912707,,58.5284260893647,,0.659486397360439,Iceland
1981,230755.0,15137.2538408683,,51.7932416010108,,1.51732165379804,Iceland
1982,233860.0,13711.7362718597,,50.243226389676,,1.11643805059095,Iceland
1983,236977.0,11671.8092292119,,83.9500461937035,,-0.846002175016832,Iceland
1984,239511.0,11959.5400102921,,30.8523970770909,,0.478278245113997,Iceland
1985,241405.0,12361.1870365183,,31.9946290240703,,0.790870842067912,Iceland
1986,243180.0,16406.04794507,,22.1284011876646,,0.213052725920884,Iceland
1987,245859.0,22453.1882283809,,18.2977682232304,,0.0434757531011631,Iceland
1988,249740.0,24451.9733172334,,25.7255090852843,,-0.242359302983594,Iceland
1989,252852.0,22434.3467683494,,20.7581950334485,,-0.483026259017223,Iceland
1990,254826.0,25384.9150226302,,15.510721994253,,-0.0742523356404826,Iceland
1991,257797.0,26802.9895156678,,6.80877887943638,2.54999995231628,-0.266813584732624,Iceland
1992,261057.0,27124.2745379594,,3.94771176824033,4.30999994277954,0.122131073381174,Iceland
1993,263725.0,23579.7953612417,,4.04285291076943,5.26000022888184,-1.88944286310902e-05,Iceland
1994,266021.0,24018.6313967189,,1.55265627495782,5.32999992370605,0.0374710589868851,Iceland
1995,267468.0,26633.5913761549,,1.65123150116651,5.19999980926514,-0.130677741078363,Iceland
1996,268916.0,27614.8770273122,,2.26041898267296,3.59999990463257,1.12281928859909,Iceland
1997,271128.0,27919.1854966562,,1.81543080282247,3.72000002861023,1.95533983433771,Iceland
1998,274047.0,31030.0535989181,,1.65924170953426,3.0699999332428,1.81194911645345,Iceland
1999,277381.0,32381.6252356488,,3.23183260906467,2.1800000667572,0.741916720260383,Iceland
2000,281205.0,32096.3722613695,2873.84814453,5.13647123245151,1.94000005722046,1.71910672335357,Iceland
2001,284968.0,28897.4439396908,2557.26953125,6.40508550386865,1.87000000476837,1.98480647133146,Iceland
2002,287523.0,32409.2161491753,3091.28833008,5.1970223021663,2.99000000953674,0.986280282344157,Iceland
2003,289521.0,39476.6978486684,3861.73608398,2.0556632975374,4.0,2.93416250883022,Iceland
2004,292074.0,47334.9306537723,4430.375,3.15819324298464,4.03000020980835,5.46329455319797,Iceland
2005,296734.0,56794.8501588953,5111.64208984,3.98704782806592,2.54999995231628,18.3568910420242,Iceland
2006,303782.0,57492.9342498703,4986.39794922,6.68707906136661,2.82999992370605,22.1957301923828,Iceland
2007,311566.0,69495.7267376825,5926.80712891,5.05155736492145,2.25,31.7384495595613,Iceland
2008,317414.0,56943.3704468563,4851.42138672,12.6943942775878,2.95000004768372,6.65954120061332,Iceland
2009,318499.0,41301.273219718,3652.20849609,12.0031298461743,7.21999979019165,0.483397737786495,Iceland
2010,318041.0,43237.0729488958,3589.55566406,5.39673113167484,7.55999994277954,1.86880354711353,Iceland
2011,319014.0,47714.5922308485,3860.0300293,4.00102664343116,7.03000020980835,7.27227438749282,Iceland
2012,320716.0,45995.5478789467,3705.94604492,5.18589988750705,6.0,6.94277709651988,Iceland
2013,323764.0,49804.9829978371,4029.2331543,3.8722792374824,5.38000011444092,2.93088850938654,Iceland
2014,327386.0,54576.7448146565,4474.54931641,2.04461481539337,4.90000009536743,4.29141502345504,Iceland
2015,330815.0,52951.6815110898,4280.49072266,1.63305558181333,3.98000001907349,6.54080992846603,Iceland
2016,335439.0,61987.9263620283,5068.10009766,1.6969276199774,2.98000001907349,-5.12806396736361,Iceland
2017,343400.0,72010.1490316258,6144.54638672,1.76041559180606,2.74000000953674,-28.3072317012805,Iceland
2018,352721.0,74461.479998678,6565.87939453,2.68291768267388,2.70000004768372,-2.3709844609742,Iceland
2019,360563.0,68853.71521658,6274.95947266,3.01397179156056,3.50999999046326,-2.24144619228296,Iceland
2020,366463.0,59200.1779441092,,2.84792401518658,5.48000001907349,-4.04918936228877,Iceland
2021,372520.0,68727.636664709,,4.44423970189747,6.01999998092651,0.363751605901401,Iceland
