Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,582837973.0,122.612453445976,,6.44209746158235,,0.0248939334310589,India
1973,596107483.0,143.456124984427,,16.9408159791736,,0.0443312639763605,India
1974,609721951.0,163.231615579564,,28.598734077509,,0.0572413817970829,India
1975,623524219.0,157.929385028241,,5.74843029767432,,-0.0104863953058195,India
1976,637451448.0,161.137236080759,,-7.63394763392876,,-0.00750257328715037,India
1977,651685628.0,186.420134580461,,8.30747009171162,,-0.0296821094292779,India
1978,666267760.0,206.073749258556,,2.52304875695182,,0.01317549970211,India
1979,681248383.0,224.575437698719,,6.27568336762338,,0.0317468298404511,India
1980,696828385.0,267.390578652535,,11.3460734795094,,0.0424848266687402,India
1981,712869298.0,271.425085317378,,13.112546897642,,0.0475061813003992,India
1982,729169466.0,275.265428301887,,7.8907427937749,,0.0359115899149452,India
1983,745826546.0,292.644817454605,,11.8680812986734,,0.00258404707875636,India
1984,762895156.0,278.096187266015,,8.3189071186007,,0.00906870288372923,India
1985,780242084.0,297.999662681228,,5.55642423236555,,0.0456277765182515,India
1986,797878993.0,312.059843942513,,8.72972072702588,,0.0472837841556693,India
1987,815716125.0,342.071923724964,,8.80112581251833,,0.0760911990543139,India
1988,833729681.0,355.737598854123,,9.38347186185332,,0.0307664821001643,India
1989,852012673.0,347.462384500091,,7.07428002942298,,0.0851567337088908,India
1990,870452165.0,368.749759408129,,8.97123250273256,,0.0737400205365026,India
1991,888941756.0,303.850437957407,,13.8702461773683,6.73699998855591,0.0272255401825463,India
1992,907574049.0,317.559135479384,,11.7878170418135,6.81500005722046,0.0959418288373836,India
1993,926351297.0,301.501194948853,,6.32689048779867,6.7979998588562,0.19705616250511,India
1994,945261958.0,346.227393126043,,10.2479355556119,6.82999992370605,0.297385908901827,India
1995,964279129.0,373.628280320062,,10.2248861637545,7.01399993896484,0.59498625843436,India
1996,983281218.0,399.577503521552,,8.97715233826453,7.18100023269653,0.617479055916172,India
1997,1002335230.0,414.898869576673,,7.16425211462723,7.27899980545044,0.860208566090658,India
1998,1021434576.0,412.509511039641,,13.2308389767977,7.48699998855591,0.625285966332408,India
1999,1040500054.0,440.961454614021,,4.66982038037589,7.70900011062622,0.472644845877164,India
2000,1059633675.0,442.034778917695,18.50239372,4.0094359104519,7.76999998092651,0.765212648995792,India
2001,1078970907.0,449.911124933268,19.79767799,3.77929312235641,7.95699977874756,1.05637830509657,India
2002,1098313039.0,468.84442830518,20.23548126,4.29715203929562,8.10200023651123,1.01157180543964,India
2003,1117415123.0,543.843798893951,21.99779892,3.80585899528852,8.35999965667725,0.605889254716748,India
2004,1136264583.0,624.105094371897,25.06458473,3.7672517347751,8.5310001373291,0.765601404573582,India
2005,1154638713.0,710.509344850714,27.66702271,4.24634362031927,8.69999980926514,0.886100720125194,India
2006,1172373788.0,802.01374204738,29.56233788,5.79652337561635,8.625,2.13016842533494,India
2007,1189691809.0,1022.73162874643,35.85623932,6.37288135593229,8.53600025177002,2.07339574616693,India
2008,1206734806.0,993.503772474691,37.88212204,8.34926704907581,8.35400009155273,3.62052189719656,India
2009,1223640160.0,1096.63498033497,38.30339432,10.8823529411765,8.38399982452393,2.65159312683012,India
2010,1240613620.0,1350.63432207085,45.12977219,11.9893899204243,8.31900024414063,1.63503427378005,India
2011,1257621191.0,1449.60178853415,48.60390472,8.9117933648337,8.16800022125244,2.00206555189983,India
2012,1274487215.0,1434.01819806113,48.94621658,9.47899691419793,8.09500026702881,1.31293433704075,India
2013,1291132063.0,1438.05748041006,56.11839676,10.0178784746103,8.03699970245361,1.51627596536508,India
2014,1307246509.0,1559.86451848257,57.07431793,6.665656718679,7.98099994659424,1.69565878566784,India
2015,1322866505.0,1590.17391842781,58.91690063,4.90697344127254,7.91499996185303,2.09211575768566,India
2016,1338636340.0,1714.28035526737,60.60255051,4.94821634062142,7.84200000762939,1.93736319812939,India
2017,1354195680.0,1957.968841235,57.55659103,3.32817337461301,7.73299980163574,1.5073165808981,India
2018,1369003306.0,1974.37778792366,60.26567459,3.93882646691634,7.65000009536743,1.55821479344505,India
2019,1383112050.0,2047.23270433512,63.74832153,3.72950573539126,6.51000022888184,1.78738173893008,India
2020,1396387127.0,1910.42147282449,,6.62343677628532,10.1949996948242,2.41266468032859,India
2021,1407563842.0,2256.59040870506,,5.13140747176369,7.71299982070923,1.40815877116502,India
