Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,121504145.0,90.5120591683994,,6.5217492128302,,2.30523225241017,Indonesia
1973,124709058.0,130.489743672414,,31.0418812711131,,3.57027571297421,Indonesia
1974,127945196.0,201.667670574784,,40.4917904384715,,0.705825550989914,Indonesia
1975,131213215.0,232.170634807529,,19.1656971335588,,4.24128851064663,Indonesia
1976,134521025.0,277.050792814774,,19.8286536956641,,2.00592143120381,Indonesia
1977,137861540.0,332.282053882835,,11.0520897946254,,0.513000573361318,Indonesia
1978,141250964.0,364.285790646143,,8.11258259525912,,0.81178537041922,Indonesia
1979,144693087.0,355.235951107929,,16.2327657550178,,0.439687121623961,Indonesia
1980,148177096.0,489.16019632923,,18.0354301616893,,0.248336362387201,Indonesia
1981,151686337.0,563.783364682224,,12.2659085141911,,0.155522389359783,Indonesia
1982,155228658.0,580.810595600588,,9.44542395353453,,0.24956063655576,Indonesia
1983,158790611.0,510.434986639216,,11.7997405215176,,0.360261287820553,Indonesia
1984,162331962.0,522.717146698244,,10.45503482319,,0.261626776456669,Indonesia
1985,165791694.0,514.437663848485,,4.72453615680209,,0.363467988436542,Indonesia
1986,169135273.0,472.722638816231,,5.82266696175201,,0.322685251305805,Indonesia
1987,172421390.0,440.372378254393,,9.2786561316159,,0.507048517152725,Indonesia
1988,175694647.0,479.8107165769,,8.04536715123097,,0.683272607182305,Indonesia
1989,178949174.0,527.811477341645,,6.41553963494968,,0.722064255859059,Indonesia
1990,182159874.0,582.678967798773,,7.81919144730541,,1.0297649424684,Indonesia
1991,185361228.0,629.160679800489,,9.41905827724153,2.61999988555908,1.2707722797342,Indonesia
1992,188558416.0,678.977736957462,,7.52351717022744,2.73000001907349,1.38798883350104,Indonesia
1993,191737287.0,824.079148994808,,9.67189338180124,2.77999997138977,1.26830064559013,Indonesia
1994,194928533.0,907.471785731365,,8.53200525418844,4.36999988555908,1.1922519299764,Indonesia
1995,198140162.0,1020.1466814341,,9.42032321644617,4.59700012207031,2.15007984011937,Indonesia
1996,201373791.0,1129.09270986001,,7.97328085611421,4.8600001335144,2.72419788646708,Indonesia
1997,204628007.0,1054.34735827552,,6.22614163387585,4.67999982833862,2.16779685196237,Indonesia
1998,207855486.0,459.191863103941,,58.4510444723946,5.46000003814697,-0.252290447660406,Indonesia
1999,210996910.0,663.523229868446,,20.4778311126401,6.3600001335144,-1.33257354110796,Indonesia
2000,214072421.0,770.865351580294,15.72359753,3.68861915958351,6.07999992370605,-2.75743993350903,Indonesia
2001,217112437.0,739.003946535355,17.24096489,11.5001148791768,6.07999992370605,-1.85568619300523,Indonesia
2002,220115092.0,888.901389665655,19.39154434,11.9001175663779,6.59999990463257,0.0741516383181159,Indonesia
2003,223080121.0,1052.41319921916,26.05935287,6.7573171936285,6.65999984741211,-0.254256320381005,Indonesia
2004,225938595.0,1136.75521127965,26.52274895,6.06405988526519,7.30000019073486,0.738243979887563,Indonesia
2005,228805144.0,1249.39768934573,34.78797531,10.4531984193865,7.94000005722046,2.91611484304662,Indonesia
2006,231797427.0,1572.79793405494,45.2936058,13.1086720985297,7.55000019073486,1.3479426455458,Indonesia
2007,234858289.0,1840.32992667702,57.12649536,6.40656281325702,8.0600004196167,1.6030105718879,Indonesia
2008,237936543.0,2144.38954419985,60.42224503,10.2266645473148,7.21000003814697,1.82632902403998,Indonesia
2009,240981299.0,2239.09526528198,63.60499191,4.38641555014729,6.1100001335144,0.903919419654062,Indonesia
2010,244016173.0,3094.44308989745,87.14134216,5.1342040076793,5.6100001335144,2.02517913834177,Indonesia
2011,247099697.0,3613.80090208324,108.90615845,5.3560477898215,5.15000009536743,2.30298428515062,Indonesia
2012,250222695.0,3668.21207047486,107.66363525,4.27949999641976,4.46999979019165,2.3097803266511,Indonesia
2013,253275918.0,3602.88551680629,103.98308563,6.41251330156414,4.34000015258789,2.55135633401058,Indonesia
2014,256229761.0,3476.62485324343,103.5038681,6.39492540819922,4.05000019073486,2.81997260507169,Indonesia
2015,259091970.0,3322.58168813599,97.4282608,6.36312113115614,4.51000022888184,2.29761638745523,Indonesia
2016,261850182.0,3558.81885229219,107.64949036,3.5258051568793,4.30000019073486,0.487372471295636,Indonesia
2017,264498852.0,3839.78506857872,111.44986725,3.80879806953163,3.77999997138977,2.01948920129522,Indonesia
2018,267066843.0,3902.6616681577,111.6594696,3.19834641562404,4.3899998664856,1.81428979693517,Indonesia
2019,269582878.0,4151.22754296453,120.12496185,3.03058664969491,3.58999991416931,2.23336204897898,Indonesia
2020,271857970.0,3894.27220196922,,1.92096800566845,4.25,1.81120979974827,Indonesia
2021,273753191.0,4332.70928089396,,1.56012990525685,3.82999992370605,1.80104100922638,Indonesia
