Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,30111574.0,569.663454428143,,6.39824135128874,,0.531671060246712,"Iran, Islamic Rep."
1973,30981898.0,874.113595284197,,9.8194867331876,,2.07335594255133,"Iran, Islamic Rep."
1974,31895534.0,1448.7637069233,,14.2489355382568,,0.700078676064389,"Iran, Islamic Rep."
1975,32856976.0,1575.80607387262,,12.879181833834,,0.954878470196233,"Iran, Islamic Rep."
1976,33841060.0,2011.0272869926,,11.2561425062112,,-0.149275673376266,"Iran, Islamic Rep."
1977,34876497.0,2311.01542973089,,27.2877846793093,,0.428895128706274,"Iran, Islamic Rep."
1978,35993661.0,2166.89034831665,,11.7219692041212,,1.16554646450947,"Iran, Islamic Rep."
1979,37205013.0,2429.56177238612,,10.4872367273486,,0.181819434181457,"Iran, Islamic Rep."
1980,38520664.0,2449.65340109462,,20.6439144373797,,0.0857440109436373,"Iran, Islamic Rep."
1981,40476251.0,2482.92048465463,,24.2035897624486,,0.0280797939088611,"Iran, Islamic Rep."
1982,42500030.0,2963.49805963631,,18.6897259269564,,-0.108051880659407,"Iran, Islamic Rep."
1983,44027986.0,3551.4946474781,,19.7401891778611,,-0.0502157907798497,"Iran, Islamic Rep."
1984,45628402.0,3556.48502920437,,12.5402194538869,,0.0263069142834971,"Iran, Islamic Rep."
1985,47266160.0,3812.10636953974,,4.38934095741537,,-0.0211728446056716,"Iran, Islamic Rep."
1986,48913237.0,4274.80524001059,,18.4290030211474,,-0.0537747127491272,"Iran, Islamic Rep."
1987,50541490.0,2651.48486764377,,28.5714285714291,,-0.229557502692838,"Iran, Islamic Rep."
1988,52111868.0,2361.4171983608,,28.6706349206345,,0.0491963692882078,"Iran, Islamic Rep."
1989,53644736.0,2246.19174034655,,22.3496530454897,,-0.0161166690263459,"Iran, Islamic Rep."
1990,55793629.0,2237.05226140112,,7.62767493763936,,-0.289993217478827,"Iran, Islamic Rep."
1991,57990883.0,,,17.1285679434011,11.1000003814697,,"Iran, Islamic Rep."
1992,59372016.0,,,25.8077226162332,10.8430004119873,,"Iran, Islamic Rep."
1993,59755430.0,1066.74193846504,,21.2026307547761,10.451000213623,0.325601196600586,"Iran, Islamic Rep."
1994,59985749.0,1197.64214618036,,31.4470284237728,10.0640001296997,0.00278390774262661,"Iran, Islamic Rep."
1995,60794809.0,1585.97793676223,,49.6559858462747,9.57400035858154,0.0176313384274561,"Iran, Islamic Rep."
1996,61598378.0,1954.66075235684,,28.9373440168136,9.10000038146973,0.0215939791939169,"Iran, Islamic Rep."
1997,62480533.0,1823.27451369781,,17.3492257538708,9.79500007629395,0.0465242180580812,"Iran, Islamic Rep."
1998,63461421.0,1737.70003294612,,17.8661342130397,10.3959999084473,0.0217633947743042,"Iran, Islamic Rep."
1999,64474745.0,1765.78364270151,,20.0707078146866,11.0419998168945,0.0307426231739111,"Iran, Islamic Rep."
2000,65544383.0,1672.02287650211,80.85904694,14.4767513188566,11.5819997787476,0.0355866340456932,"Iran, Islamic Rep."
2001,66674851.0,1902.94763907225,94.61769867,11.2742471332117,12.2980003356934,0.321660450664957,"Iran, Islamic Rep."
2002,67327117.0,1910.47713365953,105.77117157,14.3359337378404,12.8000001907349,2.73611498145264,"Iran, Islamic Rep."
2003,67954699.0,2259.51631976812,116.61520386,16.4680116244792,11.5030002593994,1.87403442563107,"Iran, Islamic Rep."
2004,69061674.0,2751.7930417505,142.40454102,14.7615086970672,10.3000001907349,1.59821351184483,"Iran, Islamic Rep."
2005,70182594.0,3226.61397057427,174.84387207,13.433118008508,11.8100004196167,1.27585091127749,"Iran, Islamic Rep."
2006,71275760.0,3736.17779257835,199.80201721,10.0158982511924,11.5200004577637,0.870277120377038,"Iran, Islamic Rep."
2007,72319418.0,4838.00355609278,248.38494873,17.3410404624277,10.7700004577637,0.576707017913597,"Iran, Islamic Rep."
2008,73318394.0,5623.91168097394,302.4498291,25.4105090311987,10.6300001144409,0.480187803619199,"Iran, Islamic Rep."
2009,74322685.0,5602.55628183187,371.42010498,13.5515548281506,12.1099996566772,0.716484923199016,"Iran, Islamic Rep."
2010,75373855.0,6458.57393556621,445.66363525,10.089362928798,13.6800003051758,0.749571759976535,"Iran, Islamic Rep."
2011,76342971.0,8201.58170850865,530.71380615,26.2933856738609,12.4899997711182,0.683036656371718,"Iran, Islamic Rep."
2012,77324451.0,8329.00204422921,525.5848999,27.2568127242908,12.2700004577637,0.723831888828296,"Iran, Islamic Rep."
2013,78458928.0,6280.68185751355,418.88528442,36.6030355191028,10.6000003814697,0.61893186525587,"Iran, Islamic Rep."
2014,79961672.0,5757.54333684193,387.37609863,16.6065532357449,10.6800003051758,0.457335512399909,"Iran, Islamic Rep."
2015,81790841.0,4990.93679760475,377.8374939,12.4846815611533,11.1700000762939,0.502188909104813,"Iran, Islamic Rep."
2016,83306231.0,5497.24322713074,458.25817871,7.24542548952983,12.6199998855591,0.736317507426721,"Iran, Islamic Rep."
2017,84505076.0,5758.59071996595,481.5763855,8.04492437660281,12.2299995422363,1.0313787661286,"Iran, Islamic Rep."
2018,85617562.0,3873.99534020792,484.28659058,18.0141183371874,12.1899995803833,0.715444232972887,"Iran, Islamic Rep."
2019,86564202.0,3277.875595507,470.43460083,39.9073455697783,10.7399997711182,0.531459953106263,"Iran, Islamic Rep."
2020,87290193.0,2746.42044957439,,30.5941390387295,9.6899995803833,0.559783428812177,"Iran, Islamic Rep."
2021,87923432.0,4091.20918670534,,43.3890162681516,10.8179998397827,0.396148984045952,"Iran, Islamic Rep."
