Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,10507315.0,391.522287321083,,5.18595041325521,,-0.00218773274917853,Iraq
1973,10872139.0,472.250012453355,,4.89098408992569,,-0.127571693011188,Iraq
1974,11243146.0,1024.33630358358,,7.69999999976925,,-0.0766708518333382,Iraq
1975,11617622.0,1158.45710616289,,9.51717734405535,,-0.333766348790982,Iraq
1976,11999342.0,1479.64993422836,,12.8232301828134,,0.00760356666030898,Iraq
1977,12400190.0,1599.82473772802,,9.16776253995514,,0.022129100584992,Iraq
1978,12819707.0,1853.57400538713,,4.61194286682017,,0.00126250534416417,Iraq
1979,13233830.0,2857.55959079762,,,,0.00425740561644817,Iraq
1980,13653369.0,3850.25849663918,,,,0.00291046053757918,Iraq
1981,14067260.0,2688.72545186483,,,,0.0108928429791397,Iraq
1982,14467682.0,2929.44877647527,,,,0.00570992606982469,Iraq
1983,14903737.0,2731.72448130334,,,,-0.000574756358450202,Iraq
1984,15377032.0,3052.49979949149,,,,-0.00585661368025346,Iraq
1985,15753856.0,3073.86085605471,,,,-0.00239544870701715,Iraq
1986,16148221.0,2926.91783999193,,,,0.00194226044226044,Iraq
1987,16598019.0,3420.54033968675,,,,-0.00755801136363636,Iraq
1988,16987346.0,3690.07119352442,,,,-0.00539686705571165,Iraq
1989,17442590.0,3774.20643860063,,,,0.000592417642187584,Iraq
1990,17658381.0,10216.5688075328,,,,-0.0037747757664077,Iraq
1991,17846378.0,22.8503705157307,,180.952380952381,9.22299957275391,1.8847642717589,Iraq
1992,18385673.0,30.1143155146922,,83.615819209039,8.97299957275391,0.0167969496578877,Iraq
1993,19295818.0,53.480234998687,,207.692307692309,8.94400024414063,0.0778142335586011,Iraq
1994,20248073.0,197.122426551766,,448.499999999999,9.03800010681152,-0.000751625524972234,Iraq
1995,20948858.0,615.500371815598,,387.310847766638,9.02099990844727,,Iraq
1996,21639332.0,482.163618606282,,-16.1173257510572,8.91699981689453,-0.0191111519736746,Iraq
1997,22330770.0,929.876446552425,,23.0631996788727,8.80500030517578,0.00555265079296931,Iraq
1998,23053488.0,894.329094332383,,14.7687735575528,8.78800010681152,0.03583380102465,Iraq
1999,23820734.0,1548.2982843358,,12.5777623393436,8.77600002288818,,Iraq
2000,24628858.0,1963.72283862715,,4.97896213183735,8.7519998550415,-6.61645727484025e-05,Iraq
2001,25425663.0,1422.83133890376,,16.3740814963262,8.84200000762939,-0.0183987194875265,Iraq
2002,26255343.0,1254.16204512828,,19.316694601979,8.89099979400635,-0.00099002520234575,Iraq
2003,27068823.0,809.845684048259,28.1536808,33.6162105992383,8.84899997711182,4.56171717525217,Iraq
2004,27858948.0,1314.76255894742,53.49328613,26.9619068193272,8.60499954223633,0.819047735654686,Iraq
2005,28698684.0,1740.66833006213,53.76188278,36.9594809201871,8.7180004119873,1.03153063965511,Iraq
2006,28905607.0,2253.54711274949,57.49062729,53.230962911428,8.6540002822876,0.587963055780329,Iraq
2007,28660887.0,3099.59196989479,98.87436676,-10.0674925768978,8.64999961853027,1.09391289238934,Iraq
2008,29218381.0,4504.50809414268,140.75538635,12.6628528269228,8.47999954223633,1.40995174135476,Iraq
2009,30289040.0,3686.4021329943,145.22535706,6.8736154721255,8.39500045776367,1.43142989146338,Iraq
2010,31264875.0,4430.42624189518,150.45606995,2.8777472527476,8.2519998550415,1.00796493975113,Iraq
2011,32378061.0,5736.89895897239,168.74902344,5.80145537085299,8.125,1.12086339764167,Iraq
2012,33864447.0,6437.50307624074,183.91609192,6.08909641595044,7.96000003814697,1.55961527267887,Iraq
2013,35481800.0,6612.90225210234,199.51622009,1.87949800749469,9.26299953460693,-0.995279210263068,Iraq
2014,36746488.0,6215.98603314029,190.6933136,2.23597407904678,10.5900001525879,-4.45521124532956,Iraq
2015,37757813.0,4416.94304894546,156.83721924,1.3933302878031,10.7290000915527,-4.5415922260462,Iraq
2016,38697943.0,4305.20270154631,159.73895264,0.556521397155519,10.8199996948242,-3.75498592308959,Iraq
2017,39621162.0,4725.19357334032,214.3563385,0.18405889884764,13.0200004577637,-2.68799428357231,Iraq
2018,40590700.0,5601.46706102705,239.41297913,0.36744148893681,14.0649995803833,-2.14854834807913,Iraq
2019,41563520.0,5621.18169491752,253.31463623,-0.198965380023871,15.1099996566772,-1.31640616709339,Iraq
2020,42556984.0,4332.30412463995,,0.574162679425838,16.2299995422363,-1.55074206384704,Iraq
2021,43533592.0,4775.3774539013,,6.04186489058039,16.1700000762939,-1.26860765425301,Iraq
