Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3036850.0,2080.46514718169,,8.60581745301067,,0.490656896947855,Ireland
1973,3085950.0,2424.26904706558,,11.4148503873296,,0.695078158768606,Ireland
1974,3137500.0,2516.92768605196,,16.9761273212048,,0.648358917502276,Ireland
1975,3189550.0,2973.40012301715,,20.8758503401952,,1.66778992000303,Ireland
1976,3238050.0,2919.58308695615,,17.9856958613385,,1.82657559314158,Ireland
1977,3282200.0,3427.0734359204,,13.4722252633927,,1.21120089520006,Ireland
1978,3329100.0,4399.98680535092,,7.71114118004808,,2.56185213330257,Ireland
1979,3373750.0,5429.96200087479,,13.2954539852612,,1.83783970791835,Ireland
1980,3412800.0,6372.43777545453,,18.1544433038192,,1.31714135242008,Ireland
1981,3453000.0,5986.1541089392,,20.3735228947773,,0.984267675043462,Ireland
1982,3485800.0,6160.63829313723,,17.1471142032124,,1.12695126377373,Ireland
1983,3510600.0,5915.24177164341,,10.4476295240831,,0.816958536991972,Ireland
1984,3532423.0,5692.02738597285,,8.65111383765405,,0.603581448557054,Ireland
1985,3538082.0,6011.7355464232,,5.39549731466383,,0.76944004451248,Ireland
1986,3539690.0,8112.17136316453,,3.82703931524415,,0.871659712656952,Ireland
1987,3540057.0,9581.91308572415,,3.15940764053431,,0.950683051826617,Ireland
1988,3524949.0,10715.8702780539,,2.13457156859609,,0.681543405079274,Ireland
1989,3511009.0,11175.816603647,,4.08904273020372,,0.491251864680183,Ireland
1990,3513974.0,14031.3025675469,,3.31732129894252,,1.26133865345752,Ireland
1991,3534235.0,14087.2074393708,,3.21081702751349,15.7700004577637,2.73495949096658,Ireland
1992,3558430.0,15714.3847487231,,3.06999743466961,15.0200004577637,2.60767725514267,Ireland
1993,3576261.0,14657.0615549805,,1.46942088431732,15.5699996948242,2.05635610310019,Ireland
1994,3590386.0,15902.9296755168,,2.30919875061488,14.539999961853,1.50090049057357,Ireland
1995,3608841.0,19158.4564773907,,2.52486728005296,11.9700002670288,2.08696657373782,Ireland
1996,3637510.0,20835.8977130847,,1.75373213896016,11.6899995803833,3.45356359013551,Ireland
1997,3674171.0,22551.1139134126,,1.52560521714534,10.1899995803833,2.4485636889586,Ireland
1998,3712696.0,24294.8547674007,,2.41551787239232,7.69999980926514,9.82513843427325,Ireland
1999,3754786.0,26338.1077543817,,1.63192376414532,5.80000019073486,18.4143116868107,Ireland
2000,3805174.0,26334.5672050501,1564.83740234,5.59071729957807,4.32000017166138,25.7260262388974,Ireland
2001,3866243.0,28282.409882073,1823.73474121,4.87290487290487,3.6800000667572,8.82598474895757,Ireland
2002,3931947.0,32705.4345565698,2200.35742188,4.614733276884,4.21999979019165,22.8030331273107,Ireland
2003,3996521.0,41203.5295847568,2910.93212891,3.49048968029138,4.48000001907349,13.8344483619933,Ireland
2004,4070262.0,47754.2023194244,3483.16064453,2.19962850718543,4.48999977111816,-5.45737370564051,Ireland
2005,4159914.0,50933.0216095589,3938.19116211,2.42969198392961,4.34000015258789,22.1832694953893,Ireland
2006,4273591.0,54329.1618599624,4147.13232422,3.93163989540532,4.40999984741211,9.50555829114522,Ireland
2007,4398942.0,61396.417461176,4858.64501953,4.89711564381346,4.98000001907349,22.1915415030247,Ireland
2008,4489544.0,61353.1065629523,5638.77929688,4.06030495117353,6.76999998092651,8.45449268903965,Ireland
2009,4535375.0,52133.0906162544,5502.88769531,-4.47810339150477,12.6099996566772,22.827608853053,Ireland
2010,4560155.0,48663.6004439251,5133.45507813,-0.922095829024469,14.5299997329712,17.0104319599033,Ireland
2011,4580084.0,52183.1329312154,5558.296875,2.5571888318692,15.3500003814697,9.91591709013994,Ireland
2012,4599533.0,49054.6974340641,5222.04492188,1.69620897294545,15.4499998092651,25.7460217659958,Ireland
2013,4623816.0,51546.3547634545,5328.57910156,0.508714869485436,13.7299995422363,29.7100433215927,Ireland
2014,4657740.0,55643.0594338748,5329.98046875,0.182542316627949,11.8599996566772,37.5745338955832,Ireland
2015,4701957.0,62053.9844381587,4561.38916016,-0.289879079012739,9.90999984741211,81.2475673536336,Ireland
2016,4755335.0,62895.9111239282,4709.16845703,0.00830633773569926,8.36999988555908,34.409475431144,Ireland
2017,4807388.0,69970.9489145762,5010.25634766,0.340531561461793,6.71000003814697,17.3319584038638,Ireland
2018,4867316.0,79250.3878517684,5484.22119141,0.488370168032449,5.73999977111816,17.4631389088814,Ireland
2019,4934340.0,80927.0746710666,5428.58886719,0.939044481054341,4.94999980926514,-11.6781097247291,Ireland
2020,4985382.0,85420.1908556097,,-0.334584625428444,5.61999988555908,8.16780287849418,Ireland
2021,5033165.0,100172.079253421,,2.35814296241712,6.19000005722046,16.0693090089581,Ireland
