Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,57419.0,,,,,,Isle of Man
1973,58325.0,,,,,,Isle of Man
1974,59179.0,,,,,,Isle of Man
1975,59949.0,,,,,,Isle of Man
1976,60701.0,,,,,,Isle of Man
1977,61506.0,,,,,,Isle of Man
1978,62333.0,,,,,,Isle of Man
1979,63172.0,,,,,,Isle of Man
1980,64022.0,,,,,,Isle of Man
1981,64558.0,,,,,,Isle of Man
1982,64654.0,,,,,,Isle of Man
1983,64598.0,,,,,,Isle of Man
1984,64500.0,,,,,,Isle of Man
1985,64376.0,,,,,,Isle of Man
1986,64663.0,,,,,,Isle of Man
1987,65554.0,,,,,,Isle of Man
1988,66636.0,,,,,,Isle of Man
1989,67740.0,,,,,,Isle of Man
1990,68865.0,,,,,,Isle of Man
1991,69770.0,,,,,,Isle of Man
1992,70307.0,,,,,,Isle of Man
1993,70710.0,,,,,,Isle of Man
1994,71094.0,,,,,,Isle of Man
1995,71454.0,12802.1226759755,,,,,Isle of Man
1996,71981.0,14212.1651933048,,,,,Isle of Man
1997,72793.0,16223.6501505447,,,,,Isle of Man
1998,73727.0,18753.0401253347,,,,,Isle of Man
1999,74668.0,20991.6231008789,,,,,Isle of Man
2000,75562.0,20693.8381675417,,,,,Isle of Man
2001,76398.0,21716.9460422835,,,,,Isle of Man
2002,77183.0,25230.0755574049,,,,,Isle of Man
2003,77939.0,29877.9587606731,,,,,Isle of Man
2004,78677.0,35872.72612288,,,,,Isle of Man
2005,79415.0,38184.2221242838,,,,,Isle of Man
2006,80228.0,42661.5562390517,,,,,Isle of Man
2007,81100.0,55069.0559824423,,,,,Isle of Man
2008,81997.0,72300.4616739924,,,,,Isle of Man
2009,82915.0,66177.2135064902,,,,,Isle of Man
2010,83828.0,70622.9146407445,,,,,Isle of Man
2011,84350.0,77843.4900020107,,,,,Isle of Man
2012,84338.0,79332.2715559227,,,,,Isle of Man
2013,84144.0,83199.6195628281,,,,,Isle of Man
2014,83896.0,91885.607793653,,,,,Isle of Man
2015,83593.0,84759.345951354,,,,,Isle of Man
2016,83450.0,82045.4388430866,,,,,Isle of Man
2017,83580.0,83507.7976140431,,,,,Isle of Man
2018,83775.0,89429.6545852014,,,,,Isle of Man
2019,83933.0,87157.4714603395,,,,,Isle of Man
2020,84046.0,,,,,,Isle of Man
2021,84263.0,,,,,,Isle of Man
