Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3148000.0,,,12.8814612608798,,,Israel
1973,3278000.0,,,20.0323736916934,,,Israel
1974,3377000.0,,,39.6799771528345,,,Israel
1975,3455000.0,,,39.3067323775358,,,Israel
1976,3533000.0,,,31.3108676158987,,,Israel
1977,3613000.0,,,34.6167146675521,,,Israel
1978,3690000.0,,,50.5509524949542,,,Israel
1979,3786000.0,,,78.3100114110133,,,Israel
1980,3878000.0,,,131.025000335282,,,Israel
1981,3956000.0,,,116.799988694513,,,Israel
1982,4031000.0,,,120.364392146445,,,Israel
1983,4105000.0,,,145.951530366009,,,Israel
1984,4159000.0,,,373.215675062358,,,Israel
1985,4233000.0,,,308.7931304484,,,Israel
1986,4299000.0,,,47.9648842777335,,,Israel
1987,4369000.0,,,19.0938511326861,,,Israel
1988,4442000.0,,,16.4402173913044,,,Israel
1989,4518000.0,,,20.3033838973162,,,Israel
1990,4660000.0,,,17.2647914645975,,,Israel
1991,4949000.0,,,19.0239867659223,13.3900003433228,,Israel
1992,5123000.0,,,12.0222376650451,14.0799999237061,,Israel
1993,5261000.0,,,10.9801488833747,12.7399997711182,,Israel
1994,5399000.0,,,12.2787404509037,9.93000030517578,,Israel
1995,5545000.0,18916.6736162439,,9.9402588781945,8.77999973297119,1.28731238184557,Israel
1996,5692000.0,20116.9818739492,,11.3962264150943,8.46000003814697,1.22011221951046,Israel
1997,5836000.0,20366.5829100097,,8.95663956639564,9.75,1.37456549863964,Israel
1998,5971000.0,20106.6307473306,,5.49682875264272,10.75,1.4471496492815,Israel
1999,6125000.0,19742.5203936202,,5.17505599434163,11.1800003051758,3.43193780175664,Israel
2000,6289000.0,21630.7476087887,1513.94470215,1.05357543151761,11.1000003814697,5.91572341505637,Israel
2001,6439000.0,20909.430361637,1559.08325195,1.15350488021294,11.8100004196167,1.31562311752592,Israel
2002,6570000.0,19035.1024144493,1403.31604004,5.75657894736842,12.8900003433228,1.26538630927373,Israel
2003,6689700.0,19627.1754936631,1433.67077637,0.725764644893717,13.5100002288818,2.53008539817431,Israel
2004,6809000.0,20557.0786270029,1488.16137695,-0.411734431291799,13.0299997329712,2.10533236859378,Israel
2005,6930100.0,21223.9355901939,1555.03601074,1.31266149870799,11.3400001525879,3.27595124550409,Israel
2006,7053700.0,22494.6420931621,1593.60986328,2.06080391756786,10.710000038147,9.07257738982916,Israel
2007,7180100.0,25633.6432169583,1799.73254395,0.459816073570569,9.38000011444092,4.78022199393779,Israel
2008,7308800.0,30173.3615938856,2144.8215332,4.55721393034826,7.69999980926514,4.65884477085896,Israel
2009,7485600.0,28317.0408441487,2039.00305176,3.34031214312906,9.52999973297119,2.17337317080563,Israel
2010,7623600.0,31266.6053174383,2234.94970703,2.71664057463854,8.47999954223633,2.93026518074171,Israel
2011,7765800.0,34354.7161182231,2437.04614258,3.47857270934193,7.1399998664856,3.24335239486903,Israel
2012,7910500.0,33156.2283157638,2402.91577148,1.68948189221972,6.8600001335144,3.4380125857203,Israel
2013,8059500.0,36941.8423573582,2678.36181641,1.57621197921105,6.21000003814697,3.97745927085759,Israel
2014,8215700.0,38259.6810956173,2819.57177734,0.486495554437183,5.8899998664856,1.92437845809274,Israel
2015,8380100.0,36206.5222171621,2670.46679688,-0.634390651085145,5.25,3.73621179542429,Israel
2016,8546000.0,37690.4739511859,2818.50537109,-0.546034946236581,4.80000019073486,3.72179327773063,Israel
2017,8713300.0,41114.7817082553,3118.43359375,0.244953121040659,4.21999979019165,4.71534280837539,Israel
2018,8882800.0,42406.8454263606,3329.23291016,0.817323896191417,4.0,5.71143720615578,Israel
2019,9054000.0,44452.2325623093,3456.38696289,0.844128708733833,3.79999995231628,4.31398063025056,Israel
2020,9215100.0,44846.7915954816,,-0.588430300016595,4.32999992370605,5.59182382763499,Israel
2021,9364000.0,52170.7118623335,,1.49228845352231,4.31899976730347,4.39818474170011,Israel
