Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,54381345.0,2671.1373144713,,5.74950393730015,,0.463431741595532,Italy
1973,54751406.0,3205.25204038444,,10.7986174547601,,0.38355183658408,Italy
1974,55110868.0,3621.14582247876,,19.1597695854699,,0.298324848644667,Italy
1975,55441001.0,4106.99386771403,,16.9505025668306,,0.283059864599224,Italy
1976,55718260.0,4033.09935444585,,16.6141664725788,,0.0486102131473163,Italy
1977,55955411.0,4603.59970127027,,17.13004878665,,0.438295874703809,Italy
1978,56155143.0,5610.49809928171,,12.0940138425074,,0.151613402940784,Italy
1979,56317749.0,6990.28580671461,,14.7985735661485,,0.105511219235598,Italy
1980,56433883.0,8456.91897443827,,21.0641682770745,,0.121141547718878,Italy
1981,56501675.0,7622.83332844583,,17.9692987519672,,0.261063893398722,Italy
1982,56543548.0,7556.52343693203,,16.4804146202215,,0.143979154141873,Italy
1983,56564074.0,7832.5753867885,,14.646576674877,,0.269705009195144,Italy
1984,56576718.0,7739.71528361795,,10.794496007681,,0.29989029256515,Italy
1985,56593071.0,7990.68656551182,,9.20599144253119,,0.235907989907545,Italy
1986,56596155.0,11315.0151767923,,5.82354691862018,,-0.0238925568033907,Italy
1987,56601931.0,14234.7286380474,,4.7472849038979,,0.519802649395109,Italy
1988,56629288.0,15744.6612635428,,5.05824747667121,,0.761482658295001,Italy
1989,56671781.0,16386.6622120866,,6.25983137956973,,0.235980830428075,Italy
1990,56719240.0,20825.7842228307,,6.45660906146405,,0.545262644345237,Italy
1991,56758521.0,21956.5297707332,,6.24999929790291,10.1000003814697,0.19285108914701,Italy
1992,56797087.0,23243.4745277206,,5.27058998592932,9.31999969482422,0.2362249370624,Italy
1993,56831821.0,18738.7638969132,,4.62673468331293,10.210000038147,0.351085190450335,Italy
1994,56843400.0,19337.6308996383,,4.0518421806572,11.0900001525879,0.200920878132889,Italy
1995,56844303.0,20664.5522701724,,5.23542258044299,11.6599998474121,0.412363937826127,Italy
1996,56860281.0,23081.6046757702,,4.00697668981039,11.8599996566772,0.270410348992298,Italy
1997,56890372.0,21829.3458226222,,2.04310779750133,11.9799995422363,0.296910142702469,Italy
1998,56906744.0,22318.1373007109,,1.95508557719383,12.1199998855591,0.207870544521323,Italy
1999,56916317.0,22005.0545405773,,1.66345995007714,11.6800003051758,0.554256596129178,Italy
2000,56942108.0,20137.5912217673,1524.23962402,2.53768532095005,10.8299999237061,1.14879631454321,Italy
2001,56974100.0,20500.9543995672,1586.65710449,2.78516542713555,9.60000038146973,1.27378322788259,Italy
2002,57059007.0,22376.2978989329,1762.53759766,2.46532319171164,9.21000003814697,1.35023292663196,Italy
2003,57313203.0,27526.3224609957,2163.02539063,2.67255552772852,8.86999988555908,1.24065779813371,Italy
2004,57685327.0,31317.2007943296,2565.62744141,2.20673661423654,7.86999988555908,1.11266342687585,Italy
2005,57969484.0,32055.0920757503,2677.55224609,1.98529298527983,7.73000001907349,1.97835183741895,Italy
2006,58143979.0,33529.7266014361,2832.69775391,2.09084391012755,6.78000020980835,2.92351747020356,Italy
2007,58438310.0,37870.7475070969,3092.55883789,1.829741122024,6.07999992370605,2.98113330312029,Italy
2008,58826731.0,40944.9124194678,3504.11157227,3.34783258401023,6.71999979019165,-0.394476495589979,Italy
2009,59095365.0,37226.7571935402,3337.75073242,0.774768131387384,7.75,0.75489699092781,Italy
2010,59277417.0,36035.6449950691,3217.68286133,1.52551602118248,8.35999965667725,0.464889359066002,Italy
2011,59379449.0,38649.6394836789,3392.01269531,2.78063272879324,8.35999965667725,1.50176764625296,Italy
2012,59539717.0,35051.5212697703,3086.30322266,3.04136333226773,10.6499996185303,0.00167234025572561,Italy
2013,60233948.0,35560.0814062288,3149.24267578,1.21999342274305,12.1499996185303,0.911862937337876,Italy
2014,60789140.0,35565.7213771496,3154.27587891,0.241047429826773,12.6800003051758,0.787819994555961,Italy
2015,60730582.0,30242.3861352184,2675.67163086,0.0387903996579552,11.8999996185303,0.724336604335309,Italy
2016,60627498.0,30960.7315088902,2699.73291016,-0.0940166569157271,11.6899995803833,1.36684517505744,Italy
2017,60536709.0,32406.7203150134,2809.72143555,1.22653316645808,11.210000038147,0.567766926666821,Italy
2018,60421760.0,34622.1696664741,3000.7109375,1.13748763600395,10.6099996566772,2.11525548165585,Italy
2019,59729081.0,33673.7509627421,2905.5,0.611246943765291,9.94999980926514,1.55049869758514,Italy
2020,59438851.0,31911.0357890017,,-0.13770757391657,9.15999984741211,-1.16467011782915,Italy
2021,59109668.0,35657.4975631691,,1.87378325762491,9.5,0.897256467303229,Italy
