Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1915299.0,978.984931300467,,5.42770299630758,,5.19986449864499,Jamaica
1973,1945320.0,979.745005033357,,17.6825919824837,,3.84591661781266,Jamaica
1974,1974880.0,1202.6534518743,,27.1581894550217,,1.28415848462393,Jamaica
1975,2003094.0,1427.99653230809,,17.37614678858,,2.14654445683873,Jamaica
1976,2029486.0,1461.45882745567,,9.79365327534654,,-0.0202291952317607,Jamaica
1977,2054927.0,1581.41743868569,,11.1910016370359,,-0.298489330754809,Jamaica
1978,2080485.0,1271.07344311217,,34.8998015240508,,-1.00588053176324,Jamaica
1979,2106937.0,1150.9760368662,,29.0792596109786,,-1.08864453115873,Jamaica
1980,2135546.0,1254.67185124508,,27.3081589882307,,1.03380989294169,Jamaica
1981,2166657.0,1374.95755552092,,12.7397181145091,,-0.386027624413499,Jamaica
1982,2199606.0,1497.32874361355,,6.5454079672007,,-0.479727958285083,Jamaica
1983,2232782.0,1620.97962124894,,11.5821110844253,,-0.516675334372314,Jamaica
1984,2264095.0,1048.35130923929,,27.8147693237454,,0.513994347683803,Jamaica
1985,2292030.0,916.315733089862,,25.6731012391773,,-0.428525892652206,Jamaica
1986,2315871.0,1189.42988456703,,15.1053754209795,,-0.166995443411067,Jamaica
1987,2336245.0,1406.95327404273,,6.65244804962687,,1.62458783794671,Jamaica
1988,2354805.0,1625.74426968601,,8.26676574400911,,-0.313454179420707,Jamaica
1989,2373365.0,1856.00194611358,,14.3295390328572,,1.29626306733772,Jamaica
1990,2392030.0,1919.8020373373,,21.9601751165083,,3.00290225339371,Jamaica
1991,2411867.0,1702.4981793312,,51.0710977304313,7.18800020217896,3.24387576640595,Jamaica
1992,2434574.0,1452.18838688296,,77.2965929559651,7.2039999961853,4.02776431872453,Jamaica
1993,2459062.0,2212.25197785727,,22.0699494185292,7.05800008773804,1.43196824391035,Jamaica
1994,2484182.0,2194.9134103029,,35.0633942484772,7.15299987792969,1.44885955333337,Jamaica
1995,2509372.0,2621.18323815691,,19.9087488364168,7.10599994659424,1.54769488812363,Jamaica
1996,2532894.0,2919.14448641739,,26.4066566074043,7.11299991607666,1.83530074546925,Jamaica
1997,2554954.0,3287.74369088309,,9.65755261268597,7.09499979019165,1.85356394944166,Jamaica
1998,2576567.0,3410.42776005243,,8.63189613012142,7.07999992370605,3.66556082099311,Jamaica
1999,2596271.0,3423.0101044506,,5.95423949113011,6.99300003051758,5.34147288620159,Jamaica
2000,2612205.0,3447.30389648976,191.47247314,8.17108356120221,6.95900011062622,4.65960017463684,Jamaica
2001,2625405.0,3502.20931094435,177.26374817,6.8019093078759,6.91499996185303,6.26990420241983,Jamaica
2002,2638244.0,3683.89653342499,171.27206421,7.07635009310988,6.86800003051758,4.56630498453953,Jamaica
2003,2651027.0,3557.19898909739,146.88262939,10.0869565217391,6.80399990081787,7.24796700703385,Jamaica
2004,2664024.0,3819.28423090316,179.38470459,13.5545023696682,6.80000019073486,5.49763452709418,Jamaica
2005,2676863.0,4200.38996606953,186.54173279,15.0528658875904,6.76700019836426,5.67333206255318,Jamaica
2006,2689660.0,4435.56861030003,182.25622559,8.56106408706169,6.69799995422363,7.06060923406459,Jamaica
2007,2701221.0,4738.44717544773,246.01036072,9.24482067275563,6.67899990081787,6.34318939046634,Jamaica
2008,2711373.0,5056.25824455749,276.53768921,22.0228384991843,6.67000007629395,10.0413031983052,Jamaica
2009,2722401.0,4452.12181188603,223.11180115,9.59224598930482,7.30999994277954,4.00285637022223,Jamaica
2010,2733896.0,4835.79363761629,249.08258057,12.6105519975602,7.63000011444092,1.40520276299346,Jamaica
2011,2746169.0,5259.92948717911,267.73898315,7.55585646580907,8.02999973297119,1.19599368640701,Jamaica
2012,2759817.0,5365.24229295272,254.50778198,6.87397708674304,8.6899995803833,2.791456896041,Jamaica
2013,2773129.0,5143.72131166933,247.21296692,9.3415007656968,9.69999980926514,3.81898358989432,Jamaica
2014,2784543.0,4991.56551872824,249.72155762,8.27407886231415,9.05000019073486,4.18835281422129,Jamaica
2015,2794445.0,5077.55062188355,276.05673218,3.69154228855723,8.84200000762939,6.5190079589336,Jamaica
2016,2802695.0,5022.70471701644,276.13690186,2.35102197485846,8.63000011444092,6.5920970905404,Jamaica
2017,2808376.0,5273.15074381723,311.7326355,4.3783986499156,7.40000009536743,6.0019976303558,Jamaica
2018,2811835.0,5594.49393466948,319.87716675,3.7366388215216,5.46999979019165,4.92423084532786,Jamaica
2019,2813773.0,5626.17117652759,327.40353394,3.90510000865876,4.98999977111816,4.20330543590115,Jamaica
2020,2820436.0,4897.26589668631,,5.22677779293517,6.5,1.91929044218628,Jamaica
2021,2827695.0,5183.58130458676,,5.86278242801063,6.01100015640259,2.18644447667856,Jamaica
