Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,107188000.0,2967.0419962342,,4.84351713859909,,0.0531394241172331,Japan
1973,108707000.0,3974.74560470548,,11.608623548922,,-0.00972036206779331,Japan
1974,110162000.0,4353.82435516245,,23.2222458076842,,0.0421161489543895,Japan
1975,111573000.0,4674.44548119394,,11.7312661498708,,0.0433330471706314,Japan
1976,112775000.0,5197.62233650784,,9.37403638606229,,0.0192779516894605,Japan
1977,113872000.0,6335.28687066895,,8.16182689596842,,0.00291095881601989,Japan
1978,114913000.0,8820.69194537469,,4.20956601068684,,0.000789256503523168,Japan
1979,115890000.0,9103.56475559867,,3.70185092546274,,0.0226537681962653,Japan
1980,116807000.0,9463.35385519596,,7.77858176555714,,0.0251495863524847,Japan
1981,117661000.0,10360.1782674787,,4.91216291820522,,0.0155046526308193,Japan
1982,118480000.0,9575.60771340783,,2.74104095563138,,0.0386948465578133,Japan
1983,119307000.0,10421.2124356394,,1.89971971348492,,0.0334587071826684,Japan
1984,120083000.0,10978.9198054992,,2.26161369193155,,-0.000758505716036613,Japan
1985,120837000.0,11576.6921126865,,2.03227734608485,,0.0435139257437727,Japan
1986,121482000.0,17113.2623242419,,0.59558679945326,,0.0116456563872067,Japan
1987,122069000.0,20748.9909244528,,0.12617684169661,,0.0464868236256717,Japan
1988,122578000.0,25059.0074334621,,0.678557580457528,,-0.0157503389785364,Japan
1989,123069000.0,24822.7755670655,,2.27228962064317,,-0.0346882653589295,Japan
1990,123478000.0,25371.4641705246,,3.07851628695158,,0.05764903061109,Japan
1991,123964000.0,28915.0082048082,,3.25143848753312,2.09999990463257,0.0358291939240488,Japan
1992,124425000.0,31414.9846370412,,1.76028306059266,2.20000004768372,0.0704972705463079,Japan
1993,124829000.0,35681.9639422506,,1.24304589707929,2.5,0.00472448679925734,Japan
1994,125178000.0,39933.5150564874,,0.695458057868992,2.90000009536743,0.0177719634051668,Japan
1995,125472000.0,44197.6191013908,,-0.127899045020497,3.20000004768372,0.000747680035122299,Japan
1996,125757000.0,39150.0396308089,,0.136600358575949,3.40000009536743,-0.000775960962533409,Japan
1997,126057000.0,35638.2319556941,,1.74780458692129,3.40000009536743,0.0553581188953659,Japan
1998,126400000.0,32423.7556133801,,0.661974191385979,4.09999990463257,0.0612933042415228,Japan
1999,126631000.0,36610.1683163197,,-0.341296928327639,4.69999980926514,0.318821542368848,Japan
2000,126843000.0,39169.3595701504,2740.67480469,-0.676578683595068,4.75,0.215124715468568,Japan
2001,127149000.0,34406.1824638092,2479.81152344,-0.740055504162799,5.01999998092651,0.112602474486226,Japan
2002,127445000.0,32820.7936433254,2404.64648438,-0.923494026942322,5.3899998664856,0.276304070175934,Japan
2003,127718000.0,35387.0374203599,2642.22705078,-0.256541816316057,5.25,0.194079344432153,Japan
2004,127761000.0,38298.9801712303,2875.93359375,-0.00857338820302009,4.73000001907349,0.153847735604894,Japan
2005,127773000.0,37812.8950199948,2883.30004883,-0.282946068764459,4.44999980926514,0.113001254131506,Japan
2006,127854000.0,35991.546002862,2754.37744141,0.249355116079115,4.19000005722046,-0.0520879011005219,Japan
2007,128001000.0,35779.0245416427,2772.69702148,0.0600394544986581,3.89000010490417,0.472322726975048,Japan
2008,128063000.0,39876.3039685725,3213.69555664,1.38007886164923,4.0,0.482208589465112,Japan
2009,128047000.0,41308.9968370512,3686.15429688,-1.3528367295172,5.07000017166138,0.231146374633737,Japan
2010,128070000.0,44968.1562349739,4060.4909668,-0.728243207517742,5.09999990463257,0.12920448958805,Japan
2011,127833000.0,48760.0789494211,5087.35644531,-0.272455616101254,4.55000019073486,-0.0136482744839263,Japan
2012,127629000.0,49145.2804308193,5212.18359375,-0.0440645104433029,4.3600001335144,0.00872020150189613,Japan
2013,127445000.0,40898.6478964744,4336.10693359,0.335037912184809,4.03999996185303,0.204293384186424,Japan
2014,127276000.0,38475.3952461838,4099.28027344,2.75922671353253,3.58999991416931,0.403354543401037,Japan
2015,127141000.0,34960.6393843385,3733.37646484,0.795279630579775,3.39000010490417,0.118161987748241,Japan
2016,127076000.0,39375.4731620781,4174.42236328,-0.127258844489691,3.13000011444092,0.818481615264516,Japan
2017,126972000.0,38834.0529341227,4121.03662109,0.484199796126387,2.8199999332428,0.381319638034274,Japan
2018,126811000.0,39727.1165995928,4256.09570313,0.989094598021806,2.47000002861023,0.501988769673437,Japan
2019,126633000.0,40458.0018755824,4360.47363281,0.468776159383912,2.34999990463257,0.779973898912205,Japan
2020,126261000.0,39918.1675583443,,-0.0249958340276592,2.79999995231628,1.20483937825837,Japan
2021,125681593.0,39312.6603730693,,-0.233352779398279,2.79999995231628,0.669779532491074,Japan
