Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1704787.0,462.564900457051,,7.65765765765759,,0.0710141261735818,Jordan
1973,1767414.0,533.944252890638,,11.1297071121338,,0.225753648511437,Jordan
1974,1827584.0,655.21158358143,,19.4277108435204,,0.570406255235807,Jordan
1975,1886636.0,722.470789078956,,11.9798234553089,,1.88121443138888,Jordan
1976,1945141.0,878.308428509686,,11.4999999999996,,-0.440783765133909,Jordan
1977,2005418.0,1045.45210953076,,14.5665171893876,,0.535648481260328,Jordan
1978,2069104.0,1257.75285629364,,6.92152129952408,,2.16841538506208,Jordan
1979,2138078.0,1530.21932395744,,14.2464917630784,,0.806028627060729,Jordan
1980,2216903.0,1763.88980855626,,11.1111111111113,,0.865151402442391,Jordan
1981,2306655.0,1900.7535008859,,7.69999999999976,,3.21171269993851,Jordan
1982,2406349.0,1945.32661379253,,7.42804085422488,,1.26960766405496,Jordan
1983,2514785.0,1956.59175683479,,5.02016709831461,,0.708572637800873,Jordan
1984,2629939.0,1888.52669700852,,3.84747273837615,,1.56014409315592,Jordan
1985,2751492.0,1814.98543028136,,2.98507462714753,,0.499586256664208,Jordan
1986,2879799.0,2222.87339200707,,0.0,,0.355455163295211,Jordan
1987,3014694.0,2240.82160006678,,-0.199999999999892,,0.584697251215201,Jordan
1988,3157177.0,1988.26915932534,,6.61322645290577,,0.378055524400539,Jordan
1989,3310954.0,1274.91875594814,,25.7127192982454,,-0.031976834988285,Jordan
1990,3480587.0,1195.24744651472,,16.1921375615234,,0.904935162571697,Jordan
1991,3666379.0,1184.88848452732,,8.15549597855211,19.5820007324219,-0.273635203759797,Jordan
1992,3866887.0,1373.44944805167,,3.9958356055719,19.2730007171631,0.766762714205327,Jordan
1993,4075759.0,1375.45025413554,,3.31666666666707,19.7000007629395,-0.598439309548439,Jordan
1994,4278166.0,1457.70313219387,,3.51669624132887,17.1660003662109,0.045776079316656,Jordan
1995,4458195.0,1509.04054936212,,2.35312451301272,14.6000003814697,0.197813411584189,Jordan
1996,4608676.0,1503.14396718127,,6.50121802679585,13.6999998092651,0.223959605831094,Jordan
1997,4733665.0,1530.7038436719,,3.03788420300251,13.6850004196167,4.9812158137543,Jordan
1998,4844403.0,1633.28088186495,,3.09166666666702,13.7040004730225,3.91814324931371,Jordan
1999,4950775.0,1646.19266238886,,0.606256567779466,13.7080001831055,1.93828634719554,Jordan
2000,5056174.0,1673.35812510644,159.14764404,0.666880925597913,13.6999998092651,10.7940053678297,Jordan
2001,5163310.0,1738.34215567632,170.04580688,1.77220437351018,14.6999998092651,3.04857823935121,Jordan
2002,5275532.0,1816.40649289574,174.00019836,1.83299389002049,15.3000001907349,2.48601734100151,Jordan
2003,5396117.0,1889.4378392036,171.04766846,1.63,14.5,5.36472671434698,Jordan
2004,5532423.0,2062.69597047352,184.51148987,3.361868214766,14.5780000686646,8.20922270699181,Jordan
2005,5678534.0,2216.9451815491,193.5009613,3.4936853461953,14.8000001907349,15.7636461414359,Jordan
2006,6075548.0,2478.29194408734,202.44813538,6.25172466656442,14.0,23.5372913427131,Jordan
2007,6473457.0,2643.1684392965,227.0579071,4.74390639021646,13.1000003814697,15.3248262609959,Jordan
2008,6632873.0,3415.96505691506,293.36459351,13.9712310012729,12.6999998092651,12.4758876139066,Jordan
2009,6780493.0,3618.89262678806,328.34686279,-0.739069743144773,12.8999996185303,9.83417871777328,Jordan
2010,6931258.0,3914.70123379723,305.29360962,4.84551875852119,12.5,6.22247566537854,Jordan
2011,7109980.0,4152.49398238806,313.93478394,4.16244162927781,12.8999996185303,5.03335872518524,Jordan
2012,7211863.0,4386.46181582146,305.71707153,4.51522956670998,12.1999998092651,4.89480688987219,Jordan
2013,7694814.0,4477.61832588262,289.82498169,4.82462314269542,12.6000003814697,5.64977168061743,Jordan
2014,8658026.0,4255.89430976972,297.8348999,2.89947905006047,11.8999996185303,5.91204889145157,Jordan
2015,9494246.0,4064.25301644124,310.6847229,-0.876851359704022,13.0799999237061,4.14720228562202,Jordan
2016,9964656.0,4003.40474862656,298.80917358,-0.778430463054117,15.2799997329712,3.89285142653608,Jordan
2017,10215381.0,4073.11640376315,337.75540161,3.32389447576096,18.1200008392334,4.87814133094146,Jordan
2018,10459865.0,4146.40729580484,335.21057129,4.46231108475485,18.2600002288818,2.20177687362919,Jordan
2019,10698683.0,4205.56365350106,334.04421997,0.761514047265513,16.7999992370605,1.62181276099581,Jordan
2020,10928721.0,4042.7693498462,,0.33329435062843,19.2099990844727,1.72078348011515,Jordan
2021,11148278.0,4103.25896599583,,1.34609377243118,18.4440002441406,1.35936361726795,Jordan
