Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,12611997.0,,,,,,Kazakhstan
1973,12789985.0,,,,,,Kazakhstan
1974,12972497.0,,,,,,Kazakhstan
1975,13158942.0,,,,,,Kazakhstan
1976,13346173.0,,,,,,Kazakhstan
1977,13543521.0,,,,,,Kazakhstan
1978,13750291.0,,,,,,Kazakhstan
1979,13957795.0,,,,,,Kazakhstan
1980,14172710.0,,,,,,Kazakhstan
1981,14397391.0,,,,,,Kazakhstan
1982,14634179.0,,,,,,Kazakhstan
1983,14885966.0,,,,,,Kazakhstan
1984,15147590.0,,,,,,Kazakhstan
1985,15413315.0,,,,,,Kazakhstan
1986,15721289.0,,,,,,Kazakhstan
1987,16072478.0,,,,,,Kazakhstan
1988,16430590.0,,,,,,Kazakhstan
1989,16249500.0,,,,,,Kazakhstan
1990,16348000.0,1647.46324337761,,,,,Kazakhstan
1991,16451711.0,1514.92309359658,,,0.899999976158142,,Kazakhstan
1992,16439095.0,1515.73765903177,,,1.0,0.401326699834163,Kazakhstan
1993,16380672.0,1429.07817700902,,,1.11000001430511,5.43118386573814,Kazakhstan
1994,16145766.0,1316.18362895297,,1877.37239517572,7.53999996185303,3.10435475765865,Kazakhstan
1995,15816243.0,1288.18851938364,,176.15529894237,10.9799995422363,4.73243190920833,Kazakhstan
1996,15578227.0,1350.30567027224,,39.182542365411,12.960000038147,5.40518229316948,Kazakhstan
1997,15334405.0,1445.50323686938,,17.4080410607358,13.0100002288818,5.96140056843242,Kazakhstan
1998,15071640.0,1468.66929119877,,7.14632665452332,13.1300001144409,5.20165685252127,Kazakhstan
1999,14928374.0,1130.11784403033,,8.29602765342568,13.460000038147,9.4067735115311,Kazakhstan
2000,14883626.0,1229.00124667231,50.99633026,13.1808905865731,12.75,7.49246435921402,Kazakhstan
2001,14858335.0,1490.92708987166,51.56954956,8.35413777161342,10.4300003051758,12.7154874680936,Kazakhstan
2002,14858948.0,1658.03078544636,59.46535873,5.83692452105645,9.32999992370605,10.5066923682737,Kazakhstan
2003,14909019.0,2068.12397936842,76.02937317,6.43821810118939,8.77999973297119,8.05369856338636,Kazakhstan
2004,15012984.0,2874.28848272999,112.70569611,6.88205438981899,8.39999961853027,13.0128589220718,Kazakhstan
2005,15147029.0,3771.27895733845,144.70140076,7.57999929125766,8.13000011444092,4.45711144385218,Kazakhstan
2006,15308085.0,5291.57530451457,177.00895691,8.72169386091735,7.78999996185303,9.39605364941883,Kazakhstan
2007,15484192.0,6771.41479681885,180.50115967,10.8468362075558,7.26000022888184,11.4190328203963,Kazakhstan
2008,15776938.0,8458.01715432982,256.54428101,17.139899777207,6.63000011444092,12.6039324591596,Kazakhstan
2009,16092822.0,7165.22317483703,251.49954224,7.31607858288583,6.55000019073486,12.380586215739,Kazakhstan
2010,16321872.0,9070.48825285747,249.2689209,7.40046356742116,5.76999998092651,5.03630628288047,Kazakhstan
2011,16557202.0,11634.0012021103,303.98086548,8.42488761919795,5.3899998664856,7.14350878983557,Kazakhstan
2012,16792090.0,12386.6992652963,377.12728882,5.09791484975817,5.28999996185303,6.56164821145973,Kazakhstan
2013,17035551.0,13890.6309562926,370.09402466,5.84640917320459,5.19999980926514,4.2306980098169,Kazakhstan
2014,17288285.0,12807.2606866152,380.66009521,6.70657829092725,5.05999994277954,3.30063172666218,Kazakhstan
2015,17542806.0,10510.7718884149,319.04992676,6.6657761154154,4.92999982833862,3.56737349139873,Kazakhstan
2016,17794055.0,7714.84184376024,263.48373413,14.5460237946149,4.96000003814697,12.5466202801439,Kazakhstan
2017,18037776.0,9247.58133129626,281.61776733,7.44000437325754,4.90000009536743,2.8520571787889,Kazakhstan
2018,18276452.0,9812.62637077396,275.85461426,6.01913096570673,4.84999990463257,0.196995407987547,Kazakhstan
2019,18513673.0,9812.5958082732,272.96524048,5.24547679608388,4.80000019073486,2.05367643388584,Kazakhstan
2020,18755666.0,9121.63713797145,,6.74900183815967,4.8899998664856,4.21992241047706,Kazakhstan
2021,19000988.0,10373.7897924367,,,5.16200017929077,2.3257200457187,Kazakhstan
