Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,12322903.0,171.005091688489,,5.83164474311008,,0.298963707676149,Kenya
1973,12760405.0,196.62373235076,,9.28119422332106,,0.687923898440169,Kenya
1974,13203949.0,224.928328664926,,17.8099480331818,,0.788567540303573,Kenya
1975,13651908.0,238.746476739249,,19.1201840136051,,0.526447731258578,Kenya
1976,14102268.0,246.381815466287,,11.4490304932756,,1.33461750138121,Kenya
1977,14577346.0,308.312559455685,,14.8209644818935,,1.25813215764035,Kenya
1978,15087423.0,351.533517853544,,16.9317824582841,,0.648865948195258,Kenya
1979,15620613.0,399.113080598752,,7.97935261848787,,1.34752381770406,Kenya
1980,16187124.0,448.832994151569,,13.8581814562484,,1.08699680626983,Kenya
1981,16785962.0,408.346656206065,,11.6030534351143,,0.20639834881359,Kenya
1982,17411491.0,369.387053500938,,20.6667146662827,,0.202141561720911,Kenya
1983,18069461.0,330.900764764667,,11.3977827368523,,0.39702382897065,Kenya
1984,18753176.0,330.154053404802,,10.2840982131381,,0.173683868461384,Kenya
1985,19452161.0,315.390888350021,,13.0065664218827,,0.470183986777735,Kenya
1986,20160879.0,359.068010732829,,2.53427598892887,,0.452068019621657,Kenya
1987,20882094.0,381.70599800027,,8.63767318980086,,0.494068886021912,Kenya
1988,21626122.0,386.355948566717,,12.2649630481581,,0.00472067814834501,Kenya
1989,22387803.0,369.983363184273,,13.7893172763883,,0.750803531147859,Kenya
1990,23162269.0,370.100147042765,,17.78181442992,,0.665873828831545,Kenya
1991,23918235.0,340.806042093546,,20.0844955754632,3.27600002288818,0.231013007896898,Kenya
1992,24655723.0,332.950251417753,,27.3323644475784,3.28800010681152,0.0775128885362039,Kenya
1993,25391830.0,226.521283225889,,45.9788813036218,3.25600004196167,2.53235113357215,Kenya
1994,26133744.0,273.521672814483,,28.8143894306732,3.21000003814697,0.103976796940169,Kenya
1995,26878347.0,336.565565582905,,1.55432816055007,3.1710000038147,0.467474289317279,Kenya
1996,27615736.0,436.195451616424,,8.86408741577518,3.15599989891052,0.902160125818836,Kenya
1997,28364264.0,462.40486753213,,11.3618450505784,3.18400001525879,0.473451364916978,Kenya
1998,29137373.0,483.708632337355,,6.72243650753925,3.13100004196167,0.188365603434476,Kenya
1999,29965129.0,430.367363902636,,5.74200109520481,3.125,0.402864463850226,Kenya
2000,30851606.0,411.821579175021,20.51720238,9.98002515350982,3.12800002098084,0.872895972152775,Kenya
2001,31800343.0,408.36060874809,21.25755501,5.73859814341468,3.0699999332428,0.0408333582871575,Kenya
2002,32779823.0,401.092584018042,21.68992996,1.96130821739159,3.08999991416931,0.210062252852969,Kenya
2003,33767122.0,441.391411736172,25.03597069,9.81569062979655,3.04200005531311,0.548412532071826,Kenya
2004,34791836.0,462.61821577443,27.09413719,11.6240355442427,2.99699997901917,0.286194263505208,Kenya
2005,35843010.0,522.776902520039,30.47352028,10.3127783574682,2.96799993515015,0.113202055449979,Kenya
2006,36925253.0,699.400077795172,40.28915024,14.4537342081708,2.94199991226196,0.196219536813607,Kenya
2007,38036793.0,840.191631882336,49.51648712,9.75888023027526,2.91899991035461,2.28124317373484,Kenya
2008,39186895.0,915.998915654065,54.57352448,26.2398166445063,2.9760000705719,0.266291327300955,Kenya
2009,40364444.0,1049.12179424341,54.56043243,9.23412592394648,2.92000007629395,0.274534230856511,Kenya
2010,41517895.0,1093.6389611451,58.21165848,3.9613888911539,2.84599995613098,0.392164524970915,Kenya
2011,42635144.0,1099.31509362919,56.46788025,14.0224939638475,2.85899996757507,3.09471207919638,Kenya
2012,43725806.0,1289.78082201489,63.82013702,9.37776748155123,2.84400010108948,2.44725935198626,Kenya
2013,44792368.0,1376.82886892748,66.80593872,5.71749357037732,2.83100008964539,1.81417081489596,Kenya
2014,45831863.0,1489.91911052082,71.83386993,6.87815499275946,2.7960000038147,1.2022089166437,Kenya
2015,46851488.0,1496.65285612239,69.77667999,6.58217440250398,2.7739999294281,0.883800359405497,Kenya
2016,47894670.0,1562.07614156101,72.51428223,6.29715752456274,2.75999999046326,0.627591458025454,Kenya
2017,48948137.0,1675.97391639619,65.11084747,8.0057227913467,3.51999998092651,1.64085110521414,Kenya
2018,49953304.0,1845.78294001398,73.54042816,4.68981976129857,4.24499988555908,0.832686431508354,Kenya
2019,50951450.0,1970.10514317888,83.41162872,5.23585999425422,5.01000022888184,0.468162589298899,Kenya
2020,51985780.0,1936.42458891104,,5.40481467184518,5.61600017547607,0.423482497895464,Kenya
2021,53005614.0,2081.79985458438,,6.11090916378165,5.64400005340576,0.419901403554731,Kenya
