Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,59606.0,317.694979466963,,,,,Kiribati
1973,60598.0,523.295450770341,,,,,Kiribati
1974,60953.0,1404.97062281123,,,,,Kiribati
1975,60675.0,907.817338141786,,,,,Kiribati
1976,60310.0,681.6384927822,,,,,Kiribati
1977,59894.0,646.943924878655,,,,,Kiribati
1978,59465.0,760.279598500386,,,,,Kiribati
1979,59775.0,713.009877659002,,,,0.0,Kiribati
1980,60813.0,692.806355309679,,,,0.0,Kiribati
1981,61875.0,705.74743063826,,,,0.0,Kiribati
1982,62977.0,644.236247081757,,,,0.0,Kiribati
1983,64121.0,590.100557349976,,,,-2.38092020814244,Kiribati
1984,65338.0,644.705048850443,,,,0.0,Kiribati
1985,66708.0,481.578647301945,,,,0.682611079475559,Kiribati
1986,68266.0,460.216100247052,,,,0.338303714317159,Kiribati
1987,69946.0,510.52646918977,,,,0.613734084707838,Kiribati
1988,71680.0,621.299236547498,,,,0.577189224420198,Kiribati
1989,73436.0,603.011835649262,,,,0.407143930325233,Kiribati
1990,75124.0,571.479892401018,,,,0.698205435049236,Kiribati
1991,76612.0,620.20557199681,,,,0.90003096383204,Kiribati
1992,77901.0,612.802856788116,,,,0.852277438628541,Kiribati
1993,79093.0,593.220950564561,,,,-1.64062433476984,Kiribati
1994,80264.0,683.152818975638,,,,0.786694945046646,Kiribati
1995,81481.0,691.42534049673,,,,0.688142591425,Kiribati
1996,82832.0,803.015462502972,,,,0.809436983570647,Kiribati
1997,84308.0,801.080319665063,,,,0.758253013299275,Kiribati
1998,85805.0,761.433961429226,,,,0.673064238104192,Kiribati
1999,87289.0,790.847163611866,,,,0.654226711630841,Kiribati
2000,88826.0,757.145142154679,68.88991547,,,1.07325719462235,Kiribati
2001,90531.0,697.012872606271,90.62192535,,,-0.433392672966721,Kiribati
2002,92400.0,781.346944554594,98.50437927,,,0.345983883472602,Kiribati
2003,94302.0,956.839269581259,108.27010345,,,0.743372632114132,Kiribati
2004,96224.0,1063.84102999752,140.29519653,,,1.90849309897289,Kiribati
2005,98164.0,1142.3122962953,139.9230957,,,2.32402078768216,Kiribati
2006,100083.0,1101.43520636908,134.90600586,,,0.51565580584508,Kiribati
2007,101998.0,1300.72886674622,156.48007202,3.5925213126642,,0.869095908530092,Kiribati
2008,103966.0,1356.62245638271,200.83670044,13.6653995252441,,-0.898791691030095,Kiribati
2009,105996.0,1249.29151374786,176.545578,9.81643884508668,,3.77250613690116,Kiribati
2010,107995.0,1438.02733007685,139.495224,-3.89955040651655,,-4.25143657879383,Kiribati
2011,109871.0,1644.34479632542,148.80270386,1.49740979875968,,-0.1930290987271,Kiribati
2012,111618.0,1698.92088345979,154.00323486,-3.04586292775568,,-1.25820910061669,Kiribati
2013,113311.0,1628.71020469547,162.52476501,-1.48805908468102,,0.454150312524033,Kiribati
2014,114985.0,1546.83017691485,162.96076965,2.10398520925043,,1.4798779234048,Kiribati
2015,116707.0,1459.13302105094,123.3463974,0.572015743634274,,-0.481425426123208,Kiribati
2016,118513.0,1506.24667899101,147.77731323,1.91731090233375,,1.0122490688076,Kiribati
2017,120362.0,1563.55045683718,175.06552124,0.355520888546853,,0.417019322992006,Kiribati
2018,122261.0,1605.01364964695,202.2019043,0.564030491493466,,-0.583173505916005,Kiribati
2019,124241.0,1432.17898537689,172.30574036,-1.81307995302948,,-0.313754689222595,Kiribati
2020,126463.0,1430.55157354026,,,,1.45048150856344,Kiribati
2021,128874.0,1606.46251377314,,,,0.498174049540569,Kiribati
