Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,33505406.0,324.196276804765,,11.6889866806844,,4.56624036366193,"Korea, Rep."
1973,34103149.0,406.898830134849,,3.2210290469233,,0.0288256472418722,"Korea, Rep."
1974,34692266.0,563.355957816833,,24.3041995402396,,0.0102332700822264,"Korea, Rep."
1975,35280725.0,617.456061933567,,25.2492564056733,,0.0275427747638378,"Korea, Rep."
1976,35848523.0,834.134207951691,,15.3273205213193,,0.270880548338953,"Korea, Rep."
1977,36411795.0,1055.8800411599,,10.0966653313388,,0.244495676613948,"Korea, Rep."
1978,36969185.0,1405.82237444554,,14.4602850195024,,0.171245701564332,"Korea, Rep."
1979,37534236.0,1783.62231287847,,18.3234963421791,,0.256920033454415,"Korea, Rep."
1980,38123775.0,1715.42945990136,,28.6976086362017,,0.0720198388424447,"Korea, Rep."
1981,38723248.0,1883.4512785111,,21.3516402540001,,0.212659912059239,"Korea, Rep."
1982,39326352.0,1992.52822470637,,7.19084664006864,,0.154290134167502,"Korea, Rep."
1983,39910403.0,2198.93447182242,,3.42061419498925,,0.210003694177888,"Korea, Rep."
1984,40405956.0,2413.26392539765,,2.27395640001855,,0.229001599413676,"Korea, Rep."
1985,40805744.0,2482.39995573606,,2.45910879215278,,0.350753612005941,"Korea, Rep."
1986,41213674.0,2834.90384756925,,2.74998096063353,,0.584148130130562,"Korea, Rep."
1987,41621690.0,3554.59520559057,,3.04966077087427,,0.566819779815247,"Korea, Rep."
1988,42031247.0,4748.62960780671,,7.14609773721606,,0.647875475616581,"Korea, Rep."
1989,42449038.0,5817.02918132136,,5.70016544561398,,0.562756746911071,"Korea, Rep."
1990,42869283.0,6610.0365083067,,8.57327225728686,,0.368990764683415,"Korea, Rep."
1991,43295704.0,7636.98242937015,,9.33279048161486,2.41000008583069,0.440104783424358,"Korea, Rep."
1992,43747962.0,8126.67038993422,,6.21328146355184,2.50999999046326,0.281723998777837,"Korea, Rep."
1993,44194628.0,8884.92831945455,,4.80099660215357,2.88000011444092,0.211961255632869,"Korea, Rep."
1994,44641540.0,10385.3361681219,,6.26585950039683,2.48000001907349,0.245159047113318,"Korea, Rep."
1995,45092991.0,12564.7781344586,,4.48074108557248,2.05999994277954,0.438964480783031,"Korea, Rep."
1996,45524681.0,13403.049586225,,4.92454354292748,2.04999995231628,0.456037173406426,"Korea, Rep."
1997,45953580.0,12398.4800276705,,4.43893184574636,2.60999989509583,0.579389850550312,"Korea, Rep."
1998,46286503.0,8281.69998157684,,7.51358008079306,6.96000003814697,1.56240979138159,"Korea, Rep."
1999,46616677.0,10672.4179334373,,0.812957254446379,6.34000015258789,2.15598533881813,"Korea, Rep."
2000,47008111.0,12256.9935679503,474.23623657,2.25916580080153,4.05999994277954,1.99754203031639,"Korea, Rep."
2001,47370164.0,11561.2483689073,508.36132813,4.06657587897791,3.70000004768372,1.19094348034493,"Korea, Rep."
2002,47644736.0,13165.0657360554,544.03717041,2.76226210296605,3.04999995231628,0.872879107930218,"Korea, Rep."
2003,47892330.0,14672.8574703505,644.13214111,3.51487451459936,3.34999990463257,0.997556155320559,"Korea, Rep."
2004,48082519.0,16496.1200942502,717.29193115,3.59066298882577,3.42000007629395,1.67609920487799,"Korea, Rep."
2005,48184561.0,19402.5026259549,886.28741455,2.75379162735036,3.48000001907349,1.45932018032106,"Korea, Rep."
2006,48438292.0,21743.4774514254,1064.65270996,2.24234028518923,3.25,0.869896781374133,"Korea, Rep."
2007,48683638.0,24086.4104391677,1223.01843262,2.53457382137933,3.00999999046326,0.752754047671926,"Korea, Rep."
2008,49054708.0,21350.427979823,1151.71606445,4.6738965553341,2.96000003814697,1.06818326165412,"Korea, Rep."
2009,49307835.0,19143.8516053025,1105.79052734,2.75649654493925,3.35999989509583,0.95576859415752,"Korea, Rep."
2010,49554112.0,23087.2256438476,1365.9128418,2.93928652655687,3.3199999332428,0.830143714297898,"Korea, Rep."
2011,49936638.0,25096.2638838239,1512.53271484,4.02596500436097,2.99000000953674,0.779829260336608,"Korea, Rep."
2012,50199853.0,25466.7605170594,1565.65600586,2.18707104433313,2.80999994277954,0.742779625917828,"Korea, Rep."
2013,50428893.0,27182.7343101936,1700.95288086,1.30134754547411,2.75,0.93132803501368,"Korea, Rep."
2014,50746659.0,29249.5752209742,1899.13891602,1.27477446401322,3.07999992370605,0.624771688262979,"Korea, Rep."
2015,51014947.0,28732.2310762599,1919.03735352,0.706331772455739,3.54999995231628,0.279995559508797,"Korea, Rep."
2016,51217803.0,29288.8704389833,2033.85119629,0.97168573991219,3.65000009536743,0.806893302496192,"Korea, Rep."
2017,51361911.0,31616.8434004683,2257.51757813,1.94433230786365,3.65000009536743,1.10307799056185,"Korea, Rep."
2018,51585058.0,33436.9230646064,2543.59643555,1.47583935002643,3.8199999332428,0.706300893808141,"Korea, Rep."
2019,51764822.0,31902.4169048194,2624.53320313,0.383000303608079,3.75,0.58339386057331,"Korea, Rep."
2020,51836239.0,31721.2989141857,,0.537288023411772,3.9300000667572,0.533043337613518,"Korea, Rep."
2021,51744876.0,34997.7816427848,,2.49833333333334,3.64000010490417,0.92877470212313,"Korea, Rep."
