Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1278000.0,,,,,,Kosovo
1973,1308000.0,,,,,,Kosovo
1974,1339000.0,,,,,,Kosovo
1975,1369000.0,,,,,,Kosovo
1976,1400000.0,,,,,,Kosovo
1977,1430000.0,,,,,,Kosovo
1978,1460000.0,,,,,,Kosovo
1979,1491000.0,,,,,,Kosovo
1980,1521000.0,,,,,,Kosovo
1981,1552000.0,,,,,,Kosovo
1982,1582000.0,,,,,,Kosovo
1983,1614000.0,,,,,,Kosovo
1984,1647000.0,,,,,,Kosovo
1985,1682000.0,,,,,,Kosovo
1986,1717000.0,,,,,,Kosovo
1987,1753000.0,,,,,,Kosovo
1988,1791000.0,,,,,,Kosovo
1989,1827000.0,,,,,,Kosovo
1990,1862000.0,,,,,,Kosovo
1991,1898000.0,,,,,,Kosovo
1992,1932000.0,,,,,,Kosovo
1993,1965000.0,,,,,,Kosovo
1994,1997000.0,,,,,,Kosovo
1995,2029000.0,,,,,,Kosovo
1996,2059000.0,,,,,,Kosovo
1997,2086000.0,,,,,,Kosovo
1998,1966000.0,,,,,,Kosovo
1999,1762000.0,,,,,,Kosovo
2000,1700000.0,,,,,,Kosovo
2001,1701154.0,,,,,,Kosovo
2002,1702310.0,,,,,,Kosovo
2003,1703466.0,,,-1.08481262327414,,,Kosovo
2004,1704622.0,,,-1.06472696605527,,,Kosovo
2005,1705780.0,,,-1.38518913159302,,,Kosovo
2006,1719536.0,,,0.621646938601723,,,Kosovo
2007,1733404.0,,,4.35849695328368,,,Kosovo
2008,1747383.0,2965.44991493706,,9.35041764658177,,10.4011336544547,Kosovo
2009,1761474.0,2847.55533886408,,-2.41026401661228,,8.03740783578856,Kosovo
2010,1775680.0,3009.55933383867,,3.48050763735848,,9.17004946069375,Kosovo
2011,1791000.0,3540.89178881291,,7.33641771315266,,8.44132239210863,Kosovo
2012,1807106.0,3410.85977956608,,2.47673782156539,,4.75502939946815,Kosovo
2013,1818117.0,3704.78422059665,,1.76732428354889,,5.51524738334345,Kosovo
2014,1812771.0,3902.67601270818,,0.4289578083241,,2.82541406164,Kosovo
2015,1788196.0,3520.7664492744,,-0.536929392740657,,5.45362771396735,Kosovo
2016,1777557.0,3759.56024604446,,0.273169431045511,,3.64796125503785,Kosovo
2017,1791003.0,4009.38098680368,,1.48823430592309,,3.9944668815754,Kosovo
2018,1797085.0,4384.0488917319,,1.05379773654998,,4.04318903060896,Kosovo
2019,1788878.0,4416.10835754636,,2.67599202639892,,3.60868246447811,Kosovo
2020,1790133.0,4310.81118337317,,0.198227922994858,,5.11376270028307,Kosovo
2021,1786038.0,5269.78390114389,,3.35369139207989,,5.32220694702706,Kosovo
