Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,913785.0,4871.16879018599,,,,0.000224658469945355,Kuwait
1973,970527.0,5572.53327177027,,8.26666666600004,,0.00554703572096503,Kuwait
1974,1030426.0,12620.7748607048,,12.9926108375187,,0.000922738025773355,Kuwait
1975,1095998.0,10970.9491037959,,8.39237057218448,,0.00207915107315311,Kuwait
1976,1168791.0,11235.2584394031,,5.23504273532374,,-0.00388374091725916,Kuwait
1977,1247225.0,11333.7445835967,,9.88951925933104,,0.00940878213391301,Kuwait
1978,1329074.0,11662.9388284255,,8.68974512274839,,0.00490293834861525,Kuwait
1979,1412266.0,17522.2086610476,,7.04999999925009,,0.00517254905618729,Kuwait
1980,1493870.0,19170.7113065026,,6.9282266856319,,0.00289819137325432,Kuwait
1981,1573026.0,15928.9625005738,,7.37478159583809,,0.00482905308399745,Kuwait
1982,1652921.0,13054.4519490399,,7.77679842690851,,-0.000417091911758669,Kuwait
1983,1736028.0,12021.3696468705,,4.71816809275154,,0.000191667868974332,Kuwait
1984,1813986.0,11961.1164983304,,1.17746005046669,,-0.0277914790840707,Kuwait
1985,1888975.0,11351.457632235,,1.49032181427877,,0.0338111672356642,Kuwait
1986,1968093.0,9096.96934700182,,0.953606740192035,,-0.081156491436291,Kuwait
1987,2048477.0,10918.2258241227,,0.654844691701642,,-0.0282575115305138,Kuwait
1988,2129153.0,9718.64058611881,,1.46813288041915,,0.0788692593166573,Kuwait
1989,2210013.0,11000.8935545576,,3.34203359055794,,0.0150542212531543,Kuwait
1990,1674938.0,11002.0656154304,,9.833635315434,,0.0303889050949653,Kuwait
1991,1339500.0,8218.58393148361,,9.05818836232757,0.890999972820282,0.00726691824611535,Kuwait
1992,1620633.0,12253.5794437877,,-0.5454712137882,0.814000010490417,0.177757140528668,Kuwait
1993,1653645.0,14477.9510661167,,0.382541365165906,0.800000011920929,0.0553522464777548,Kuwait
1994,1641106.0,15141.3033883149,,2.53443526170791,0.699999988079071,6.11378094094887,Kuwait
1995,1655222.0,16427.617496263,,2.68672756582486,0.699000000953674,0.0246451177166925,Kuwait
1996,1703318.0,18489.3953878723,,3.55398569684286,0.699999988079071,1.10293692413603,Kuwait
1997,1761468.0,17232.8387267722,,0.682191434707608,0.699999988079071,0.0651594391294346,Kuwait
1998,1819544.0,14256.2975283485,,0.129658287674047,0.699999988079071,0.227693923561105,Kuwait
1999,1877427.0,16045.2844223019,,2.99081035923165,0.699999988079071,0.239909048739988,Kuwait
2000,1934901.0,19490.8381578713,406.41134644,1.81294613887087,0.800000011920929,0.0432209120217044,Kuwait
2001,1991674.0,17516.6780441638,528.69750977,1.30000000000001,0.800000011920929,-0.319645275375854,Kuwait
2002,2047364.0,18627.6330174539,557.56756592,0.888450148074899,1.10000002384186,0.00949049540051267,Kuwait
2003,2101506.0,22782.0001784978,611.35742188,0.961350293542095,1.29999995231628,-0.140176256047602,Kuwait
2004,2153481.0,27601.4000590722,636.68395996,1.24856443679893,1.70000004768372,0.0399618649631494,Kuwait
2005,2235403.0,36144.9949458716,716.55084229,4.14297583631021,1.49300003051758,0.289490192089246,Kuwait
2006,2363409.0,42967.1427041161,779.25830078,3.05701339166724,1.29999995231628,0.119455314954619,Kuwait
2007,2506769.0,45732.0520394588,882.0713501,5.48494983277594,1.5,0.0972923861060201,Kuwait
2008,2650930.0,55601.2755092418,1067.61730957,10.5827097865145,1.75,-0.00403795871915192,Kuwait
2009,2795550.0,37904.2295316732,1016.609375,4.60959548447786,1.63999998569489,1.0509199173198,Kuwait
2010,2943356.0,39213.5371529753,1033.38378906,4.49640287769787,1.82000005245209,1.13033640929465,Kuwait
2011,3143825.0,49006.5814547658,1134.39294434,4.8394034987095,2.03299999237061,2.11534199177362,Kuwait
2012,3394663.0,51277.6621064846,1212.57043457,3.25514600287219,2.31800007820129,1.65024567913287,Kuwait
2013,3646518.0,47760.9441264683,1228.76708984,2.68229684085038,2.62199997901917,0.823163206167192,Kuwait
2014,3761584.0,43234.8214233111,1285.00769043,2.90892672858618,2.90000009536743,0.298716373584249,Kuwait
2015,3908743.0,29310.522105363,1259.18457031,3.27170166092134,2.20000004768372,0.24845451408201,Kuwait
2016,4048085.0,27029.9977808519,1308.10620117,3.19839776658371,2.16000008583069,0.266886524055014,Kuwait
2017,4124904.0,29263.089648236,1384.57824707,2.17183298510008,2.19799995422363,0.0936247750600921,Kuwait
2018,4317185.0,32007.5235352632,1733.80908203,0.543133148199589,2.15799999237061,-0.0154705438206089,Kuwait
2019,4441100.0,30667.3482202553,1758.67419434,1.09184802655847,2.15599989891052,0.37858284492362,Kuwait
2020,4360444.0,24300.32943621,,2.1017295482741,3.33100008964539,-0.526665094324934,Kuwait
2021,4250114.0,,,3.42362947609175,2.81800007820129,,Kuwait
