Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3088200.0,,,,,,Kyrgyz Republic
1973,3153800.0,,,,,,Kyrgyz Republic
1974,3223900.0,,,,,,Kyrgyz Republic
1975,3292400.0,,,,,,Kyrgyz Republic
1976,3358700.0,,,,,,Kyrgyz Republic
1977,3423900.0,,,,,,Kyrgyz Republic
1978,3487100.0,,,,,,Kyrgyz Republic
1979,3552000.0,,,,,,Kyrgyz Republic
1980,3617400.0,,,,,,Kyrgyz Republic
1981,3685800.0,,,,,,Kyrgyz Republic
1982,3759300.0,,,,,,Kyrgyz Republic
1983,3838300.0,,,,,,Kyrgyz Republic
1984,3916400.0,,,,,,Kyrgyz Republic
1985,3990300.0,,,,,,Kyrgyz Republic
1986,4066500.0,,,,,,Kyrgyz Republic
1987,4144600.0,,,,,,Kyrgyz Republic
1988,4218400.0,,,,,,Kyrgyz Republic
1989,4307500.0,,,,,,Kyrgyz Republic
1990,4391200.0,609.172891237019,,,,,Kyrgyz Republic
1991,4463600.0,575.643974470034,,,1.0,,Kyrgyz Republic
1992,4515400.0,513.035943659476,,,1.10000002384186,,Kyrgyz Republic
1993,4516700.0,449.065790188734,,,1.17799997329712,0.493024819317609,Kyrgyz Republic
1994,4515100.0,372.307810016831,,,1.23599994182587,2.27113867811502,Kyrgyz Republic
1995,4560400.0,364.226497350785,,,1.42700004577637,5.78500473827973,Kyrgyz Republic
1996,4628400.0,394.860121460514,,31.9473377218566,1.62300002574921,2.58474284700824,Kyrgyz Republic
1997,4696400.0,376.4296132611,,23.4354278497005,1.74399995803833,4.74131484698084,Kyrgyz Republic
1998,4769000.0,345.138131648451,,10.4573825846721,1.76400005817413,6.63614159249767,Kyrgyz Republic
1999,4840400.0,258.049228785755,,37.0309258369344,1.87100005149841,3.5556936517315,Kyrgyz Republic
2000,4898400.0,279.619569260939,12.29036808,18.7007342838023,1.98300004005432,-0.172311073962181,Kyrgyz Republic
2001,4945100.0,308.409611591149,13.16161728,6.91967989423041,2.07500004768372,0.328285301673471,Kyrgyz Republic
2002,4990700.0,321.727033227846,14.77255917,2.13420986310243,2.10999989509583,0.290348679041994,Kyrgyz Republic
2003,5043300.0,380.506432394744,22.32097054,2.97461295184354,2.28200006484985,2.37334214616148,Kyrgyz Republic
2004,5104700.0,433.234976590867,27.23155212,4.11065084723383,2.375,7.93380357994973,Kyrgyz Republic
2005,5162600.0,476.552129968975,36.11393356,4.3386739184431,2.38100004196167,1.73012020930784,Kyrgyz Republic
2006,5218400.0,543.110702403072,45.97068405,5.5521233316254,2.51200008392334,6.422443742837,Kyrgyz Republic
2007,5268400.0,721.768690838857,50.84462738,10.2301032660485,2.67700004577637,5.46787270122411,Kyrgyz Republic
2008,5318700.0,966.393627185372,63.82300568,24.5201024234101,2.76999998092651,7.33453790625908,Kyrgyz Republic
2009,5383300.0,871.224389337854,60.6509285,6.83656248105363,2.78800010681152,4.03784405618844,Kyrgyz Republic
2010,5447900.0,880.037775119109,61.45378494,7.96772225579691,2.83400011062622,9.860930706632,Kyrgyz Republic
2011,5514600.0,1123.8831680627,79.82953644,16.6363262731496,3.0220000743866,11.0646446941929,Kyrgyz Republic
2012,5607200.0,1177.97473487848,99.98524475,2.76844236540948,3.02699995040894,3.9503705088844,Kyrgyz Republic
2013,5719600.0,1282.43716202467,104.78458405,6.61375202358086,3.2960000038147,8.34375729785238,Kyrgyz Republic
2014,5835500.0,1279.76978265986,94.01564789,7.53424729775882,3.28299999237061,4.59301372091172,Kyrgyz Republic
2015,5956900.0,1121.08283510739,80.11972809,6.50331838993381,3.37800002098084,17.1312286326678,Kyrgyz Republic
2016,6079500.0,1120.66651300848,71.92367554,0.388838296895887,3.48300004005432,9.0886882786326,Kyrgyz Republic
2017,6198200.0,1242.76964282023,76.98123169,3.1753098637994,3.58899998664856,-1.3918435347293,Kyrgyz Republic
2018,6322800.0,1308.14016549619,65.73706055,1.54266145238431,3.67000007629395,1.74369127894699,Kyrgyz Republic
2019,6456200.0,1374.03210467421,62.14477539,1.13362257718798,4.25,4.55263119082343,Kyrgyz Republic
2020,6579900.0,1182.52170043018,,6.32542296338083,4.63000011444092,-5.16032739132595,Kyrgyz Republic
2021,6691800.0,1276.7003650159,,11.9050398185147,4.76599979400635,2.897092130857,Kyrgyz Republic
