Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2808290.0,,,,,,Lao PDR
1973,2877561.0,,,,,,Lao PDR
1974,2946882.0,,,,,,Lao PDR
1975,3012720.0,,,,,,Lao PDR
1976,3072017.0,,,,,,Lao PDR
1977,3125742.0,,,,,,Lao PDR
1978,3177945.0,,,,,,Lao PDR
1979,3233700.0,,,,,,Lao PDR
1980,3297519.0,,,,,,Lao PDR
1981,3370993.0,,,,,,Lao PDR
1982,3453691.0,,,,,,Lao PDR
1983,3543861.0,,,,,,Lao PDR
1984,3639956.0,482.737375318352,,,,0.0,Lao PDR
1985,3741604.0,632.527283901652,,,,-0.0684507057036303,Lao PDR
1986,3848390.0,461.710492193523,,,,0.0,Lao PDR
1987,3959697.0,274.584924981984,,,,0.0,Lao PDR
1988,4074961.0,146.985767298847,,,,0.333911406716575,Lao PDR
1989,4193532.0,170.273368867531,,61.3325965106187,,0.560187354923405,Lao PDR
1990,4314443.0,200.619142763944,,35.642982971227,,0.693192961442502,Lao PDR
1991,4437225.0,231.696155212063,,13.4415584415586,2.61100006103516,0.671148791332591,Lao PDR
1992,4561106.0,247.266111468387,,9.86452966991027,2.57599997520447,0.691607729252085,Lao PDR
1993,4685296.0,283.386290782842,,6.26722241519029,2.58999991416931,2.25193223845997,Lao PDR
1994,4807950.0,321.052911348254,,6.78448078620232,2.50600004196167,3.83517469899485,Lao PDR
1995,4927432.0,357.901703065539,,19.5939189878584,2.59999990463257,5.39257398643831,Lao PDR
1996,5043914.0,371.471748000928,,13.0244156963462,2.48499989509583,8.52870931249719,Lao PDR
1997,5150538.0,339.190169518421,,27.5088624491449,2.36700010299683,5.20889423950572,Lao PDR
1998,5246922.0,243.986443617621,,90.9807345622879,2.38199996948242,3.58543935160818,Lao PDR
1999,5340056.0,272.3624326209,,125.27212839928,2.10199999809265,5.42480319754698,Lao PDR
2000,5430853.0,318.770922809904,14.38795185,25.0846414281315,2.03999996185303,1.95760389975157,Lao PDR
2001,5519707.0,320.419011071869,14.76590061,7.81180794783469,1.91299998760223,1.35157901983043,Lao PDR
2002,5606101.0,313.618440530675,13.1817894,10.6313446323333,1.77799999713898,0.253176893420544,Lao PDR
2003,5689065.0,355.651483557167,17.97390747,15.4893529233525,1.64199995994568,0.962969691354659,Lao PDR
2004,5768167.0,410.251318986101,16.57514763,10.4622667314208,1.50300002098083,0.714895049056363,Lao PDR
2005,5852970.0,467.379591259864,17.68591881,7.16541759946634,1.35000002384186,1.0133213275204,Lao PDR
2006,5946593.0,581.01024361377,19.61174774,6.54559439052785,1.19099998474121,5.42138744149516,Lao PDR
2007,6041348.0,699.04137607102,25.21520042,4.66197269469704,1.09200000762939,7.66062844066563,Lao PDR
2008,6135861.0,887.639734943543,27.20223045,7.62880887577521,0.964999973773956,4.1820023647529,Lao PDR
2009,6229930.0,936.790321410614,36.2555275,0.14118767498035,0.84799998998642,5.45905875004006,Lao PDR
2010,6323418.0,1127.83523605646,34.99440384,5.98254521550086,0.709999978542328,3.9093487465882,Lao PDR
2011,6416327.0,1363.72529043154,27.4563961,7.56898856109973,1.06900000572205,3.43702646524932,Lao PDR
2012,6508803.0,1566.00974499584,32.84053421,4.25512677832094,1.42200005054474,6.06067448864314,Lao PDR
2013,6600742.0,1815.44023554818,43.96371841,6.3714271778294,1.77499997615814,5.68624629061726,Lao PDR
2014,6691454.0,1984.50867013598,45.96818924,4.12924306873775,2.14599990844727,6.53384958563579,Lao PDR
2015,6787419.0,2125.45905698314,52.50928497,1.27735427102986,2.52099990844727,7.47075722325615,Lao PDR
2016,6891363.0,2309.0490761946,54.87627792,1.59691227583204,2.89599990844727,5.87774670849733,Lao PDR
2017,6997917.0,2439.4633552251,61.99768066,0.82547860756813,3.26999998092651,9.91778299899851,Lao PDR
2018,7105006.0,2553.36186646266,57.70953369,2.04039266890198,3.26600003242493,7.48564437536693,Lao PDR
2019,7212053.0,2598.50552320723,68.22131348,3.32255881256934,3.27300000190735,4.03149181360237,Lao PDR
2020,7319399.0,2593.35509719847,,5.10407262959903,3.57599997520447,5.09807315563636,Lao PDR
2021,7425057.0,2535.6234315211,,3.75562036658905,3.63700008392334,5.69344696603116,Lao PDR
