Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1397610263.0,323.42455530855,,,,,Late-demographic dividend
1973,1426541449.0,408.369025011419,,,,,Late-demographic dividend
1974,1454048305.0,471.298043403452,,,,,Late-demographic dividend
1975,1479365335.0,509.520827229732,,,,,Late-demographic dividend
1976,1503611831.0,540.408204787577,,,,,Late-demographic dividend
1977,1526481327.0,617.445720117259,,,,,Late-demographic dividend
1978,1548756457.0,633.238399069968,,,,0.992289337244902,Late-demographic dividend
1979,1571028639.0,742.483721468179,,,,0.701219596724475,Late-demographic dividend
1980,1593191224.0,837.155837263142,,,,0.692421527840315,Late-demographic dividend
1981,1616030908.0,865.945038848826,,,,0.813482338013394,Late-demographic dividend
1982,1640955937.0,867.416862282621,,,,0.910005151663319,Late-demographic dividend
1983,1665839893.0,785.174335548663,,,,0.769885255743868,Late-demographic dividend
1984,1689846932.0,808.305793307089,,,,0.753492303028457,Late-demographic dividend
1985,1714565108.0,825.991074580213,,,,0.705508449406535,Late-demographic dividend
1986,1740788890.0,862.740191524886,,,,0.56134593659358,Late-demographic dividend
1987,1768473684.0,893.898315133782,,5.75646401118136,,0.701754668987796,Late-demographic dividend
1988,1796296994.0,960.759749083764,,7.19696969696953,,,Late-demographic dividend
1989,1822904646.0,1001.60790750555,,6.18935403382355,,0.967923986309084,Late-demographic dividend
1990,1847943137.0,1061.85682451457,,7.60609957743892,,0.942972553352671,Late-demographic dividend
1991,1871924955.0,1055.89356518771,,6.90489632742761,3.63859027127478,1.2293628888809,Late-demographic dividend
1992,1894466166.0,1062.43829366784,,5.82434514637906,3.62268827480664,1.47773359571601,Late-demographic dividend
1993,1915723002.0,1093.86952111836,,10.6765371840708,3.88076927202778,2.32535031323091,Late-demographic dividend
1994,1936480746.0,1257.65989854017,,11.4431196444973,4.27520538490801,2.4401600179792,Late-demographic dividend
1995,1956396680.0,1542.83793839242,,8.01292443952664,4.45118227518982,2.23348106322976,Late-demographic dividend
1996,1975900628.0,1685.11620771271,,7.22691489532409,4.64311046541953,2.69267405492387,Late-demographic dividend
1997,1995102217.0,1747.5469990116,,5.87983105743514,4.90361427543764,3.28217071663277,Late-demographic dividend
1998,2013535099.0,1666.8848543103,,5.44152554019984,5.16721599648811,3.80374764127871,Late-demographic dividend
1999,2030605673.0,1527.38848121143,,3.38800754204006,5.40832130984989,4.32939138438675,Late-demographic dividend
2000,2046027286.0,1664.67802027167,88.245841956976,4.10280983042326,5.23485052031751,4.24475042787919,Late-demographic dividend
2001,2060700691.0,1708.43232024233,88.9990779440659,4.64604442058632,5.43358183171685,3.50653601026563,Late-demographic dividend
2002,2074533503.0,1798.90077639918,94.5726876028356,2.80115505180746,5.64451478799485,3.81423564353367,Late-demographic dividend
2003,2088012323.0,2036.32313752882,105.511609033021,3.23464817293924,5.87809064958383,3.55144915655534,Late-demographic dividend
2004,2101307817.0,2432.13069616931,123.803842798014,3.857303913674,5.68540366583347,3.4397054074758,Late-demographic dividend
2005,2114766197.0,2915.82251676412,148.319834961768,4.14297583631021,5.62294777639059,4.59487474599903,Late-demographic dividend
2006,2128345264.0,3496.11126317196,175.553520771597,4.36552203009068,5.35989513192777,4.57411233084395,Late-demographic dividend
2007,2141896101.0,4376.55417891544,216.739283291369,5.43875883876553,5.08225940871926,5.22148574523437,Late-demographic dividend
2008,2155744556.0,5405.50110275233,273.926169465521,8.9559870517779,5.11553214237919,4.26636050176067,Late-demographic dividend
2009,2169498384.0,5189.92676530293,285.224786036835,3.04166827698482,5.54190306614649,3.85642960388592,Late-demographic dividend
2010,2182361368.0,6206.33790150805,325.138063733356,3.29777961339845,5.19782704341429,4.26283666532764,Late-demographic dividend
2011,2196050826.0,7517.32635951737,385.036677308464,4.37073559939221,5.09775795997914,4.02871507322497,Late-demographic dividend
2012,2211789266.0,7988.69047257311,413.138526200617,3.31605566687646,5.01382979729683,3.81789556073679,Late-demographic dividend
2013,2227938007.0,8541.23247330249,453.126501756586,2.68229684085038,4.99706795756566,3.50977401223317,Late-demographic dividend
2014,2243581628.0,8812.26181554647,474.597870386981,2.04461481539337,4.92916349284194,3.43519465053601,Late-demographic dividend
2015,2258039271.0,8213.12337286025,445.910397822762,1.55790711346266,5.10055705954497,3.82809090858308,Late-demographic dividend
2016,2272117455.0,8183.3270469779,449.03427998639,0.977675134719017,5.2832645064325,2.84740015067629,Late-demographic dividend
2017,2286564636.0,9021.96592686379,505.370616849214,2.17727572689266,5.27410732811842,2.20110525109742,Late-demographic dividend
2018,2298987320.0,9839.46860049612,550.508177470809,2.47446347118433,5.0532619531759,2.30765243055421,Late-demographic dividend
2019,2309491520.0,9979.25411184343,575.473888482654,2.16176258133052,5.1847258579108,1.89120668090137,Late-demographic dividend
2020,2317277311.0,9706.8431033298,,1.94031996607178,5.92559247551115,1.83932723023412,Late-demographic dividend
2021,2321862159.0,11465.857770559,,3.45934352504314,5.51520831526053,2.48520659486919,Late-demographic dividend
