Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,268709154.0,673.175958417345,,5.18569768004313,,0.638140932022063,Latin America & Caribbean (excluding high income)
1973,275343929.0,878.961236586457,,13.2261813710981,,0.931458955129819,Latin America & Caribbean (excluding high income)
1974,282072456.0,1127.26076130234,,23.5526848539303,,0.721574454899069,Latin America & Caribbean (excluding high income)
1975,288871034.0,1187.17306747478,,15.3629856851263,,0.735921386445872,Latin America & Caribbean (excluding high income)
1976,295738054.0,1262.4674507814,,9.79365327534654,,0.779665980531346,Latin America & Caribbean (excluding high income)
1977,302771620.0,1338.47385070776,,10.6889574207751,,0.696352399670236,Latin America & Caribbean (excluding high income)
1978,309989301.0,1486.34059732352,,10.5079599343187,,0.76574288837419,Latin America & Caribbean (excluding high income)
1979,317287027.0,1704.88123284137,,14.8423081655327,,0.856002080566539,Latin America & Caribbean (excluding high income)
1980,324575237.0,2012.17336898118,,18.135170796071,,0.850460875288573,Latin America & Caribbean (excluding high income)
1981,331730640.0,2253.36913049578,,14.0319195617323,,1.01158969022502,Latin America & Caribbean (excluding high income)
1982,338875311.0,2034.54648809801,,7.72949223911318,,0.853148814055707,Latin America & Caribbean (excluding high income)
1983,346145741.0,1721.26930355123,,10.9128872185399,,0.871576573657895,Latin America & Caribbean (excluding high income)
1984,353445326.0,1702.9758267853,,11.7272982588086,,0.714504525799866,Latin America & Caribbean (excluding high income)
1985,360717106.0,1654.3339201962,,20.5075831762827,,0.992832593230615,Latin America & Caribbean (excluding high income)
1986,367950983.0,1620.88380032294,,16.89666805447,,0.75283566566076,Latin America & Caribbean (excluding high income)
1987,375167660.0,1705.98628822634,,14.0647111158507,,0.759277003231137,Latin America & Caribbean (excluding high income)
1988,382421060.0,1858.10851755242,,13.4173974119652,,1.13176653824119,Latin America & Caribbean (excluding high income)
1989,389686584.0,2048.43091730038,,14.7515035727152,,0.819518279136,Latin America & Caribbean (excluding high income)
1990,397075672.0,2426.88875510047,,22.6413707765775,,0.726362387213827,Latin America & Caribbean (excluding high income)
1991,404512699.0,2548.25835145546,,25.0964073093493,5.81563875608079,0.979482528755887,Latin America & Caribbean (excluding high income)
1992,411860418.0,2717.96342044539,,13.6265336830005,5.86022304391166,1.17073840087705,Latin America & Caribbean (excluding high income)
1993,419178516.0,3147.2237160108,,11.2841684454988,5.91822771862748,0.9048150680012,Latin America & Caribbean (excluding high income)
1994,426489693.0,3675.69985166515,,12.1948949383909,6.42739327191555,1.58016528285624,Latin America & Caribbean (excluding high income)
1995,433762497.0,3869.39526935712,,12.5359594558963,7.81263424989196,1.56481810438616,Latin America & Caribbean (excluding high income)
1996,440936764.0,4156.14555703555,,11.0569165321987,8.0701678368703,2.08909491714606,Latin America & Caribbean (excluding high income)
